track_id,raw_file_name,detected_artist_candidate,detected_title_candidate,authority_pair_match,reversal_confidence,notes
213,Mello Buckzz X Dee Money - Grave Diggers ｜ Presented by No More Heroes.mp3,Mello Buckzz X Dee Money,Grave Diggers | Presented by No More Heroes,no,0.48,no authority pair match yet
227,Nas - Nas is Like (Music Video) (Alt 1).mp3,Nas,Nas is Like (Music Video) (Alt 1),no,0.76,no authority pair match yet
238,Powerwolf - 1589 Napalm Records.mp3,Powerwolf,1589 Napalm Records,no,0.56,no authority pair match yet
240,Powerwolf - Blood for Blood Napalm Records.mp3,Powerwolf,Blood for Blood Napalm Records,no,0.56,no authority pair match yet
241,Powerwolf - Cardinal Sin Napalm Records.mp3,Powerwolf,Cardinal Sin Napalm Records,no,0.56,no authority pair match yet
242,Powerwolf - Dancing With the Dead Napalm Records.mp3,Powerwolf,Dancing With the Dead Napalm Records,no,0.56,no authority pair match yet
243,Powerwolf - Demons Are a Girl's Best Friend Napalm Records.mp3,Powerwolf,Demons Are a Girl's Best Friend Napalm Records,no,0.56,no authority pair match yet
245,Powerwolf - My Will Be Done Napalm Records.mp3,Powerwolf,My Will Be Done Napalm Records,no,0.56,no authority pair match yet
246,Powerwolf - Venom of Venus Napalm Records.mp3,Powerwolf,Venom of Venus Napalm Records,no,0.56,no authority pair match yet
247,Powerwolf ft. Alissa White-gluz - Demons Are a Girl's Best Friend Napalm Records.mp3,Powerwolf ft. Alissa White-gluz,Demons Are a Girl's Best Friend Napalm Records,no,0.56,no authority pair match yet
248,Powerwolf ft. Hansi Kürsch - Call of the Wild Napalm Records.mp3,Powerwolf ft. Hansi Kürsch,Call of the Wild Napalm Records,no,0.56,no authority pair match yet
249,Powerwolf ft. Matthew Kiichi Heafy - Fist by Fist Napalm Records.mp3,Powerwolf ft. Matthew Kiichi Heafy,Fist by Fist Napalm Records,no,0.56,no authority pair match yet
250,Powerwolf ft. Melissa Bonny - Blood for Blood Napalm Records.mp3,Powerwolf ft. Melissa Bonny,Blood for Blood Napalm Records,no,0.56,no authority pair match yet
251,Prada ： Jass Manak Satti Dhillon - Romantic Song - Hit Punjabi Song - Geet Mp3.mp3,Prada : Jass Manak Satti Dhillon,Romantic Song - Hit Punjabi Song - Geet Mp3,no,0.56,no authority pair match yet
264,Serenity - In the Name of Scotland Napalm Records.mp3,Serenity,In the Name of Scotland Napalm Records,no,0.56,no authority pair match yet
265,Serenity - Legacy of Tudors Napalm Records.mp3,Serenity,Legacy of Tudors Napalm Records,no,0.56,no authority pair match yet
266,Serenity - Reflections Napalm Records.mp3,Serenity,Reflections Napalm Records,no,0.56,no authority pair match yet
267,Serenity - Ritter Tod Und Teufel Napalm Records.mp3,Serenity,Ritter Tod Und Teufel Napalm Records,no,0.56,no authority pair match yet
268,Serenity - Souls and Sins (Feat. Sascha Paeth & Michele Guaitoli) Napalm Records.mp3,Serenity,Souls and Sins (Feat. Sascha Paeth & Michele Guaitoli) Napalm Records,no,0.56,no authority pair match yet
269,Serenity - Spirit in the Flesh Napalm Records.mp3,Serenity,Spirit in the Flesh Napalm Records,no,0.56,no authority pair match yet
270,Serenity - The End of Babylon Napalm Records (Alt 1).mp3,Serenity,The End of Babylon Napalm Records (Alt 1),no,0.56,no authority pair match yet
271,Serenity - The Fall of Man (Feat. Roy Khan) Napalm Records.mp3,Serenity,The Fall of Man (Feat. Roy Khan) Napalm Records,no,0.56,no authority pair match yet
273,Sirenia - Addiction No. 1 Napalm Records.mp3,Sirenia,Addiction No. 1 Napalm Records,no,0.56,no authority pair match yet
274,Sirenia - Deadlight Napalm Records.mp3,Sirenia,Deadlight Napalm Records,no,0.56,no authority pair match yet
275,Sirenia - Twist in My Sobriety Napalm Records.mp3,Sirenia,Twist in My Sobriety Napalm Records,no,0.56,no authority pair match yet
276,Sirenia - Wintry Heart Napalm Records.mp3,Sirenia,Wintry Heart Napalm Records,no,0.56,no authority pair match yet
289,Temperance - Breaking the Rules of Heavy Metal Napalm Records.mp3,Temperance,Breaking the Rules of Heavy Metal Napalm Records,no,0.56,no authority pair match yet
290,Temperance - Darkness is Just a Drawing Napalm Records.mp3,Temperance,Darkness is Just a Drawing Napalm Records,no,0.56,no authority pair match yet
291,Temperance - Daruma (Feat. Arjen Anthony Lucassen) Napalm Records.mp3,Temperance,Daruma (Feat. Arjen Anthony Lucassen) Napalm Records,no,0.56,no authority pair match yet
292,Temperance - Diamanti Napalm Records.mp3,Temperance,Diamanti Napalm Records,no,0.56,no authority pair match yet
293,Temperance - Full of Memories Napalm Records.mp3,Temperance,Full of Memories Napalm Records,no,0.56,no authority pair match yet
294,Temperance - Pure Life Unfolds Napalm Records.mp3,Temperance,Pure Life Unfolds Napalm Records,no,0.56,no authority pair match yet
295,Temperance - Set Yourself Free Napalm Records.mp3,Temperance,Set Yourself Free Napalm Records,no,0.56,no authority pair match yet
302,The Dark Side of the Moon - Can't Catch Me Now Napalm Records.mp3,The Dark Side of the Moon,Can't Catch Me Now Napalm Records,no,0.56,no authority pair match yet
303,The Dark Side of the Moon Feat. Fabienne Erni - New Horizons Napalm Records.mp3,The Dark Side of the Moon Feat. Fabienne Erni,New Horizons Napalm Records,no,0.56,no authority pair match yet
304,The Dark Side of the Moon ft. Charlotte Wessels - May it Be Lotr Napalm Records.mp3,The Dark Side of the Moon ft. Charlotte Wessels,May it Be Lotr Napalm Records,no,0.56,no authority pair match yet
315,Therion - Ayahuasca Napalm Records.mp3,Therion,Ayahuasca Napalm Records,no,0.56,no authority pair match yet
316,Therion - Nummo Napalm Records.mp3,Therion,Nummo Napalm Records,no,0.56,no authority pair match yet
317,Therion - Twilight of the Gods Napalm Records.mp3,Therion,Twilight of the Gods Napalm Records,no,0.56,no authority pair match yet
325,Tyte and Wizz Havinn - Ask Around ｜ @darealtyte.mp3,Tyte and Wizz Havinn,Ask Around | @darealtyte,no,0.72,no authority pair match yet
326,Tyte Spliffjit & C Stunna - Whole 9 ｜ @darealtyte.mp3,Tyte Spliffjit & C Stunna,Whole 9 | @darealtyte,no,0.72,no authority pair match yet
328,Una Lady Como Tú - Mtz Manuel Turizo ｜ Video Oficial.mp3,Una Lady Como Tú,Mtz Manuel Turizo | Video Oficial,no,0.48,no authority pair match yet
329,Unleash the Archers - Blood Empress Napalm Records.mp3,Unleash the Archers,Blood Empress Napalm Records,no,0.56,no authority pair match yet
330,Unleash the Archers - Falsewave Napalm Records.mp3,Unleash the Archers,Falsewave Napalm Records,no,0.56,no authority pair match yet
331,Unleash the Archers - Ghosts in the Mist Napalm Records.mp3,Unleash the Archers,Ghosts in the Mist Napalm Records,no,0.56,no authority pair match yet
332,Unleash the Archers - Green & Glass Napalm Records.mp3,Unleash the Archers,Green & Glass Napalm Records,no,0.56,no authority pair match yet
333,Unleash the Archers - Seeking Vengeance Napalm Records.mp3,Unleash the Archers,Seeking Vengeance Napalm Records,no,0.56,no authority pair match yet
336,Victorius - Dinos and Dragons Napalm Records.mp3,Victorius,Dinos and Dragons Napalm Records,no,0.56,no authority pair match yet
337,Victorius - Mighty Magic Mammoth Napalm Records.mp3,Victorius,Mighty Magic Mammoth Napalm Records,no,0.56,no authority pair match yet
338,Victorius - Night of the Nuclear Ninja Napalm Records.mp3,Victorius,Night of the Nuclear Ninja Napalm Records,no,0.56,no authority pair match yet
339,Victorius - Victorious Dinogods Napalm Records.mp3,Victorius,Victorious Dinogods Napalm Records,no,0.56,no authority pair match yet
341,Visions of Atlantis - Armada Napalm Records.mp3,Visions of Atlantis,Armada Napalm Records,no,0.56,no authority pair match yet
342,Visions of Atlantis - Clocks Napalm Records.mp3,Visions of Atlantis,Clocks Napalm Records,no,0.56,no authority pair match yet
343,Visions of Atlantis - Hellfire Napalm Records.mp3,Visions of Atlantis,Hellfire Napalm Records,no,0.56,no authority pair match yet
344,Visions of Atlantis - Legion of the Seas Napalm Records.mp3,Visions of Atlantis,Legion of the Seas Napalm Records,no,0.56,no authority pair match yet
345,Visions of Atlantis - Master the Hurricane Napalm Records.mp3,Visions of Atlantis,Master the Hurricane Napalm Records,no,0.56,no authority pair match yet
346,Visions of Atlantis - Melancholy Angel Napalm Records.mp3,Visions of Atlantis,Melancholy Angel Napalm Records,no,0.56,no authority pair match yet
347,Visions of Atlantis - Monsters Napalm Records.mp3,Visions of Atlantis,Monsters Napalm Records,no,0.56,no authority pair match yet
348,Visions of Atlantis - Pirates Will Return Napalm Records.mp3,Visions of Atlantis,Pirates Will Return Napalm Records,no,0.56,no authority pair match yet
349,Visions of Atlantis - Release My Symphony (Live) ｜ Napalm Records.mp3,Visions of Atlantis,Release My Symphony | Napalm Records,no,0.56,no authority pair match yet
350,Visions of Atlantis - Tonight I'm Alive Napalm Records.mp3,Visions of Atlantis,Tonight I'm Alive Napalm Records,no,0.56,no authority pair match yet
351,Visions of Atlantis - Wanderers (Live) ｜ Napalm Records.mp3,Visions of Atlantis,Wanderers | Napalm Records,no,0.56,no authority pair match yet
352,Warkings - Armageddon Napalm Records.mp3,Warkings,Armageddon Napalm Records,no,0.56,no authority pair match yet
353,Warkings - Fight Napalm Records.mp3,Warkings,Fight Napalm Records,no,0.56,no authority pair match yet
354,Warkings - Genghis Khan (Feat. Orden Ogan) Napalm Records (Alt 1).mp3,Warkings,Genghis Khan (Feat. Orden Ogan) Napalm Records (Alt 1),no,0.56,no authority pair match yet
355,Warkings - Hangman's Night (Ft. Dominum) Napalm Records.mp3,Warkings,Hangman's Night (Ft. Dominum) Napalm Records,no,0.56,no authority pair match yet
356,Warkings - To the King Napalm Records.mp3,Warkings,To the King Napalm Records,no,0.56,no authority pair match yet
357,Warkings ft. the Queen of the Damned - Odin's Sons Napalm Records.mp3,Warkings ft. the Queen of the Damned,Odin's Sons Napalm Records,no,0.56,no authority pair match yet
358,Wind Rose - Fellows of the Hammer Napalm Records.mp3,Wind Rose,Fellows of the Hammer Napalm Records,no,0.56,no authority pair match yet
359,Wind Rose - Gates of Ekrund Napalm Records.mp3,Wind Rose,Gates of Ekrund Napalm Records,no,0.56,no authority pair match yet
360,Wind Rose - Mine Mine Mine! Napalm Records.mp3,Wind Rose,Mine Mine Mine! Napalm Records,no,0.56,no authority pair match yet
361,Wind Rose - Son of a Thousand Nights Napalm Records.mp3,Wind Rose,Son of a Thousand Nights Napalm Records,no,0.56,no authority pair match yet
363,Wind Rose - Together We Rise Napalm Records.mp3,Wind Rose,Together We Rise Napalm Records,no,0.56,no authority pair match yet
364,Wizardthrone - Black Hole Quantum Thermodynamics Napalm Records.mp3,Wizardthrone,Black Hole Quantum Thermodynamics Napalm Records,no,0.56,no authority pair match yet
370,Xandria - 200 Years Napalm Records.mp3,Xandria,200 Years Napalm Records,no,0.56,no authority pair match yet
371,Xandria - Ghosts Napalm Records.mp3,Xandria,Ghosts Napalm Records,no,0.56,no authority pair match yet
372,Xandria - Live the Tale Napalm Records.mp3,Xandria,Live the Tale Napalm Records,no,0.56,no authority pair match yet
373,Xandria - My Curse is My Redemption Napalm Records.mp3,Xandria,My Curse is My Redemption Napalm Records,no,0.56,no authority pair match yet
374,Xandria - No Time to Live Forever Napalm Records.mp3,Xandria,No Time to Live Forever Napalm Records,no,0.56,no authority pair match yet
375,Xandria - Reborn Napalm Records.mp3,Xandria,Reborn Napalm Records,no,0.56,no authority pair match yet
376,Xandria - Ship of Doom Napalm Records.mp3,Xandria,Ship of Doom Napalm Records,no,0.56,no authority pair match yet
377,Xandria - The Wonders Still Awaiting Napalm Records.mp3,Xandria,The Wonders Still Awaiting Napalm Records,no,0.56,no authority pair match yet
378,Xandria - Two Worlds Napalm Records.mp3,Xandria,Two Worlds Napalm Records,no,0.56,no authority pair match yet
379,Xandria - Universal Napalm Records.mp3,Xandria,Universal Napalm Records,no,0.56,no authority pair match yet
381,Xandria - Your Stories I'll Remember Napalm Records.mp3,Xandria,Your Stories I'll Remember Napalm Records,no,0.56,no authority pair match yet
394,2AM - Louwis.mp3,2AM,Louwis,no,0.48,no authority pair match yet
543,CocoCay - 10 Seconds.mp3,CocoCay,10 Seconds,no,0.48,no authority pair match yet
558,Culpables - MTZ Manuel Turizo.mp3,Culpables,MTZ Manuel Turizo,no,0.48,no authority pair match yet
586,DILBAR ｜ Satyameva Jayate ｜ John Abraham Nora Fatehi ｜ Tanishk B Neha Kakkar Ikka Dhvani ｜ T-Series.mp3,DILBAR | Satyameva Jayate | John Abraham Nora Fatehi | Tanishk B Neha Kakkar Ikka Dhvani | T,Series,no,0.36,no authority pair match yet
633,El Amante - Nicky Jam.mp3,El Amante,Nicky Jam,no,0.48,no authority pair match yet
660,"Esperando QTD Remix -Villafañe ft @elblxnco111 , @izzy_bz.mp3",Esperando QTD Remix,"Villafañe ft @elblxnco111 , @izzy_bz",no,0.36,no authority pair match yet
672,Flowcito Playero - Nicolukas.mp3,Flowcito Playero,Nicolukas,no,0.48,no authority pair match yet
697,Guru Randhawa： High Rated Gabru Official Song ｜ DirectorGifty ｜ Bhushan Kumar ｜ T-Series.mp3,Guru Randhawa: High Rated Gabru Official Song | DirectorGifty | Bhushan Kumar | T,Series,no,0.42,no authority pair match yet
720,In The End - Linkin Park.mp3,In The End,Linkin Park,no,0.56,no authority pair match yet
861,MEMORIAS - FENIX x RICKSTARR x DIORE.mp3,MEMORIAS,FENIX x RICKSTARR x DIORE,no,0.56,no authority pair match yet
884,Mojaito Seco Video - El Yesmy & El Killer ❌ @ELYirowYElTingo ❌ El Kennedy.mp3,Mojaito Seco Video,El Yesmy & El Killer ❌ @ELYirowYElTingo ❌ El Kennedy,no,0.48,no authority pair match yet
911,No te saco ya de mi cabeza - CRIS GÁREZ.mp3,No te saco ya de mi cabeza,CRIS GÁREZ,no,0.48,no authority pair match yet
912,Numb – Linkin Park.mp3,Numb,Linkin Park,no,0.56,no authority pair match yet
934,Pardyalone - Alone.mp3,Pardyalone,Alone,no,0.76,no authority pair match yet
989,Rise - Seth Glier.mp3,Rise,Seth Glier,no,0.56,no authority pair match yet
1005,Sam Smith - Stay With Me & Sam Hunt - Vandalizer by Ryan Robinette.mp3,Sam Smith,Stay With Me & Sam Hunt - Vandalizer by Ryan Robinette,no,0.48,no authority pair match yet
1010,Say It - Coline Creuzot.mp3,Say It,Coline Creuzot,no,0.56,no authority pair match yet
1096,Travesuras - Nicky Jam.mp3,Travesuras,Nicky Jam,yes,0.48,resolved pair is authority-known
1111,Vaina Loca - Ozuna x Manuel Turizo.mp3,Vaina Loca,Ozuna x Manuel Turizo,no,0.48,no authority pair match yet
1338,"Delirious ft. Kid Ink - Steve Aoki, Chris Lake, Tujamo.mp3",Delirious ft. Kid Ink,"Steve Aoki, Chris Lake, Tujamo",no,0.48,no authority pair match yet
1408,Lycii - Yoko ｜ Diversity Release.mp3,Lycii,Yoko | Diversity Release,no,0.48,no authority pair match yet
1463,Phat Brahms - Steve Aoki & Angger Dimas VS Dimitri Vegas & Like Mike MUSIC VIDEO.mp3,Phat Brahms,Steve Aoki & Angger Dimas VS Dimitri Vegas & Like Mike MUSIC VIDEO,no,0.56,no authority pair match yet
1676,Chris Young - You.mp3,Chris Young,You,no,0.76,no authority pair match yet
2015,＂But You Like Country Music＂ - Lyric Video Sunny Sweeney and Brennen Leigh.mp3,"""But You Like Country Music""",Lyric Video Sunny Sweeney and Brennen Leigh,no,0.56,no authority pair match yet
2018,＂It Did＂ - Blaine Larsen.mp3,"""It Did""",Blaine Larsen,no,0.56,no authority pair match yet
2044,Eruption feat. Precious Wilson - I Cant Stand The Rain • TopPop.mp3,Eruption feat. Precious Wilson,I Cant Stand The Rain • TopPop,no,0.48,no authority pair match yet
2225,Stand Up And Shout - Dio.mp3,Stand Up And Shout,Dio,no,0.48,no authority pair match yet
2480,Fugees - Fu-Gee-La.mp3,Fugees,Fu-Gee-La,no,0.76,no authority pair match yet
2680,Nas - Nas Is Like.mp3,Nas,Nas Is Like,no,0.76,no authority pair match yet
2878,Wu-Tang Clan - Wu-Tang Clan Aint Nuthing Ta F Wit.mp3,Wu-Tang Clan,Wu-Tang Clan Aint Nuthing Ta F Wit,no,0.76,no authority pair match yet
2882,Xzibit - X.mp3,Xzibit,X,yes,0.76,resolved pair is authority-known
2970,God Loves A Rolling Stone - The Kentucky Headhunters.mp3,God Loves A Rolling Stone,The Kentucky Headhunters,no,0.48,no authority pair match yet
2999,Simple Man - Lynyrd Skynyrd.mp3,Simple Man,Lynyrd Skynyrd,no,0.48,no authority pair match yet
3032,EXIT EDEN - Femme Fatale (Official Video) ｜ Napalm Records.mp3,EXIT EDEN,Femme Fatale | Napalm Records,no,0.56,no authority pair match yet
3034,HAMMERFALL - Hammer Of Dawn (Official Video) ｜ Napalm Records.mp3,HAMMERFALL,Hammer Of Dawn | Napalm Records,no,0.56,no authority pair match yet
3035,KAMELOT - Eventide (Official Video) ｜ Napalm Records.mp3,KAMELOT,Eventide | Napalm Records,no,0.56,no authority pair match yet
3036,KAMELOT - Eventide (Static Video) ｜ Napalm Records.mp3,KAMELOT,Eventide (Static Video) | Napalm Records,no,0.56,no authority pair match yet
3037,MARC HUDSON -「ASTRALIVE」(Official Video) ｜ Napalm Records.mp3,MARC HUDSON,「ASTRALIVE」 | Napalm Records,no,0.42,no authority pair match yet
3038,MARC HUDSON -「STARBOUND STORIES」(Official Video) ｜ Napalm Records.mp3,MARC HUDSON,「STARBOUND STORIES」 | Napalm Records,no,0.42,no authority pair match yet
3039,MARC HUDSON -「THE SIREN」(Official Video) ｜ Napalm Records.mp3,MARC HUDSON,「THE SIREN」 | Napalm Records,no,0.42,no authority pair match yet
3041,SERENITY - The End Of Babylon (Official Video) ｜ Napalm Records.mp3,SERENITY,The End Of Babylon | Napalm Records,no,0.56,no authority pair match yet
