file_path,original_artist_guess,original_title_guess,suggested_artist,suggested_title,was_reversed,confidence_score,recommended_action,search_evidence_summary,top_result_urls
C:\Users\suppo\Downloads\New Music\Top1000\Bfb Da Packman- Honey Pack.mp3,Bfb Da Packman,Honey Pack,BFB da Packman,Honey Pack,false,1.0,RENAME,MB: BFB da Packman - Honey Pack (api_score=100),https://musicbrainz.org/recording/b5dc6453-6337-4c12-a024-4260e4f20e82; https://musicbrainz.org/recording/7df03af3-9488-483a-bda8-aece24907475; https://musicbrainz.org/recording/ba84db33-2261-45b7-83ad-2fed733b4493
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs-N-Harmony ft 2pac thug luv lyrics.mp3,Bone Thugs-N-Harmony,ft 2pac thug luv lyrics,Bone Thugs‐n‐Harmony,Bone Thugs-N-Harmony,false,0.6,VERIFY,MB: Bone Thugs‐n‐Harmony - Bone Thugs-N-Harmony (api_score=100),https://musicbrainz.org/recording/aad20b9a-4854-46ff-9f5b-14d5cb92a087; https://musicbrainz.org/recording/37249b1d-c01b-48c8-a44f-c981227cae53; https://musicbrainz.org/recording/72e4ec26-511f-4c67-ada6-9692a17fa23e
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Boogie Down Productions- South Bronx.mp3,Boogie Down Productions,South Bronx,DJ Kensei & DJ Quietstorm,Boogie Down Productions,true,0.6,VERIFY,MB: DJ Kensei & DJ Quietstorm - Boogie Down Productions (api_score=100); REVERSED from original split,https://musicbrainz.org/recording/614dd103-b463-4865-b9a7-08c3ba649325; https://musicbrainz.org/recording/ac1691a9-506f-47c7-a338-f837f290b662; https://musicbrainz.org/recording/5dd28585-f517-4128-992f-37f8f9678366
C:\Users\suppo\Downloads\New Music\Top1000\Bop Menaxe- Til The Rain Gone.mp3,Bop Menaxe,Til The Rain Gone,Bop Menaxe,History In The Making,false,0.686,VERIFY,MB: Bop Menaxe - History In The Making (api_score=100),https://musicbrainz.org/recording/89c16efd-bd96-4fdd-85ec-a6b0c49ba2f4; https://musicbrainz.org/recording/89a56af6-4ef3-47c1-965e-5408e0a865c6; https://musicbrainz.org/recording/4efd412c-6bb4-4356-9647-58242a00ee9d
C:\Users\suppo\Downloads\New Music\Top1000\Bop Menaxe- War Cry.mp3,Bop Menaxe,War Cry,Bop Menaxe,Back Then,false,0.6,VERIFY,MB: Bop Menaxe - Back Then (api_score=100),https://musicbrainz.org/recording/89c16efd-bd96-4fdd-85ec-a6b0c49ba2f4; https://musicbrainz.org/recording/89a56af6-4ef3-47c1-965e-5408e0a865c6; https://musicbrainz.org/recording/4efd412c-6bb4-4356-9647-58242a00ee9d
"C:\Users\suppo\Downloads\New Music\Top1000\Fehr Rivas, Aleks Syntek- INMORTAL.mp3","Fehr Rivas, Aleks Syntek",INMORTAL,Azafata,Nada Más (Aleks Syntek),true,0.171,HOLD,MB: Azafata - Nada Más (Aleks Syntek) (api_score=100); REVERSED from original split,https://musicbrainz.org/recording/c5f4f6ec-e06a-4762-8c1b-6b7cd1e46bbf; https://musicbrainz.org/recording/14b14d1e-45de-4a9b-a610-b9bdbeafdccb; https://musicbrainz.org/recording/7be2e38d-c3ea-4ac1-b404-d2ff5e37c6d8
C:\Users\suppo\Downloads\New Music\Top1000_Country\Find Yourself by Brad Paisley.mp3,Brad Paisley,Find Yourself,Find Yourself,Karl's Automatons,true,0.534,VERIFY,MB: Find Yourself - Karl's Automatons (api_score=89); REVERSED from original split,https://musicbrainz.org/recording/1fba6a25-81c9-4980-af58-2c9f1b1eb477; https://musicbrainz.org/recording/b9169391-d2b5-40a0-a659-01f47a9a05c7; https://musicbrainz.org/recording/90b62ab3-f46d-48a1-b829-04df1fcf299e
C:\Users\suppo\Downloads\New Music\Top1000_Classical\Franz Joseph Haydn - ＂Surprise＂.mp3,Franz Joseph Haydn,＂Surprise＂,Richard Fawkes read by Robert Powell,Franz Joseph Haydn 1735-1782,true,0.36,HOLD,MB: Richard Fawkes read by Robert Powell - Franz Joseph Haydn 1735-1782 (api_score=100); REVERSED from original split,https://musicbrainz.org/recording/0a4a8a2d-107b-492f-8207-3b493c13ae0f; https://musicbrainz.org/recording/42e5c070-62f5-47b9-a58f-175e5687c1bc; https://musicbrainz.org/recording/f05ef99f-4f49-46ed-b347-a28e56cb63a1
"C:\Users\suppo\Downloads\New Music\Top1000\Fridayy, Chris Brown - ＂Dont Give It Away＂.mp3","Fridayy, Chris Brown",＂Dont Give It Away＂,Sophie Barker,Dont Give It Away,false,0.462,HOLD,MB: Sophie Barker - Dont Give It Away (api_score=77),https://musicbrainz.org/recording/80b76373-317f-4f5a-b065-5e11222f54cd; https://musicbrainz.org/recording/ab833948-9a63-4605-afbf-e1bf379cf3c6; https://musicbrainz.org/recording/a17d5103-7793-4f96-84f1-4f199a98d2b9
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Gregg Allman- I'm No Angel.mp3,Gregg Allman,I'm No Angel,Jon Crosby,Gregg Allman-I'm No Angel,false,0.4,HOLD,MB: Jon Crosby - Gregg Allman-I'm No Angel (api_score=100),https://musicbrainz.org/recording/c45fdd91-7a88-4540-8408-76973bf174b9; https://musicbrainz.org/recording/e0e9aa27-c3aa-4593-90ab-27a6d3cbb8b7; https://musicbrainz.org/recording/a05678eb-7239-43ea-9d05-6d8afde9e280
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Hideaway by John Mayall bluesbreakers & Eric Clapton.mp3,John Mayall bluesbreakers & Eric Clapton,Hideaway,The Band,Eric Clapton,true,0.24,HOLD,MB: The Band - Eric Clapton (api_score=100); REVERSED from original split,https://musicbrainz.org/recording/94874c38-4f85-468e-a2b2-63788909ba5d; https://musicbrainz.org/recording/84850bac-a0e2-427d-9c94-2f45ebdeb171; https://musicbrainz.org/recording/c56e9ab7-e846-4b3e-afa5-c3b8a5bc3816
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Howlin Wolf- Killing Floor.mp3,Howlin Wolf,Killing Floor,Muddy Waters,Howlin’ Wolf,true,0.306,HOLD,MB: Muddy Waters - Howlin’ Wolf (api_score=51); REVERSED from original split,https://musicbrainz.org/recording/928d0d6a-80f4-497d-82d4-16a35f95e3a8; https://musicbrainz.org/recording/f393ec31-3c5d-40d6-9111-37a2287df9c0; https://musicbrainz.org/recording/eda8c7a6-f40e-4342-8b41-df9fd4035e03
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Iced Earth- coming curse.mp3,Iced Earth,coming curse,Iced Earth,Iced Earth,false,0.6,VERIFY,MB: Iced Earth - Iced Earth (api_score=100),https://musicbrainz.org/recording/2a91fd8f-96bc-4af7-a87f-e95719ef97fc; https://musicbrainz.org/recording/0a507809-7092-4205-994a-6263a6988025; https://musicbrainz.org/recording/41692b21-3e5f-4954-b0ff-8d3dc6a82361
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Johnny ＂Clyde＂ Copeland- Rock Me Baby- Part 1.mp3,Johnny ＂Clyde＂ Copeland,Rock Me Baby- Part 1,Isaac Hayes,"Rock Me Easy Baby, Part 1",false,0.5,VERIFY,"MB: Isaac Hayes - Rock Me Easy Baby, Part 1 (api_score=100)",https://musicbrainz.org/recording/c18769b4-4230-40c3-931a-33d7b0e3fd63; https://musicbrainz.org/recording/a7763f4a-1105-4a73-b788-4a6b742e2a27; https://musicbrainz.org/recording/15c67fbe-df70-4b6c-bbce-4b58fafb21c6
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Judas Priest- Freewheel Burning with lyrics.mp3,Judas Priest,Freewheel Burning with lyrics,Judas Priest,Freewheel Burning,false,0.603,VERIFY,MB: Judas Priest - Freewheel Burning (api_score=67),https://musicbrainz.org/recording/abf0e362-5511-451b-ab4a-77bd95594d4a; https://musicbrainz.org/recording/6f028a6a-f295-4d22-b60a-c8748f9b7f35; https://musicbrainz.org/recording/da4a6745-6b3c-41a0-8225-603ebedab6e1
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Judas Priest- The Sentinel with lyrics.mp3,Judas Priest,The Sentinel with lyrics,Andando Descalzo,Judas Priest,true,0.498,HOLD,MB: Andando Descalzo - Judas Priest (api_score=83); REVERSED from original split,https://musicbrainz.org/recording/7db81d45-dc99-499c-a902-74fb66ce9558; https://musicbrainz.org/recording/ba3f8268-7f5d-44ee-bd09-06af11fd436f; https://musicbrainz.org/recording/84462886-04e7-4f2b-9ee2-8b329e44257c
C:\Users\suppo\Downloads\New Music\Top1000_Country\Just to See You Smile Lyrics By Tim McGraw.mp3,Tim McGraw,Just to See You Smile Lyrics,Cornbread Red,Tim McGraw,true,0.45,HOLD,MB: Cornbread Red - Tim McGraw (api_score=75); REVERSED from original split,https://musicbrainz.org/recording/f9938143-f98c-4dee-9742-13019b171395; https://musicbrainz.org/recording/aba9ab06-ee00-41fe-92aa-4006bded91a8; https://musicbrainz.org/recording/36309ed2-e0fb-42b3-9722-66487384d68d
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney- Better As A Memory.mp3,Kenny Chesney,Better As A Memory,Kenny Chesney,Better as a Memory,false,1.0,RENAME,MB: Kenny Chesney - Better as a Memory (api_score=88),https://musicbrainz.org/recording/98440d2b-523a-40dd-943c-8f11ecfe6e55; https://musicbrainz.org/recording/4e0a0bbb-9038-4c9d-a86d-ae84ddc646bd; https://musicbrainz.org/recording/1514b8b3-9d2a-4551-8f55-a290317baff5
"C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney- Nowhere To Go, Nowere To Be.mp3",Kenny Chesney,"Nowhere To Go, Nowere To Be",Kenny Chesney,"Nowhere to Go, Nowhere to Be",false,1.0,RENAME,"MB: Kenny Chesney - Nowhere to Go, Nowhere to Be (api_score=100)",https://musicbrainz.org/recording/bd3dffe9-41d4-4230-8479-bc5cdc7a9153; https://musicbrainz.org/recording/98440d2b-523a-40dd-943c-8f11ecfe6e55; https://musicbrainz.org/recording/4e0a0bbb-9038-4c9d-a86d-ae84ddc646bd
"C:\Users\suppo\Downloads\New Music\Top1000_Opera\La Traviata ＂Addio, del passato＂ by Anna Netrebko. Russian subtitles.mp3",Anna Netrebko. Russian subtitles,"La Traviata ＂Addio, del passato＂",Maria Callas,La traviata: “Addio del passato”,false,0.6,VERIFY,MB: Maria Callas - La traviata: “Addio del passato” (api_score=100),https://musicbrainz.org/recording/e7cc62fa-c773-459a-8081-96c536db6f45; https://musicbrainz.org/recording/f50b1aaa-d439-4ae8-824e-23eb8e7385ff; https://musicbrainz.org/recording/34612fa2-471e-4356-85a0-c840e8ed92cb
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Little Willie John -You Hurt Me.mp3,Little Willie John,-You Hurt Me,Little Willie John,-You Hurt Me,false,0.2,HOLD,No MusicBrainz results found,
C:\Users\suppo\Downloads\New Music\Top1000_Country\Love Her Like Shes Leaving by Brad Paisley.mp3,Brad Paisley,Love Her Like Shes Leaving,Jon Pardi,Love Her Like She’s Leaving,false,0.319,HOLD,MB: Jon Pardi - Love Her Like She’s Leaving (api_score=93),https://musicbrainz.org/recording/a51b9fd1-e7c6-4bfc-ad95-771964cb1f1f; https://musicbrainz.org/recording/1fba6a25-81c9-4980-af58-2c9f1b1eb477; https://musicbrainz.org/recording/935f4674-e271-454c-b5a0-2ae247bbe2e5
C:\Users\suppo\Downloads\New Music\Top1000_Country\Makin Plans by Miranda Lambert.mp3,Miranda Lambert,Makin Plans,Miranda Lambert,Makin’ Plans,false,1.0,RENAME,MB: Miranda Lambert - Makin’ Plans (api_score=96),https://musicbrainz.org/recording/b2e2668e-7b29-4620-ad93-6157b1669903; https://musicbrainz.org/recording/c7dcb34d-776c-40c0-8322-ac52e4f24be4; https://musicbrainz.org/recording/e2eb3d57-bb36-459b-8efe-4d333732bd99
C:\Users\suppo\Downloads\New Music\Top1000_Country\Martin- Zac Brown Band Lyrics!.mp3,Martin,Zac Brown Band Lyrics!,Sonia Leigh,Roamin' (feat. Zac Brown),false,0.2,HOLD,MB: Sonia Leigh - Roamin' (feat. Zac Brown) (api_score=100),https://musicbrainz.org/recording/2f849bb1-2f5d-4d1d-9bfd-cfa9902e046e; https://musicbrainz.org/recording/ab590d8d-298a-4bdc-bbc8-6046e3691bae; https://musicbrainz.org/recording/06661ad0-db1c-471a-b7d7-220636aa0380
C:\Users\suppo\Downloads\New Music\Top1000_Country\Miranda Lambert- Another Heartache.mp3,Miranda Lambert,Another Heartache,Miranda Lambert,Another Heartache,false,0.96,RENAME,MB: Miranda Lambert - Another Heartache (api_score=80),https://musicbrainz.org/recording/b2e2668e-7b29-4620-ad93-6157b1669903; https://musicbrainz.org/recording/07bfb63f-2aec-4f6b-90d6-4917a558d878; https://musicbrainz.org/recording/e86edcd8-d904-453d-805c-6d8eb01271b7
C:\Users\suppo\Downloads\New Music\Top1000_Country\Miranda Lambert- Mama Im Alright.mp3,Miranda Lambert,Mama Im Alright,Miranda Lambert,Miranda Lambert: Wildcard,false,0.6,VERIFY,MB: Miranda Lambert - Miranda Lambert: Wildcard (api_score=100),https://musicbrainz.org/recording/b2e2668e-7b29-4620-ad93-6157b1669903; https://musicbrainz.org/recording/4be4453f-a488-4ee0-b344-acd0f45366d4; https://musicbrainz.org/recording/ed5325c9-dd5c-4ce4-b29e-52c1e061f2c4
C:\Users\suppo\Downloads\New Music\Top1000_Country\Missing Me Some You by Toby Keith.mp3,Toby Keith,Missing Me Some You,Toby Keith,Missing Me Some You,false,0.984,RENAME,MB: Toby Keith - Missing Me Some You (api_score=82),https://musicbrainz.org/recording/84a8957e-c230-4ac8-91de-34eb259daa2c; https://musicbrainz.org/recording/1203a985-44e2-49c8-9a09-2ef3d313e4f2; https://musicbrainz.org/recording/d6bd9421-76fe-43ca-b3a4-2a0910e023be
"C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Neil Young- My My, Hey Hey (Out Of The Blue).mp3",Neil Young,"My My, Hey Hey (Out Of The Blue)",Phoenix Moon,"My My, Hey Hey (Out of the Blue)",false,0.516,VERIFY,"MB: Phoenix Moon - My My, Hey Hey (Out of the Blue) (api_score=86)",https://musicbrainz.org/recording/a4a6772f-e4ae-4c9d-950b-9edc7504b4a2; https://musicbrainz.org/recording/d90d979e-f898-4cfc-bd64-f55df52212b2; https://musicbrainz.org/recording/9434f709-a091-4120-88dd-7ce3d145a485
"C:\Users\suppo\Downloads\New Music\Top1000_Country\Nights I Cant Remember, Friends Ill Never Forget by Toby Keith.mp3",Toby Keith,"Nights I Cant Remember, Friends Ill Never Forget",Toby Keith,"Nights I Can’t Remember, Friends I’ll Never Forget",false,0.909,RENAME,"MB: Toby Keith - Nights I Can’t Remember, Friends I’ll Never Forget (api_score=98)",https://musicbrainz.org/recording/84a8957e-c230-4ac8-91de-34eb259daa2c; https://musicbrainz.org/recording/b86ad4fe-be41-4043-8728-e268ddadc127; https://musicbrainz.org/recording/07b89d68-681f-46b2-8d87-bd38e4580089
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Public Enemy- WELCOME TO THE TERRORDOME.mp3,Public Enemy,WELCOME TO THE TERRORDOME,Public Enemy,Welcome to the Terrordome,false,1.0,RENAME,MB: Public Enemy - Welcome to the Terrordome (api_score=100),https://musicbrainz.org/recording/75acfc3f-cbf2-432e-8f25-e42a7543a5fb; https://musicbrainz.org/recording/dac4370f-1a2a-428b-9d15-656a9cceb2ed; https://musicbrainz.org/recording/5c49748e-da7e-4a25-92ca-9312f1686da0
"C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Schoolly D- PSK, What Does It Mean？.mp3",Schoolly D,"PSK, What Does It Mean？",Schoolly D,PSK (What Does It Mean?),false,1.0,RENAME,MB: Schoolly D - PSK (What Does It Mean?) (api_score=100),https://musicbrainz.org/recording/da868a05-85b6-4fad-b6e6-220f825b9d37; https://musicbrainz.org/recording/52a4f39b-4ba0-44c3-9e99-8c85085b80d0; https://musicbrainz.org/recording/25f5d8ec-d02f-46a6-8041-7ad70be69700
C:\Users\suppo\Downloads\New Music\Top1000_Country\Scotty McCreery- I Cross My Heart Lyrics.mp3,Scotty McCreery,I Cross My Heart Lyrics,Lizzie Cates,Scotty McCreery,true,0.6,VERIFY,MB: Lizzie Cates - Scotty McCreery (api_score=100); REVERSED from original split,https://musicbrainz.org/recording/6eafe891-7098-4128-8555-9586a9c2e900; https://musicbrainz.org/recording/80fb397c-5c25-447d-b96c-c90ca7cb7ca8; https://musicbrainz.org/recording/530bf9e7-b381-4b28-8fd1-54ce9ce9a8ed
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Slick Rick -la di da di lyrics.mp3,Slick Rick,-la di da di lyrics,Nativ ft. Dawill,Slick Rick,true,0.6,VERIFY,MB: Nativ ft. Dawill - Slick Rick (api_score=100); REVERSED from original split,https://musicbrainz.org/recording/ad3fb2b0-2a3c-4405-9b30-c67b870dfa12; https://musicbrainz.org/recording/98477b09-a07c-48dd-bec0-422f6978093c; https://musicbrainz.org/recording/e17760ab-f32c-4c93-931f-6dac6de7224e
C:\Users\suppo\Downloads\New Music\Top1000_Classical\St. Pauls Suite By Gustav Holst No. 2 Ostinato.mp3,Gustav Holst No. 2 Ostinato,St. Pauls Suite,[unknown],St. Pauls Suite: Jig,false,0.4,HOLD,MB: [unknown] - St. Pauls Suite: Jig (api_score=89),https://musicbrainz.org/recording/f77c8fda-2fb5-4f15-8477-7376b49ba9fb; https://musicbrainz.org/recording/6943f29e-ec95-420b-8a16-a3deabff485f; https://musicbrainz.org/recording/eb3a5179-ffe8-43fd-a07f-9e8e711a371b
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Tha Dogg Pound - ＂What Would You Do＂.mp3,Tha Dogg Pound,＂What Would You Do＂,Tha Dogg Pound,What Would U Do?,false,0.96,RENAME,MB: Tha Dogg Pound - What Would U Do? (api_score=100),https://musicbrainz.org/recording/3f2ec98c-b5f0-4f55-a7ad-48daf081c327; https://musicbrainz.org/recording/b36b2804-9f66-43bb-ad31-d33191b5f1cd; https://musicbrainz.org/recording/cbf1814d-2927-4d0f-9a53-37bc007bb9c2
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\The Byrds- I Wasn't Born To Follow.mp3,The Byrds,I Wasn't Born To Follow,The Byrds,I Wasn’t Born to Follow,false,1.0,RENAME,MB: The Byrds - I Wasn’t Born to Follow (api_score=86),https://musicbrainz.org/recording/98c508c1-8117-4afa-abe5-ba1a774a38c9; https://musicbrainz.org/recording/501a50a3-4ff3-4310-aa49-5de38fcf7a81; https://musicbrainz.org/recording/72e60898-abb5-4450-9818-4b1dcee9f9c2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Roots- No Alibi.mp3,The Roots,No Alibi,To the North,No Alibi,false,0.75,VERIFY,MB: To the North - No Alibi (api_score=100),https://musicbrainz.org/recording/8ae96203-824a-43a0-901e-e5e8b539f00c; https://musicbrainz.org/recording/51170780-c81f-402a-bf5f-000e55bb1dcc; https://musicbrainz.org/recording/3a86cae7-773d-438c-9dba-db6aa9eaf209
C:\Users\suppo\Downloads\New Music\Top1000_Country\Tim McGraw- Where The Green Grass Grows.mp3,Tim McGraw,Where The Green Grass Grows,United Steelworkers of Montreal,Where the Green Grass Grows,false,0.468,HOLD,MB: United Steelworkers of Montreal - Where the Green Grass Grows (api_score=78),https://musicbrainz.org/recording/ed66ed0b-4589-4c70-8515-4fdb4b1c9c0f; https://musicbrainz.org/recording/6775516d-4e9b-48df-af93-37a25a30a997; https://musicbrainz.org/recording/d33dcd8c-4aad-4801-82c5-8236db545074
C:\Users\suppo\Downloads\New Music\Top1000_Country\Toby Keith- Aint Breakin Nothin.mp3,Toby Keith,Aint Breakin Nothin,The Punk Group,Toby Keith,true,0.6,VERIFY,MB: The Punk Group - Toby Keith (api_score=100); REVERSED from original split,https://musicbrainz.org/recording/84a8957e-c230-4ac8-91de-34eb259daa2c; https://musicbrainz.org/recording/fd162705-3ca4-45c8-b4f8-9bd564d7bb77; https://musicbrainz.org/recording/0ab677b6-3d50-45cc-ac87-76321bc9e609
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Twista ‎- Overnight Celebrity.mp3,Twista ‎,Overnight Celebrity,Twista,Overnight Celebrity,false,1.0,RENAME,MB: Twista - Overnight Celebrity (api_score=96),https://musicbrainz.org/recording/6210f3b0-5089-4a6e-9dcb-8977aa58e1a6; https://musicbrainz.org/recording/1fd06075-3f10-49e0-8798-deded6a029a3; https://musicbrainz.org/recording/0212d66b-6310-44f1-832c-58ed84688bf3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Van Halen- Runnin' with the devil.mp3,Van Halen,Runnin' with the devil,Van Halen,Runnin’ With the Devil,false,1.0,RENAME,MB: Van Halen - Runnin’ With the Devil (api_score=88),https://musicbrainz.org/recording/d98cc23d-3ee4-4e6c-b95b-0ef6a6814d57; https://musicbrainz.org/recording/058bb049-e1bc-475e-9164-1d9e631521eb; https://musicbrainz.org/recording/a1311eee-55f5-47c3-9170-44ad23d744cd
"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Vintage Jazz 1950s 🎷 Golden Classics by Frank Sinatra, Nat King Cole & Louis Armstrong.mp3","Frank Sinatra, Nat King Cole & Louis Armstrong",Vintage Jazz 1950s 🎷 Golden Classics,Alicia Keys,Nat King Cole,true,0.257,HOLD,MB: Alicia Keys - Nat King Cole (api_score=100); REVERSED from original split,https://musicbrainz.org/recording/03c3be19-e8ee-4d4c-88fa-ccd2edec2274; https://musicbrainz.org/recording/2a5e268d-50d0-4044-8f6f-c6dd76bed3a0; https://musicbrainz.org/recording/d55f7698-c95f-4a1f-a6a1-7d53a50b1fb0
"C:\Users\suppo\Downloads\New Music\Top1000_Country\With you, Without you by Brad Paisley.wmv.mp3",Brad Paisley.wmv,"With you, Without you",With or Without You,The Signature,true,0.45,HOLD,MB: With or Without You - The Signature (api_score=100); REVERSED from original split,https://musicbrainz.org/recording/97506a9c-9429-427a-b512-7c35b533a0c3; https://musicbrainz.org/recording/948c9156-c7f9-4ad3-a843-e8bc0e78e073; https://musicbrainz.org/recording/14dc7dee-2d1e-4761-acdd-a09bb94f5fd2
