original_path,decision,notes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Black Star - Respiration ft. Common.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Black Star - Respiration ft. Common.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs N Harmony - 1st of tha Month.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs N Harmony - Crossroads.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Bone Thugs N Harmony - Crossroads.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Bone Thugs N Harmony - Thuggish Ruggish 
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs-n-Harmony - 1st of tha Month.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\CamRon - Hey Ma ft. Juelz Santana.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\CamRon - Oh Boy ft. Juelz Santana.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Charlie Daniels Band - The South's Gonna Do It (Live).mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Charlie Daniels Band - The South's Gonna
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Coolio - Gangsta's Paradise (feat. L.V.) [Official Music Video].mp3,keep_review,dup_risk=similar_title but no Phase 6 state assigned
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Craig Mack - Flava In Ya Ear (Remix) (Official Music Video).mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Craig Mack - Flava In Ya Ear (Remix) (Of
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Craig Mack - Flava In Ya Ear.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Craig Mack - Flava in Ya Ear.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs W&W - Arcade.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs W&W - Waves.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Dio - The Last in Line.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line.temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Dio - The Last In Line (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Dr Dre - Nuthin but a Thang.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Dr Dre - Nuthin But A ＂G＂ Thang (Alt 1).
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin' But A ＂G＂ Thang [Official Music Video].mp3,keep_review,dup_risk=near_duplicate but no Phase 6 state assigned
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Eazy-e - Real Muthaphuckkin G's.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eazy-E - Real Muthaphuckkin Gs.mp3,keep_review,dup_risk=near_duplicate but no Phase 6 state assigned
C:\Users\suppo\Downloads\New Music\Top1000_Country\Eric Church - Over When It's Over (Music Video).mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Eric Church - Over When It's Over (Music
C:\Users\suppo\Downloads\New Music\Top1000_Country\Eric Church - Over When Its Over.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Eric Church - Over When Its Over.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Gang Starr - Above The Clouds.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Gang Starr - Above the Clouds.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Geto Boys - Mind Playing Tricks On Me (Official Video) [Explicit].mp3,keep_review,dup_risk=similar_title but no Phase 6 state assigned
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Geto Boys - Mind Playing Tricks On Me.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Geto Boys - Mind Playing Tricks on Me.mp
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Hank Williams Jr - Simple Man.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Hank Williams Jr - Simple Man.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Hank Williams Jr - Simple Man.temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Hank Williams Jr - Simple Man (Alt 1).mp
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Heaven and Hell - Black Sabbath lyrics.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Heaven and Hell - Black Sabbath Lyrics.m
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Heaven and Hell - Black Sabbath lyrics.temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Heaven and Hell - Black Sabbath lyrics (
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - Check Yo Self.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - It Was A Good Day.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Ice Cube - It Was a Good Day.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - You Know How We Do It.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Ice Cube - You Know How We Do It.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\IceCube - Check Yo Self.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000\Kelly Clarkson - me.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Kelly Clarkson - me (Version 2).mp3
C:\Users\suppo\Downloads\New Music\Top1000\Kelly Clarkson - mine.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Kelly Clarkson - Mine.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney - Til It's Gone (Official Video).mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Kenny Chesney - Til It's Gone (Official 
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney - Til Its Gone.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Kenny Chesney - Til Its Gone.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Led Zeppelin - Rock and Roll HQ.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Led Zeppelin - Rock and Roll Hq.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Led Zeppelin - Rock and Roll HQ.temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Led Zeppelin - Rock and Roll HQ (Alt 1).
C:\Users\suppo\Downloads\New Music\Top1000_Club\Martin Garrix - Now That I've Found You.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_Club\Martin Garrix - Now That Ive Found You.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\MC Lyte 10% Diss.mp3,keep_review,fallback_parse; unreliable
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mobb Deep - Quiet Storm ft. Lil Kim ft. Lil Kim.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Mobb Deep - Quiet Storm ft. Lil Kim ft. 
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mobb Deep - Quiet Storm ft. Lil' Kim (Official Video) ft. Lil' Kim.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Mobb Deep - Quiet Storm ft. Lil' Kim (Of
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mobb Deep - Shook Ones Pt. 1.mp3,keep_review,dup_risk=similar_title but no Phase 6 state assigned
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Nas - It Ain't Hard To Tell (Official Video).mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Nas - It Ain't Hard To Tell (Official Vi
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Nas - It Aint Hard To Tell.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Nas - It Aint Hard to Tell.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Pantera - 5 Minutes Alone.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Pantera - 5 Minutes Alone (Official Musi
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Queen Latifah - U.N.I.T.Y..mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Queen Latifah - U.n.i.t.y..mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Savatage - Hall Of The Mountain King.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Savatage - Hall of the Mountain King.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Savatage - Hall Of The Mountain King.temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Savatage - Hall Of The Mountain King (Al
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Slayer - Hell Awaits.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Slayer - Hell Awaits.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Slayer - Hell Awaits.temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Slayer - Hell Awaits (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Snoop Dogg - Gin And Juice.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Snoop Dogg - Gin and Juice.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Snoop Dogg - Who Am I (What's My Name)？.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Snoop Dogg - Who Am I？.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Souls Of Mischief - 93 'Til Infinity (Official Video).mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Souls Of Mischief - 93 'Til Infinity (Of
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Souls Of Mischief - 93 Til Infinity.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Souls of Mischief - 93 Til Infinity.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Club\The Chainsmokers - Don't Let Me Down ft. Daya.mp3,keep_review,dup_risk=similar_title but no Phase 6 state assigned
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Pharcyde - Passin Me By.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=The Pharcyde - Passin Me By.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Pharcyde - Passin' Me By (Official HD Music Video).mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=The Pharcyde - Passin' Me By (Official H
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Roots - You Got Me ft. Erykah Badu.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=The Roots - You Got Me ft. Erykah Badu.m
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\UFO - Doctor Doctor.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Ufo - Doctor Doctor.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\UFO - Doctor Doctor.temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=UFO - Doctor Doctor (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Club\W&W & MOTi - Spack Jarrow.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_Club\W&W and MOTi - Spack Jarrow.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Wu-Tang Clan - Da Mystery Of Chessboxin' (Official HD Video).mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Wu-Tang Clan - Da Mystery Of Chessboxin'
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Wu-Tang Clan - Da Mystery Of Chessboxin.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Wu-tang Clan - Da Mystery of Chessboxin.
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\ZZ Top Sharp Dressed Man.mp3,keep_review,fallback_parse; unreliable
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,keep_review,dup_risk=none but col=illegal_chars conf=0.3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=50 Cent - 21 Questions (Official Music V
C:\Users\suppo\Downloads\New Music\Top1000\50 Cent - In Da Club.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - In Da Club.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8 Ball and MJG- Space Age Pimpin.mp3,approve_primary,low_confidence col but conf=0.3; proposed=8 Ball and MJG - Space Age Pimpin.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=A Tribe Called Quest - Electric Relaxati
C:\Users\suppo\Downloads\New Music\Top1000\Aaria- Thug Love ft. Dreamdoll.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Aaria - Thug Love ft. Dreamdoll.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\ACDC- For Those About To Rock (with lyrics).mp3,approve_primary,low_confidence col but conf=0.3; proposed=ACDC - For Those About To Rock (with lyr
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Adrenaline Rush.mp3,keep_review,dup_risk=none but col=no_change conf=0.0
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson - ＂Its Time You Learned About Goodbye＂.mp3,keep_review,low_confidence; conf=0.0; needs manual parse
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson Anywhere On Earth You Are.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Alan Jackson - Anywhere On Earth You Are
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson Knew All Along.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Alan Jackson - Knew All Along.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson- Everything I Love.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Alan Jackson - Everything I Love.mp3
C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Alone.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Alone.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep (Marshmello Remix).mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Albert Collins Ice Pick.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Albert Collins - Ice Pick.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know (Alesso & Deniz Koyu Remix ⧸ Audio) ft. Nico & Vinz.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Alesso - I Wanna Know (Alesso & Deniz Ko
C:\Users\suppo\Downloads\New Music\Top1000_Country\All my Exs live in Texas- George Strait.mp3,approve_primary,low_confidence col but conf=0.3; proposed=All my Exs live in Texas - George Strait
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Allman Brothers Band - Soulshine.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Allman Brothers Band - Soulshine.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_Country\Amarillo By Morning.mp3,keep_review,dup_risk=none but col=no_change conf=0.0
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ambitionz Az A Ridah.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Ambitionz Az A Ridah (HipHop).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\American Girl performed by Tom Petty.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Tom Petty - American Girl performed.mp3
"C:\Users\suppo\Downloads\New Music\Top1000\Arijit Singh： Pachtaoge ｜ Vicky Kaushal, Nora Fatehi ｜Jaani, B Praak, Arvindr Khaira ｜ Bhushan Kumar.mp3",keep_review,dup_risk=none but col=illegal_chars conf=0.3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Audio Two- Top Billin.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Audio Two - Top Billin.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Club\Avicii Levels Skrillex Remix.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Avicii - Levels Skrillex Remix.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Club\Axwell Λ Ingrosso - Thinking About You (Festival Mix).mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_Blues\B.B. King- Everyday I have the Blues.mp3,approve_primary,low_confidence col but conf=0.3; proposed=B.B. King - Everyday I have the Blues.mp
C:\Users\suppo\Downloads\New Music\Top1000\Baby 9eno ＂ Free B.G. ＂ @tntshotit.mp3,keep_review,low_confidence; conf=0.0; needs manual parse
"C:\Users\suppo\Downloads\New Music\Top1000_Opera\Bach, Air.mp3",keep_review,dup_risk=none but col=no_change conf=0.0
C:\Users\suppo\Downloads\New Music\Top1000_Country\Back Where I Come From- Kenny Chesney.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Back Where I Come From - Kenny Chesney.m
"C:\Users\suppo\Downloads\New Music\Top1000_Classical\Beethoven Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3",approve_primary,low_confidence col but conf=0.3; proposed=Beethoven - Piano Concerto No. 5 in E-fl
C:\Users\suppo\Downloads\New Music\Top1000_Country\Bertie Higgins - ＂Key Largo＂.mp3,keep_review,low_confidence; conf=0.0; needs manual parse
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.mp3",approve_primary,RESOLVED_PRIMARY high-conf; proposed=Best Motown Hits of All Time 🎶 Soul Lege
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.temp.mp3",approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Best Motown Hits of All Time 🎶 Soul Lege
"C:\Users\suppo\Downloads\New Music\Top1000_Classical\Best Version of Jesu, Joy Of Mans Desiring by Bach.mp3",approve_primary,"low_confidence col but conf=0.3; proposed=Bach - Best Version of Jesu, Joy Of Mans"
C:\Users\suppo\Downloads\New Music\Top1000\Bfb Da Packman- Honey Pack.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Bfb Da Packman - Honey Pack.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big L - Put It On (Official Music Video).mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Big L - Put It On (Official Music Video)
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Still Not a Player (Official Video) ft. Joe.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Big Pun - Still Not a Player (Official V
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Black Sabbath ~ War Pigs.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Black Sabbath - ~ War Pigs.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs-N-Harmony ft 2pac thug luv lyrics.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Bone Thugs-N-Harmony - ft 2pac thug luv 
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Boogie Down Productions- South Bronx.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Boogie Down Productions - South Bronx.mp
C:\Users\suppo\Downloads\New Music\Top1000\Bop Menaxe- Til The Rain Gone.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Bop Menaxe - Til The Rain Gone.mp3
C:\Users\suppo\Downloads\New Music\Top1000\Bop Menaxe- War Cry.mp3,approve_primary,low_confidence col but conf=0.3; proposed=Bop Menaxe - War Cry.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Country\Brandi Carlile Hallelujah.mp3,keep_review,dup_risk=none but col=no_change conf=0.0
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\BT- Race Wars.mp3,keep_review,dup_risk=none but col=no_change conf=0.0
C:\Users\suppo\Downloads\New Music\Top1000\BTS- MIC Drop.mp3,keep_review,dup_risk=none but col=no_change conf=0.0
C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris - Summer.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_Club\Calvin Harris - Summer.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
"C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris, Rihanna - This Is What You Came For.mp3",keep_review,NEEDS_REVIEW state from Phase 6
"C:\Users\suppo\Downloads\New Music\Top1000_Club\Calvin Harris, Rihanna - This Is What You Came For.mp3",hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\CANIBUS MAN.mp3,keep_review,dup_risk=none but col=no_change conf=0.0
C:\Users\suppo\Downloads\New Music\Top1000\Carine - Call 911 ｜ Official Music Video.mp3,approve_primary,no dup risk; col=no_change; conf=1.0
C:\Users\suppo\Downloads\New Music\Top1000\Carine - Lolita ｜ Official Visualizer.mp3,approve_primary,no dup risk; col=no_change; conf=1.0
