track_id,artist,title,genre,subgenre,harmonic_stability,loudness_lufs,avg_section_duration,tempo_stability,energy,danceability,section_count
2120,Craig Morgan,Craig Morgan - Almost Home,Country,,0.8796,-36.4,102.60066666666667,0.9,0.228,0.416,3.0
2122,Craig Morgan,Craig Morgan - International Harvester,Country,,0.7746,-25.0,77.44266666666667,0.9,0.707,0.886,3.0
2123,Craig Morgan,Craig Morgan - Little Bit of Life,Country,,0.7751,-24.9,83.30866666666667,0.888,0.814,0.943,3.0
2125,Craig Morgan,Craig Morgan - Paradise,Country,,0.9016,-37.2,75.60799999999999,0.8735,0.201,0.405,3.0
2132,Creed,Creed - With Arms Wide Open,Rock,,0.5699,-32.8,95.61000000000001,0.9,0.314,0.72,3.0
2136,Creed Fisher,Creed Fisher - I'll Have a Few More,Country,,0.7837,-30.2,113.75,0.8977,0.7,0.943,2.0
2146,Creed Fisher,Creed Fisher - Try to Burn This One,Country,,0.7646,-27.0,72.15933333333332,0.9,0.647,0.754,3.0
2147,Creed Fisher,Creed Fisher - You Got an App for That,Country,,0.8374,-25.7,105.657,0.9,0.827,0.98,2.0
2150,Darryl Worley,Darryl Worley - Have You Forgotten,Country,,0.7494,-30.6,80.60866666666666,0.8661,0.36,0.569,3.0
2158,David Allan Coe,David Allen Coe - You Never Even Called Me by My Name,Country,,0.8036,-28.3,108.90466666666667,0.8977,0.249,0.773,3.0
2162,Def Leppard,Def Leppard - Animal,Rock,,0.4589,-22.0,122.373,0.9,0.709,0.946,2.0
2163,Def Leppard,Def Leppard - Armageddon It,Rock,,0.5078,-22.6,111.13600000000001,0.841,0.667,0.93,3.0
2166,Def Leppard,Def Leppard - Love Bites,Rock,,0.8432,-28.5,126.86399999999999,0.8086,0.298,0.792,3.0
2167,Def Leppard,Def Leppard - Nine Lives,Rock,,0.7505,-24.8,71.81133333333334,0.8937,0.741,0.958,3.0
2173,Demun Jones & Upchurch,Demun Jones & Upchurch  - Off Road,Hip-Hop,,0.3183,-25.8,85.86200000000001,0.8969,1.0,0.63,3.0
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,,0.5042,-23.4,103.676,0.8974,0.65,0.924,2.0
2175,Jawga Boyz,Demun Jones - Country First,Hip-Hop,,0.6548,-23.9,64.76533333333334,0.8728,0.81,0.98,3.0
2183,Demun Jones,Demun Jones - We Them Boys,Hip-Hop,,0.73,-27.6,92.129,0.8977,0.833,0.98,2.0
2188,Dire Straits,Dire Straits - Money for Nothing,Rock,,0.7841,-33.9,85.81466666666665,0.8491,0.223,0.764,3.0
2201,Donice Morace,Donice Morace - Boots On,Country,,0.9254,-25.7,90.238,0.9,0.774,0.97,2.0
2203,Donice Morace,Donice Morace - Wait 'til We Get Home,Country,,0.8294,-25.5,112.877,0.8978,0.828,0.98,2.0
2206,Durte,DurtE - How Dirtbagz Roll,Hip-Hop,,0.713,-26.1,65.47666666666667,0.85,0.71,0.93,3.0
2209,Eddy Grant,Eddy Grant - Electric Avenue,Pop,,0.6116,-26.4,100.23299999999999,0.9,0.485,0.862,2.0
2212,Electric Light Orchestra,Electric Light Orchestra - Don't Bring Me Down,Rock,,0.8669,-24.7,83.63333333333334,0.9,0.627,0.738,3.0
2217,Tom MacDonald,End Of The World - Tom MacDonald,Hip-Hop,,0.8,-14.0,,,0.62,0.62,
2221,Faith No More,Faith No More - Epic,Rock,,0.7363,-29.7,94.49000000000001,0.5839,0.265,0.429,3.0
2239,Five Finger Death Punch,Five Finger Death Punch - Wrong Side Of Heaven,Rock,,0.7438,-24.9,92.04200000000002,0.8848,0.667,0.93,3.0
2240,Fleetwood Mac,Fleetwood Mac - The Chain ,Rock,,0.792,-37.7,101.28533333333333,0.8138,0.147,0.558,3.0
2245,Foreigner,Foreigner - Cold As Ice,Rock,,0.8309,-27.8,62.88733333333334,0.8491,0.681,0.935,3.0
2251,Fozzy,Fozzy - Painless,Metal,,0.7635,-23.6,81.19666666666667,0.8985,0.723,0.951,3.0
2258,Garth Brooks,Garth Brooks - Callin' Baton Rouge,Country,,0.8421,-28.2,54.20733333333333,0.8936,0.45,0.849,3.0
2264,Garth Brooks,Garth Brooks - Rodeo,Country,,0.7576,-28.5,82.64266666666667,0.8973,0.446,0.497,3.0
2270,Garth Brooks,Garth Brooks - The River,Country,,0.8854,-31.1,97.835,0.8596,0.415,0.486,3.0
2272,Garth Brooks,"Garth Brooks - Two of a Kind, Workin' on a Full House",Country,,0.8136,-30.2,51.79866666666666,0.85,0.422,0.838,3.0
2274,Garth Brooks,Garth Brooks - Unanswered Prayers,Country,,0.8441,-30.2,72.345,0.8883,0.474,0.508,3.0
2277,Gary Numan,Gary Numan - Cars,Rock,Alternative,0.5966,-22.5,82.09400000000001,0.8796,0.632,0.917,3.0
2280,George Strait,George Strait - Adalida,Country,,0.9285,-29.4,73.52,0.8271,0.418,0.712,3.0
2282,George Strait,George Strait - Lovebug,Country,,0.8295,-29.9,57.49333333333333,0.8956,0.462,0.503,3.0
2284,George Strait,George Strait - The Fireman  ,Country,,0.7384,-33.3,54.11933333333334,0.8,0.304,0.61,3.0
2287,Giant,Giant - Never Die Young,Rock,,0.6304,-22.3,75.11666666666666,0.9,0.739,0.957,3.0
2290,Girish And The Chronicles,Girish And The Chronicles - Idenity Crisis,Rock,Classic Rock,0.3675,-25.3,210.5,0.9,0.66,0.928,2.0
2298,Guns N' Roses,Guns N Roses - Sweet Child O Mine,Rock,,0.8098,-34.1,101.56666666666666,0.85,0.237,0.769,3.0
2299,Hal Ketchum,Hal Ketchum - Small Town Saturday Night,Country,,0.662,-29.2,62.32999999999999,0.85,0.496,0.689,3.0
2304,3 Doors Down,Here Without You - Doors Down,Rock,,,-10.9,,0.95,0.9,0.96,
2305,Travis Tritt,Here's A Quarter - Travis Tritt,Country,,0.7303,-27.7,54.35733333333332,0.6649,0.412,0.835,3.0
2307,Hootie & The Blowfish,Hootie & The Blowfish - Let Her Cry,Pop,,0.7254,-33.8,84.52733333333333,0.8992,0.273,0.775,3.0
2315,Imagine Dragons,Imagine Dragons - Natural,Rock,Alternative,0.653,-23.5,66.33999999999999,0.9,0.654,0.925,3.0
2318,Ini Kamoze,Ini Kamoze - Here Comes the Hotstepper,R&B,,0.3286,-31.1,85.73466666666667,0.8861,0.474,0.858,3.0
2323,Jason Aldean,Jason Aldean - Any Ol' Barstool,Country,,0.8578,-25.7,69.81533333333333,0.85,0.779,0.92,3.0
2324,Jason Aldean,Jason Aldean - Girl Like You,Country,,0.8322,-24.2,65.05066666666666,0.85,0.747,0.908,3.0
2342,Jelly Roll & Struggle Jennings,Jelly Roll & Struggle Jennings - Enemy,Hip-Hop,,0.6768,-26.1,69.99933333333333,0.849,0.811,0.63,3.0
2353,Joe Walsh,Joe Walsh - Rocky Mountain Way,Rock,,0.6414,-34.8,108.57866666666666,0.8986,0.234,0.617,3.0
2363,John Michael Montgomery,John Michael Montgomery - Life's a Dance,Country,,0.7606,-29.5,67.62066666666666,0.85,0.445,0.847,3.0
2365,Johnny Cash,Johnny Cash - A Boy Named Sue,Country,,0.4866,-33.2,75.022,0.8977,0.36,0.815,3.0
2368,Journey,Journey - Any Way You Want It,Rock,,0.7339,-27.1,104.34100000000001,0.8973,0.38,0.725,2.0
2370,Journey,Journey - Faithfully,Rock,,0.8881,-34.7,93.78933333333333,0.8482,0.345,0.809,3.0
2374,Journey,Journey - Wheel in the Sky,Rock,,0.8371,-35.5,86.56599999999999,0.8955,0.167,0.743,3.0
2381,Kansas,Kansas - Carry on my Wayward son,Rock,,0.5652,-26.2,109.61533333333331,0.899,0.441,0.845,3.0
2391,Kid Rock,Kid Rock - Let_s Ride,Rock,Classic Rock,0.8,-14.0,,,0.64,0.64,
2397,Kid Rock,Kid Rock - The Last Dance,Rock,,0.9095,-21.4,82.02666666666666,0.9,0.77,0.969,3.0
2412,Little River Band,Little River Band - Man On Your Mind,Rock,,0.7452,-33.7,84.17466666666667,0.9,0.308,0.796,3.0
2414,Little Texas,Little Texas - Life Goes On,Country,,0.8691,-25.9,80.653,0.8956,0.524,0.877,2.0
2419,Luke Bryan,Luke Bryan - Country Man,Country,,0.7774,-23.9,68.60866666666666,0.9,0.725,0.952,3.0
2422,Luke Bryan,Luke Bryan - What Makes You Country,Country,,0.7724,-21.8,79.76333333333334,0.7993,0.81,0.63,3.0
2423,Luke Combs,Luke Combs - When It Rains It Pours,Country,,0.8178,-25.5,121.268,0.8982,0.843,0.98,2.0
2425,Lynyrd Skynyrd,Lynyrd Skynyrd - Gimme Three Steps,Rock,,0.6059,-27.9,93.78399999999999,0.85,0.602,0.906,3.0
2433,Matchbox Twenty,Matchbox Twenty - 3 AM,Pop,,0.7355,-27.0,84.16799999999999,0.8989,0.481,0.51,3.0
2434,Meat Loaf,Meat Loaf - I'd Do Anything For Love,Rock,,0.8,-14.0,,,0.32,0.52,
2454,Motley Crue,Mötley Crüe - Girls Girls Girls,Metal,,0.8,-14.0,,0.85,0.15,0.15,
2461,Nickelback,Nickelback - Rockstar,Rock,,0.7517,-24.3,85.58266666666667,0.8484,0.638,0.867,3.0
2471,Overtime,OverTime - Divided We Fall,Hip-Hop,,0.7451,-24.3,76.82333333333334,0.8992,0.713,0.91,3.0
2486,Poison,Poison - Something To Believe In,Rock,Classic Rock,0.8525,-22.9,127.00666666666666,0.8956,0.725,0.952,3.0
2493,Queen,Queen - One Vision,Rock,Classic Rock,0.7599,-29.5,82.30933333333333,0.8867,0.379,0.822,3.0
2494,Queen,Queen - Seven Seas Of Rhye,Rock,,0.7926,-27.7,59.07266666666666,0.849,0.514,0.873,3.0
2495,Queen,Queen - Show Must Go On,Rock,,0.7186,-29.6,90.75866666666666,0.7965,0.33,0.604,3.0
2496,Queensrÿche,Queensrÿche - Another Rainy Night,Rock,Classic Rock,,,,,,,
2503,Ratt,Ratt - Round And Round,Rock,,0.6151,-22.6,134.36100000000002,0.9,0.667,0.93,2.0
2508,Rhett Akins,Rhett Atkins - That Ain't My Truck,Country,,0.8013,-28.8,86.02133333333332,0.85,0.432,0.842,3.0
2516,RIP,RIP - Odin Can You Hear Me,Metal,,0.6969,-25.4,81.75366666666666,0.9,0.56,0.54,3.0
2529,Ryan Upchurch,Ryan Upchurch - Hollerboys,Country,,0.8328,-26.4,73.40666666666667,0.8755,0.761,0.72,3.0
2533,Sammy Hagar,Sammy Hagar - I Can't Drive 55,Rock,Classic Rock,0.7457,-29.6,96.83333333333333,0.8956,0.244,0.772,3.0
2536,Sammy Kershaw,Sammy Kershaw - Third Rate Romance,Country,,0.8674,-28.9,67.87866666666666,0.9,0.509,0.871,3.0
2537,Sara Evans,Sara Evans - Suds In The Bucket,Country,,0.8602,-36.6,112.629,0.7452,0.175,0.514,2.0
2538,Tom MacDonald,Save A Life - Tom MacDonald,Hip-Hop,,0.8,-14.0,,,0.59,0.59,
2543,Sawyer Brown,Sawyer Brown - The Race Is On,Country,,0.7597,-25.0,67.636,0.9,0.568,0.777,3.0
2549,Sevendust,Sevendust - Not Original,Rock,,0.6497,-26.0,93.116,0.8981,0.628,0.916,3.0
2552,Shaggy,Shaggy - Strength Of A Woman,Reggae,,0.9197,-30.2,81.78599999999999,0.9,0.274,0.614,3.0
2562,Shinedown,Shinedown - State Of My Head,Rock,,0.6992,-23.5,70.92666666666666,0.8637,0.724,0.602,3.0
2570,Steve Miller Band,Steve Miller Band - Jungle Love,Rock,,0.488,-29.0,62.86533333333333,0.8992,0.512,0.795,3.0
2573,Tom MacDonald,Still The One - Tom MacDonald,Hip-Hop,,0.8,-14.0,,,0.53,0.53,
2576,Styx,Styx - Renegade,Rock,,0.752,-26.1,88.58733333333333,0.8884,0.481,0.86,3.0
2578,Sugar Ray,Sugar Ray - Every Morning,Rock,,0.6536,-26.9,86.12733333333334,0.885,0.622,0.913,3.0
2579,Pickin' On Series,Sugarland - Down In Mississippi,Country,Bluegrass,0.7307,-28.9,63.816,0.8703,0.344,0.459,3.0
2583,The J. Geils Band,The J. Geils Band - Centerfold,Rock,,0.8924,-29.4,76.794,0.9,0.269,0.781,3.0
2584,The J. Geils Band,The J. Geils Band - Freeze Frame,Rock,,0.7373,-38.7,78.46133333333334,0.8949,0.17,0.666,3.0
2592,The Rolling Stones,The Rolling Stones - Sympathy For The Devil,Rock,,0.3466,-28.9,133.58466666666666,0.8684,0.518,0.874,3.0
2599,Three Days Grace,Three Days Grace - I Am Machine,Rock,,0.5732,-24.4,69.08066666666666,0.8984,0.583,0.899,3.0
2600,Tim McGraw,Tim Mcgraw - Indian Outlaw,Country,,0.6215,-27.3,61.49933333333334,0.8976,0.451,0.772,3.0
2602,Tim McGraw,Tim McGraw - Something Like That,Country,,0.8583,-24.7,61.576,0.7993,0.574,0.744,3.0
2611,Toby Keith,Toby Keith - I'm Just Talkin' About Tonight,Country,,0.6183,-24.4,55.867333333333335,0.9,0.813,0.98,3.0
2617,Toby Keith & Willie Nelson,Toby Kieth - Beer For My Horses,Country,,0.7851,-25.6,72.75066666666667,0.898,0.594,0.903,3.0
2618,Toby Keith,Toby Kieth - My List,Country,,0.7572,-27.2,72.68533333333333,0.9,0.431,0.492,3.0
2622,"Tom MacDonald, Nova Rockafeller & Brandon Hart",Tom MacDonald & Brandon Hart ft. Nova Rockafeller - Chruch,Hip-Hop,,0.9293,-25.1,76.712,0.9,0.715,0.832,3.0
2643,Tom MacDonald,Tom MacDonald - Freedoms Not For Sale,Hip-Hop,,0.761,-25.9,102.89399999999999,0.8963,0.603,0.828,3.0
2645,Tom MacDonald,Tom MacDonald - Ghost,Pop,,0.6823,-27.4,77.90433333333333,0.898,0.536,0.531,3.0
2648,Tom MacDonald,Tom MacDonald - Hatred,Hip-Hop,,0.516,-23.8,78.66566666666667,0.8788,0.741,0.608,3.0
2653,Tom MacDonald,Tom MacDonald - I Hate Hip Hop,Hip-Hop,,0.3845,-24.9,81.078,0.8731,0.889,0.735,3.0
2655,Tom MacDonald,Tom MacDonald - Im Corny,Hip-Hop,,0.7887,-25.3,68.82199999999999,0.8767,0.811,0.864,3.0
2663,Tom MacDonald,Tom MacDonald - Names,Hip-Hop,,0.713,-24.7,90.26133333333333,0.7979,0.701,0.943,3.0
2667,Tom MacDonald,Tom MacDonald - People So Stupid,Hip-Hop,,0.448,-23.8,61.23266666666666,0.8812,0.73,0.954,3.0
2668,Tom MacDonald,Tom MacDonald - Politically Incorrect,Hip-Hop,,0.76,-26.8,82.02866666666667,0.898,0.385,0.824,3.0
2675,Tom MacDonald,Tom MacDonald - See God,Hip-Hop,,0.6404,-24.5,121.58233333333334,0.8991,0.862,0.98,3.0
2676,Tom MacDonald,Tom MacDonald - Sellout,Hip-Hop,,0.7357,-24.6,75.09733333333334,0.8812,0.768,0.968,3.0
2693,Tom MacDonald,Tom MacDonald - Way Off,Hip-Hop,,0.5624,-29.2,106.61266666666666,0.8985,0.674,0.933,3.0
2698,Tom MacDonald,Tom MacDonald ft. DAX - Blame The Rappers,Hip-Hop,,0.5981,-24.6,96.49666666666667,0.8989,0.807,0.63,3.0
2703,Tommy Vext,Tommy Vext - Take me to Church,Metal,,0.7711,-22.1,82.67866666666667,0.8479,1.0,0.803,3.0
2706,Tone-Loc,Tone Loc - Wild Thing,Hip-Hop,,0.3285,-30.6,130.434,0.85,0.326,0.452,2.0
2708,Trace Adkins,Trace Adkins - Empty Chairs,Country,,0.8584,-27.2,81.61533333333334,0.8879,0.695,0.591,3.0
2714,Tracy Byrd,Tracy Byrd - Don't Take Her She's All I Got,Country,,0.6888,-29.5,70.96933333333332,0.9,0.498,0.867,3.0
2715,Tracy Byrd,Tracy Byrd - Lifestyles Of The Not So Rich and Famous,Country,,0.8658,-29.5,58.52200000000001,0.9,0.356,0.814,3.0
2717,Tracy Byrd,Tracy Byrd - The Truth About Men,Country,,0.7599,-32.0,59.443333333333335,0.8983,0.341,0.458,3.0
2722,Tracy Lawrence,"Tracy Lawrence - Renegades, Rebels and Rogues",Country,,0.7147,-30.4,53.61933333333332,0.9,0.361,0.638,3.0
2727,Travis Tritt,Travis Tritt - It's a Great Day to be Alive,Country,,0.8194,-25.7,82.13933333333334,0.8991,0.698,0.942,3.0
2731,Travis Tritt,Travis Tritt - Take It Easy,Country,,0.8325,-25.4,104.098,0.9,0.515,0.866,2.0
2733,Travis Tritt,Travis Tritt - Ten Feet Tall And Bulletproof,Country,,0.775,-34.1,77.87066666666666,0.8994,0.275,0.783,3.0
2748,Van Halen,Van Halen - Jump,Rock,,0.7892,-31.8,82.12133333333333,0.9,0.215,0.761,3.0
2751,Van Halen,Van Halen - Runnin' With The Devil,Soundtrack,,0.6222,-26.1,72.69800000000001,0.9,0.421,0.779,3.0
2752,Van Zant,Van Zant - Help Somebody,Rock,,0.8,-14.0,,,0.24,0.44,
2755,Vince Gill,Vince Gill - One More Last Chance,Country,,0.6738,-34.7,72.44466666666666,0.896,0.234,0.418,3.0
2758,Donice Morace,Wd-40 And Duct Tape - Donice Morace,Country,,0.8,-14.0,,,0.76,1.0,
2761,Weird Al Yankovic,Weird Al Yankovic - Word Crimes,Pop,,0.3821,-28.2,76.93133333333334,0.8981,0.567,0.893,3.0
2763,Whiskey Myers,Whiskey Myers - Gasoline,Rock,,0.6843,-24.6,80.138,0.9,0.818,0.795,3.0
2766,Whitesnake,WhiteSnake - Here I Go Again,Rock,,0.8543,-31.2,134.63833333333332,0.5981,0.231,0.65,3.0
2770,Zac Brown Band,Zac Brown Band - Heavy Is The Head,Country,,0.657,-23.4,121.963,0.8,0.85,0.63,2.0
2773,ZZ Top,ZZ Top - Sleeping Bag,Rock,,0.7907,-24.8,124.75200000000001,0.8968,0.514,0.873,2.0
2775,3 Doors Down,3 Doors Down - Here Without You,Rock,Alternative,0.5903,-29.8,80.46466666666667,0.8992,0.578,0.859,3.0
2781,Unknown,Vanny Vabiola - I Love You,Pop,,0.8109,-27.4,159.25650000000002,0.8714,0.703,0.792,2.0
2808,Unknown,Dax - Lonely Dirt Road (Lyrics),Hip-Hop,,,,,,,,
2811,Unknown,Snoop Dogg - Gin And Juice,Hip-Hop,G-Funk,0.5643,-34.8,89.15033333333332,0.8703,0.216,0.761,3.0
2828,Unknown,The Who - Baba O'Riley,Rock,Classic Rock,0.7698,-29.0,115.02633333333334,0.8977,0.588,0.901,3.0
2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,,0.7182,-30.5,153.665,0.8719,0.407,0.833,2.0
2841,Unknown,Dax - Temptation,Hip-Hop,,0.8459,-27.6,64.89233333333333,0.7979,0.524,0.692,3.0
2846,Tommy Vext,Tommy Vext  - Cancel the King,Rock,,0.7236,-21.3,77.16000000000001,0.8817,1.0,0.63,3.0
2848,Mic Manik,Mic Manik - Redneck Remix,Hip-Hop,,0.6622,-32.9,203.43999999999997,0.9,0.319,0.666,3.0
2851,Motley Crue,Motley Crue - Girls Girls Girls,Metal,,0.7084,-38.7,94.156,0.8991,0.096,0.709,3.0
2852,Mötley Crüe,Motley Crue - Dr  Feelgood,Rock,Classic Rock,0.7023,-22.1,151.68599999999998,0.8989,0.757,0.864,2.0
2855,Kid Rock,Kid Rock - Let's Ride,Rock,Classic Rock,0.6524,-23.1,103.64333333333333,0.8481,0.856,0.98,3.0
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,,0.5814,-23.3,102.083,0.8881,0.936,0.63,2.0
2862,Unknown,Daft Punk - Contact,Electronic,,0.8063,-27.2,141.775,0.8944,0.637,0.919,3.0
2868,Unknown,Arctic Monkeys - Do I Wanna Know,Rock,Alternative,0.6909,-30.1,92.30366666666667,0.9,0.625,0.564,3.0
2872,Unknown,Joni Mitchell - A Case of You Lyrics,Folk,,0.7818,-32.5,90.02433333333333,0.8842,0.475,0.858,3.0
2879,Unknown,Skrillex - Bangarang,Electronic,Dubstep,0.5997,-16.3,77.66033333333334,0.6,0.982,0.98,3.0
