track_id,artist,title,primary_genre,subgenre,secondary_genre,target_label_supported,support_type,confidence,benchmark_member,has_features,notes
2181,Demun Jones & Long Cut,Demun Jones - The Leaves,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2182,Demun Jones,Demun Jones - Truck Music,Country,Country Rap,Hip-Hop,Hip-Hop,secondary,high,no,yes,
2213,Elton John,Elton John - Levon,Pop,,,Pop,primary,high,no,yes,
2216,Eminem,Eminem - Without Me,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2223,Five Finger Death Punch,Five Finger Death Punch - Blue On Black,Metal,,,Metal,primary,high,no,yes,
2226,Five Finger Death Punch,Five Finger Death Punch - Darkness Settles In,Metal,,,Metal,primary,high,no,yes,
2227,Five Finger Death Punch,Five Finger Death Punch - Gone Away,Metal,,,Metal,primary,high,no,yes,
2229,Five Finger Death Punch,Five Finger Death Punch - I Apologize,Metal,,,Metal,primary,high,no,yes,
2231,Five Finger Death Punch,Five Finger Death Punch - Living The Dream,Metal,,,Metal,primary,high,no,yes,
2234,Five Finger Death Punch,Five Finger Death Punch - The Tragic Truth,Metal,,,Metal,primary,high,no,yes,
2235,Five Finger Death Punch,Five Finger Death Punch - To Be Alone,Metal,,,Metal,primary,high,no,yes,
2236,Five Finger Death Punch,Five Finger Death Punch - Trouble,Metal,,,Metal,primary,high,no,yes,
2238,Five Finger Death Punch,Five Finger Death Punch - When the Seasons Change,Metal,,,Metal,primary,high,no,yes,
2297,Television's Greatest Hits Band,Greg Kihn Band - Jeopardy,Soundtrack,,,Other,primary,high,no,yes,
2308,Hootie & The Blowfish,Hootie & The Blowfish - Only Wanna Be With You,Pop,,,Pop,primary,high,no,yes,
2319,Iron Maiden,Iron Maiden - Wasted Years ,Metal,,,Metal,primary,high,no,yes,
2332,Jason Aldean,Jason Aldean - Take a Little Ride,Pop,,,Pop,primary,high,no,yes,
2335,Jawga Boyz,Jawga Boys - Welcome 2 Jawga,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2339,Jd Crutch,Jd Crutch - Bente Uno Yo' Gi Presu,Pop,,,Pop,primary,high,no,yes,
2341,Jelly Roll,Jelly Roll  - Train Tracks,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2343,Jelly Roll,Jelly Roll - Creature,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2376,Judas Priest,Judas Priest - Turbo Lover,Metal,,,Metal,primary,high,no,yes,
2382,Kapena,Kapena - Don't Say Goodbye ,World,,,Other,primary,high,no,yes,
2406,LEN,Len - Steal My Sunshine,Pop,,,Pop,primary,high,no,yes,
2416,The B-52's,Love Shack - The B-52's,Pop,,,Pop,primary,high,no,yes,
2430,Mark Chesnutt,Mark Chestnut - It Sure Is Monday,Pop,,,Pop,primary,high,no,yes,
2437,Mini Thin,Mini Thin - Redneck Life,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2457,Nelly,Nelly - Country Grammar,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2466,Overtime,Overtime - American Bloodline,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2467,Overtime & Bubba Sparxxx,OverTime - American Strong,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2469,Overtime,OverTime - Blue Collar,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2470,Overtime,OverTime - County Line,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2473,Overtime,OverTime - The Foundation,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2475,Paperboy,Paperboy - Ditty,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2488,Pop Evil,Pop Evil - Boss's Daughter,Metal,,,Metal,primary,high,no,yes,
2499,Adam Calhoun,Ramble On - Adam Calhoun,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2504,Mic Manik,Redneck Remix - Mic Manik,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2518,Robin Thicke,Robin Thick - Blurred Lines,Pop,,,Pop,primary,high,no,yes,
2523,Roxette,Roxette - Joyride,Pop,,,Pop,primary,high,no,yes,
2527,Upchurch,Ryan Upchurch - Black Sheep,Country,Country Rap,Hip-Hop,Hip-Hop,secondary,high,no,yes,
2528,Upchurch,Ryan Upchurch - Cowboy Movies,Country,Country Rap,Hip-Hop,Hip-Hop,secondary,high,no,yes,
2530,Upchurch,Ryan Upchurch - Love Her Again,Country,Country Rap,Hip-Hop,Hip-Hop,secondary,high,no,yes,
2531,Upchurch,Ryan Upchurch - Real Country,Country,Country Rap,Hip-Hop,Hip-Hop,secondary,high,no,yes,
2532,Upchurch,Ryan Upchurch - Same Ol Same Ol,Country,Country Rap,Hip-Hop,Hip-Hop,secondary,high,no,yes,
2534,Sammy Johnson,Sammy Johnson - Don't Say Goodbye,Reggae,,,Other,primary,high,no,yes,
2548,Tom MacDonald,See God - Tom MacDonald,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2550,Shaggy,Shaggy - Angel,World,,,Other,primary,high,no,yes,
2551,Shaggy,Shaggy - It Wasn't Me,Reggae,,,Other,primary,high,no,yes,
2572,Tom MacDonald,Still Me - Tom MacDonald,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2581,T-Pain,T Pain - Bartender_,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2590,Tom MacDonald,The Machine - Tom MacDonald,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2595,Tom MacDonald,The System - Tom MacDonald,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2620,Tom MacDonald & Adam Calhoun,Tom MacDonald  Adam Calhoun - Whiteboz,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2621,Tom MacDonald & Adam Calhoun,Tom MacDonald & Adam Calhoun - Whiteboyz,Hip-Hop,,,Hip-Hop,primary,high,no,no,NO_ANALYSIS_DATA
2624,Tom MacDonald,Tom MacDonald -  Buttholes,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2626,Tom MacDonald,Tom MacDonald - American Dreamz,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2629,Tom MacDonald,Tom MacDonald - Angels,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2631,Tom MacDonald,Tom MacDonald - Average Boy,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2633,Tom MacDonald,Tom MacDonald - Best Rapper Ever,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2634,Tom MacDonald,Tom MacDonald - Castles,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2635,Tom MacDonald & Madchild,Tom MacDonald - D.R.U.G,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2636,Tom MacDonald,Tom MacDonald - Dear Rappers,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2637,Tom MacDonald,Tom MacDonald - Dirty Money,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2638,Tom MacDonald,Tom MacDonald - End Of The World,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2639,Tom MacDonald,Tom MacDonald - Everybody Hates Me,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2640,Tom MacDonald,Tom Macdonald - Fake Fans,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2641,Tom MacDonald,Tom MacDonald - Fighter,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2642,Tom MacDonald,Tom MacDonald - Freedom's Not For Sale,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2646,Tom MacDonald,Tom MacDonald - Gravestones,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2649,Tom MacDonald,Tom MacDonald - Helluvit,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2652,Tom MacDonald,Tom MacDonald - I Dont Care,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2654,Tom MacDonald,Tom MacDonald - I Wish,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2656,Tom MacDonald,Tom MacDonald - Im Sorry,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2657,Tom MacDonald,Tom MacDonald - Luck You,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2659,Tom MacDonald,Tom MacDonald - Money,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2660,Tom MacDonald,Tom MacDonald - My Fans,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2664,Tom MacDonald,Tom MacDonald - No Lives Matter,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2666,Tom MacDonald,Tom MacDonald - No Response,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2671,Tom MacDonald,Tom MacDonald - Riot,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2672,Tom MacDonald,Tom MacDonald - Save A Life,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2677,Tom MacDonald,Tom MacDonald - Sheeple,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2679,"Tom MacDonald, Madchild & Nova Rockafeller",Tom MacDonald - Sober,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2680,Tom MacDonald,Tom MacDonald - Still Me,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2681,Tom MacDonald,Tom MacDonald - Still The One,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2682,Tom MacDonald,Tom MacDonald - The Machine,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2683,Tom MacDonald,Tom MacDonald - The Music Industry,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2685,Tom MacDonald,Tom MacDonald - The System,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2687,Tom MacDonald,Tom MacDonald - This House,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2690,Tom MacDonald,Tom MacDonald - Trying To Kill Me,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2691,Tom MacDonald,Tom MacDonald - Underdogs,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2696,Tom MacDonald & Madchild,Tom MacDonald - White Trash,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2697,Tom MacDonald,Tom MacDonald - Wild Ones,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2699,Tom MacDonald & Adam Calhoun,Tom Macdonald X Adam Calhoun - Free World,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2735,Travis Tritt,Travis Tritt - Where Corn Don't Grow,Pop,,,Pop,primary,high,no,yes,
2740,Uncle Kracker,Uncle Kracker - Good To Be Me,Pop,,,Pop,primary,high,no,yes,
2741,Demun Jones & Upchurch,Upchruch _ Demun Jones - An Outlaw's Song,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,Country Rap,Hip-Hop,Hip-Hop,secondary,high,no,yes,
2768,Tom MacDonald,Wild Ones - Tom MacDonald,Hip-Hop,Rap Rock,Rock,Hip-Hop,primary,high,no,yes,
2774,Stick Figure,Stick Figure – ＂Angels Above Me＂ (Official Music Video),Reggae,,,Other,primary,high,no,yes,
2835,Stick Figure,Stick Figure – Angels Above Me,Reggae,,,Other,primary,high,no,no,NO_ANALYSIS_DATA
