group_id,file_path,original_name,proposed_name,size_bytes,size_mb,quality_score,normalized_key,file_hash,subfolder,group_type,exists,notes
G0006,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know (Alesso & Deniz Koyu Remix ⧸ Audio) ft. Nico & Vinz.mp3,Alesso - I Wanna Know (Alesso & Deniz Koyu Remix ⧸ Audio) ft. Nico & Vinz.mp3,Alesso - I Wanna Know ft. Nico & Vinz (Alesso & Deniz Koyu Remix ⧸ Au).mp3,10638603,10.1,57,alesso i wanna know ft nico vinz,b99290908f17a30e,Top1000_Club,same_song_diff_size,True,content_suffix
G0006,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know ft. Nico & Vinz.mp3,Alesso - I Wanna Know ft. Nico & Vinz.mp3,Alesso - I Wanna Know ft. Nico & Vinz (Version 2).mp3,9071845,8.7,65,alesso i wanna know ft nico vinz,8a2e3e2d65581d4c,Top1000_Club,same_song_diff_size,True,index_suffix
G0007,C:\Users\suppo\Downloads\New Music\Top1000_Blues\Allman Brothers Band - Soulshine.mp3,Allman Brothers Band - Soulshine.mp3,Allman Brothers Band - Soulshine (Blues).mp3,12159267,11.6,65,allman brothers band soulshine,75e5f2530f111c2d,Top1000_Blues,byte_identical,True,subfolder_suffix
G0007,C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Allman Brothers Band - Soulshine.mp3,Allman Brothers Band - Soulshine.mp3,Allman Brothers Band - Soulshine (Southern Rock).mp3,12159267,11.6,65,allman brothers band soulshine,75e5f2530f111c2d,Top1000_Southern Rock,byte_identical,True,subfolder_suffix
G0008,C:\Users\suppo\Downloads\New Music\Top1000_Club\Axwell Λ Ingrosso - Thinking About You (Festival Mix).mp3,Axwell Λ Ingrosso - Thinking About You (Festival Mix).mp3,Axwell Λ Ingrosso - Thinking About You (Festival Mix).mp3,10911210,10.4,65,axwell ingrosso thinking about you,52aca989630ab882,Top1000_Club,same_song_diff_size,True,content_suffix
G0008,C:\Users\suppo\Downloads\New Music\Top1000_Club\Axwell Λ Ingrosso - Thinking About You.mp3,Axwell Λ Ingrosso - Thinking About You.mp3,Axwell Λ Ingrosso - Thinking About You (Version 2).mp3,8375942,8.0,65,axwell ingrosso thinking about you,90649de72cf361e8,Top1000_Club,same_song_diff_size,True,index_suffix
G0009,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big L - Put It On (Official Music Video).mp3,Big L - Put It On (Official Music Video).mp3,Big L - Put it On (Music Video).mp3,6523504,6.2,55,big l put it on,0f06fafca300a7fe,Top1000_HipHop,byte_identical,True,content_suffix
G0009,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big L - Put It On.mp3,Big L - Put It On.mp3,Big L - Put it On (Version 2).mp3,6523504,6.2,60,big l put it on,0f06fafca300a7fe,Top1000_HipHop,byte_identical,True,index_suffix
G0010,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Still Not a Player (Official Video) ft. Joe.mp3,Big Pun - Still Not a Player (Official Video) ft. Joe.mp3,Big Pun - Still Not a Player ft. Joe (Music Video).mp3,9074387,8.7,55,big pun still not a player ft joe,42b563e86cf7550d,Top1000_HipHop,byte_identical,True,content_suffix
G0010,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Still Not a Player ft. Joe.mp3,Big Pun - Still Not a Player ft. Joe.mp3,Big Pun - Still Not a Player ft. Joe (Version 2).mp3,9074387,8.7,65,big pun still not a player ft joe,42b563e86cf7550d,Top1000_HipHop,byte_identical,True,index_suffix
G0011,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Twinz (Deep Cover 98) ft. Fat Joe.mp3,Big Pun - Twinz (Deep Cover 98) ft. Fat Joe.mp3,Big Pun - Twinz ft. Fat Joe (Version 1).mp3,8659245,8.3,65,big pun twinz ft fat joe,8e716379a41ae196,Top1000_HipHop,byte_identical,True,index_suffix
G0011,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Twinz ft. Fat Joe.mp3,Big Pun - Twinz ft. Fat Joe.mp3,Big Pun - Twinz ft. Fat Joe (Version 2).mp3,8659245,8.3,65,big pun twinz ft fat joe,8e716379a41ae196,Top1000_HipHop,byte_identical,True,index_suffix
G0012,C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris - Summer.mp3,Calvin Harris - Summer.mp3,Calvin Harris - Summer (General).mp3,7979271,7.6,65,calvin harris summer,fccec025dea27f79,Top1000,byte_identical,True,subfolder_suffix
G0012,C:\Users\suppo\Downloads\New Music\Top1000_Club\Calvin Harris - Summer.mp3,Calvin Harris - Summer.mp3,Calvin Harris - Summer (Club).mp3,7979271,7.6,65,calvin harris summer,fccec025dea27f79,Top1000_Club,byte_identical,True,subfolder_suffix
G0013,"C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris, Rihanna - This Is What You Came For.mp3","Calvin Harris, Rihanna - This Is What You Came For.mp3","Calvin Harris, Rihanna - This is What You Came For (General).mp3",8103601,7.7,65,calvin harris rihanna this is what you came for,07b8d04353b3f3b9,Top1000,byte_identical,True,subfolder_suffix
G0013,"C:\Users\suppo\Downloads\New Music\Top1000_Club\Calvin Harris, Rihanna - This Is What You Came For.mp3","Calvin Harris, Rihanna - This Is What You Came For.mp3","Calvin Harris, Rihanna - This is What You Came For (Club).mp3",8103601,7.7,65,calvin harris rihanna this is what you came for,07b8d04353b3f3b9,Top1000_Club,byte_identical,True,subfolder_suffix
G0014,C:\Users\suppo\Downloads\New Music\Top1000_Country\Chris Janson - ＂Buy Me A Boat＂.mp3,Chris Janson - ＂Buy Me A Boat＂.mp3,Chris Janson - (Version 1).mp3,6899368,6.6,59,chris janson buy me a boat,ff4617700adaf5a1,Top1000_Country,variant,True,index_suffix
G0014,C:\Users\suppo\Downloads\New Music\Top1000_Country\Chris Janson - ＂Power of Positive Drinkin＂.mp3,Chris Janson - ＂Power of Positive Drinkin＂.mp3,Chris Janson - (Version 2).mp3,7199400,6.9,59,chris janson power of positive drinkin,c72133a81f8f35e5,Top1000_Country,variant,True,index_suffix
G0015,C:\Users\suppo\Downloads\New Music\Top1000\Clean Bandit - Rockabye.mp3,Clean Bandit - Rockabye.mp3,Clean Bandit - Rockabye (General).mp3,8649332,8.2,60,bandit rockabye,19dbf17a2cd7c8f7,Top1000,byte_identical,True,subfolder_suffix
G0015,C:\Users\suppo\Downloads\New Music\Top1000_Club\Clean Bandit - Rockabye.mp3,Clean Bandit - Rockabye.mp3,Clean Bandit - Rockabye (Club).mp3,8649332,8.2,60,bandit rockabye,19dbf17a2cd7c8f7,Top1000_Club,byte_identical,True,subfolder_suffix
G0016,C:\Users\suppo\Downloads\New Music\Top1000\Coldplay - Hymn For The Weekend.mp3,Coldplay - Hymn For The Weekend.mp3,Coldplay - Hymn for the Weekend (General).mp3,9427051,9.0,65,coldplay hymn for the weekend,b051ae3802509b93,Top1000,same_song_diff_size,True,subfolder_suffix
G0016,C:\Users\suppo\Downloads\New Music\Top1000_Club\Coldplay - Hymn For The Weekend.mp3,Coldplay - Hymn For The Weekend.mp3,Coldplay - Hymn for the Weekend (Club).mp3,7715636,7.4,65,coldplay hymn for the weekend,f08b734ddf742149,Top1000_Club,same_song_diff_size,True,subfolder_suffix
G0017,C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise ft. L.V..mp3,Coolio - Gangstas Paradise ft. L.V..mp3,Coolio - Gangstas Paradise ft. L.v. (General).mp3,8799221,8.4,65,coolio gangstas paradise ft l v,9abff52d5af58c54,Top1000,byte_identical,True,subfolder_suffix
G0017,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Coolio - Gangstas Paradise ft. L.V..mp3,Coolio - Gangstas Paradise ft. L.V..mp3,Coolio - Gangstas Paradise ft. L.v. (HipHop).mp3,8799221,8.4,65,coolio gangstas paradise ft l v,9abff52d5af58c54,Top1000_HipHop,byte_identical,True,subfolder_suffix
G0018,C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise.mp3,Coolio - Gangstas Paradise.mp3,Coolio - Gangstas Paradise (General).mp3,8883781,8.5,65,coolio gangstas paradise,9e74d4c0a5121ecc,Top1000,byte_identical,True,subfolder_suffix
G0018,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Coolio - Gangstas Paradise.mp3,Coolio - Gangstas Paradise.mp3,Coolio - Gangstas Paradise (HipHop).mp3,8883781,8.5,65,coolio gangstas paradise,9e74d4c0a5121ecc,Top1000_HipHop,byte_identical,True,subfolder_suffix
G0019,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Hits from the Bong (Official Audio).mp3,Cypress Hill - Hits from the Bong (Official Audio).mp3,Cypress Hill - Hits From the Bong (Official Audio).mp3,5199992,5.0,65,cypress hill hits from the bong,ad304c69efe9da35,Top1000_HipHop,byte_identical,True,content_suffix
G0019,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Hits from the Bong.mp3,Cypress Hill - Hits from the Bong.mp3,Cypress Hill - Hits From the Bong (Version 2).mp3,5199992,5.0,65,cypress hill hits from the bong,ad304c69efe9da35,Top1000_HipHop,byte_identical,True,index_suffix
G0020,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Insane In The Brain (Official HD Video).mp3,Cypress Hill - Insane In The Brain (Official HD Video).mp3,Cypress Hill - Insane in the Brain (Music Video).mp3,7463816,7.1,55,cypress hill insane in the brain,c7318e45619c4501,Top1000_HipHop,byte_identical,True,content_suffix
G0020,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Insane In The Brain.mp3,Cypress Hill - Insane In The Brain.mp3,Cypress Hill - Insane in the Brain (Version 2).mp3,7463816,7.1,65,cypress hill insane in the brain,c7318e45619c4501,Top1000_HipHop,byte_identical,True,index_suffix
G0021,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂Gods Eyes＂.mp3,Dax - ＂Gods Eyes＂.mp3,Dax - (Version 1).mp3,6070384,5.8,54,dax gods eyes,e06af0c7bf200b1c,Top1000,variant,True,index_suffix
G0021,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂PTSD＂.mp3,Dax - ＂PTSD＂.mp3,Dax - (Version 2).mp3,6632420,6.3,54,dax ptsd,6de5cfdcd1cc5262,Top1000,variant,True,index_suffix
G0021,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dax - ＂TEMPTATION＂.mp3,Dax - ＂TEMPTATION＂.mp3,Dax - (Version 3).mp3,5980225,5.7,54,dax temptation,14d21af5d3f3d936,Top1000_HipHop,variant,True,index_suffix
G0021,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,Dax - ＂The Devils Calling＂.mp3,Dax - (Version 4).mp3,6037993,5.8,59,dax the devils calling,748f4239b0bd1e77,Top1000,variant,True,index_suffix
G0021,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂To Be A Man＂.mp3,Dax - ＂To Be A Man＂.mp3,Dax - (Version 5).mp3,5266610,5.0,54,dax to be a man,b4a848cb36e131f7,Top1000,variant,True,index_suffix
G0022,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\dead prez - Hip Hop (Digital Video).mp3,dead prez - Hip Hop (Digital Video).mp3,Dead Prez - Hip Hop (Version 1).mp3,8050608,7.7,65,dead prez hip hop,2c959ff110aed546,Top1000_HipHop,byte_identical,True,index_suffix
G0022,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\dead prez - Hip Hop.mp3,dead prez - Hip Hop.mp3,Dead Prez - Hip Hop (Version 2).mp3,8050608,7.7,60,dead prez hip hop,2c959ff110aed546,Top1000_HipHop,byte_identical,True,index_suffix
G0023,C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Ocarina) (Official Videoclip).mp3,Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Ocarina) (Official Videoclip).mp3,Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Music Video).mp3,7471708,7.1,55,dimitri vegas like mike ft wolfpack katy b find tomorrow,2ed67727eac6d359,Top1000_Club,same_song_diff_size,True,content_suffix
G0023,C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow.mp3,Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow.mp3,Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Version 2).mp3,6833079,6.5,60,dimitri vegas like mike ft wolfpack katy b find tomorrow,b0604ac14afc0835,Top1000_Club,same_song_diff_size,True,index_suffix
G0024,C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix).mp3,Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix).mp3,Dimitri Vegas & Like Mike vs Sander Van Doorn - Project T (Martin Garrix Remix).mp3,9805580,9.4,60,dimitri vegas like mike vs sander van doorn project t,a6f7a84ece948bc6,Top1000_Club,same_song_diff_size,True,content_suffix
G0024,C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T.mp3,Dimitri Vegas & Like Mike vs Sander van Doorn - Project T.mp3,Dimitri Vegas & Like Mike vs Sander Van Doorn - Project T (Version 2).mp3,9326058,8.9,65,dimitri vegas like mike vs sander van doorn project t,12c8c8b357d79eec,Top1000_Club,same_song_diff_size,True,index_suffix
G0025,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\DJ Jazzy Jeff & The Fresh Prince - Summertime (Official Video).mp3,DJ Jazzy Jeff & The Fresh Prince - Summertime (Official Video).mp3,DJ Jazzy Jeff & the Fresh Prince - Summertime (Music Video).mp3,8364115,8.0,50,dj jazzy jeff the fresh prince summertime,5b9e788fa03dbe48,Top1000_HipHop,byte_identical,True,content_suffix
G0025,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\DJ Jazzy Jeff & The Fresh Prince - Summertime.mp3,DJ Jazzy Jeff & The Fresh Prince - Summertime.mp3,DJ Jazzy Jeff & the Fresh Prince - Summertime (Version 2).mp3,8364115,8.0,65,dj jazzy jeff the fresh prince summertime,5b9e788fa03dbe48,Top1000_HipHop,byte_identical,True,index_suffix
G0026,C:\Users\suppo\Downloads\New Music\Top1000_Club\DJ Snake - Let Me Love You ft. Justin Bieber (Marshmello Remix) [Premiere].mp3,DJ Snake - Let Me Love You ft. Justin Bieber (Marshmello Remix) [Premiere].mp3,DJ Snake - Let Me Love You ft. Justin Bieber (Marshmello Remix).mp3,6067592,5.8,60,dj snake let me love you ft justin bieber,65cc5f91eb706638,Top1000_Club,same_song_diff_size,True,content_suffix
G0026,C:\Users\suppo\Downloads\New Music\Top1000\DJ Snake - Let Me Love You ft. Justin Bieber.mp3,DJ Snake - Let Me Love You ft. Justin Bieber.mp3,DJ Snake - Let Me Love You ft. Justin Bieber (Version 2).mp3,6756597,6.4,65,dj snake let me love you ft justin bieber,2475267c02f6d6d7,Top1000,same_song_diff_size,True,index_suffix
G0026,C:\Users\suppo\Downloads\New Music\Top1000_Club\DJ Snake - Let Me Love You ft. Justin Bieber.mp3,DJ Snake - Let Me Love You ft. Justin Bieber.mp3,DJ Snake - Let Me Love You ft. Justin Bieber (Version 3).mp3,6756597,6.4,65,dj snake let me love you ft justin bieber,2475267c02f6d6d7,Top1000_Club,same_song_diff_size,True,index_suffix
G0027,C:\Users\suppo\Downloads\New Music\Top1000\Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,Dr. Dre - Still D.r.e. ft. Snoop Dogg (General).mp3,10108507,9.6,65,dr dre still d r e ft snoop dogg,c02ba876f9efddfd,Top1000,byte_identical,True,subfolder_suffix
G0027,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,Dr. Dre - Still D.r.e. ft. Snoop Dogg (HipHop).mp3,10108507,9.6,65,dr dre still d r e ft snoop dogg,c02ba876f9efddfd,Top1000_HipHop,byte_identical,True,subfolder_suffix
G0028,C:\Users\suppo\Downloads\New Music\Top1000_Country\Easton Corbin - A Little More Country Than That (Official Video).mp3,Easton Corbin - A Little More Country Than That (Official Video).mp3,Easton Corbin - A Little More Country Than That (Music Video).mp3,5660058,5.4,50,easton corbin a little more country than that,73744d8e365c75b9,Top1000_Country,same_song_diff_size,True,content_suffix
G0028,C:\Users\suppo\Downloads\New Music\Top1000_Country\Easton Corbin - A Little More Country Than That.mp3,Easton Corbin - A Little More Country Than That.mp3,Easton Corbin - A Little More Country Than That (Version 2).mp3,5244214,5.0,65,easton corbin a little more country than that,9a106a3e4eaa30b9,Top1000_Country,same_song_diff_size,True,index_suffix
G0029,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Lose Yourself.mp3,Eminem - Lose Yourself.mp3,Eminem - Lose Yourself (General).mp3,7827743,7.5,65,eminem lose yourself,b05d9afbef054315,Top1000,byte_identical,True,subfolder_suffix
G0029,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eminem - Lose Yourself.mp3,Eminem - Lose Yourself.mp3,Eminem - Lose Yourself (HipHop).mp3,7827743,7.5,65,eminem lose yourself,b05d9afbef054315,Top1000_HipHop,byte_identical,True,subfolder_suffix
G0030,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Mockingbird.mp3,Eminem - Mockingbird.mp3,Eminem - Mockingbird (General).mp3,8720363,8.3,65,eminem mockingbird,80f5ad95518cd5bd,Top1000,byte_identical,True,subfolder_suffix
G0030,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eminem - Mockingbird.mp3,Eminem - Mockingbird.mp3,Eminem - Mockingbird (HipHop).mp3,8720363,8.3,65,eminem mockingbird,80f5ad95518cd5bd,Top1000_HipHop,byte_identical,True,subfolder_suffix
G0031,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eminem - My Name Is (Official Music Video).mp3,Eminem - My Name Is (Official Music Video).mp3,Eminem - My Name Is (Music Video).mp3,8693067,8.3,55,eminem my name is,c9b23b306d2508da,Top1000_HipHop,byte_identical,True,content_suffix
G0031,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eminem - My Name Is.mp3,Eminem - My Name Is.mp3,Eminem - My Name Is (Version 2).mp3,8693067,8.3,60,eminem my name is,c9b23b306d2508da,Top1000_HipHop,byte_identical,True,index_suffix
G0032,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Rap God.mp3,Eminem - Rap God.mp3,Eminem - Rap God (General).mp3,12787739,12.2,60,eminem rap god,e9a7bb35ad7302be,Top1000,byte_identical,True,subfolder_suffix
G0032,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eminem - Rap God.mp3,Eminem - Rap God.mp3,Eminem - Rap God (HipHop).mp3,12787739,12.2,60,eminem rap god,e9a7bb35ad7302be,Top1000_HipHop,byte_identical,True,subfolder_suffix
G0033,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Without Me.mp3,Eminem - Without Me.mp3,Eminem - Without Me (General).mp3,9391293,9.0,60,eminem without me,d8ab948f5e606500,Top1000,byte_identical,True,subfolder_suffix
G0033,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eminem - Without Me.mp3,Eminem - Without Me.mp3,Eminem - Without Me (HipHop).mp3,9391293,9.0,60,eminem without me,d8ab948f5e606500,Top1000_HipHop,byte_identical,True,subfolder_suffix
G0034,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Fugees - Fu-Gee-La (Official HD Video).mp3,Fugees - Fu-Gee-La (Official HD Video).mp3,Fugees - Fu-gee-la (Music Video).mp3,8769750,8.4,55,fugees fu gee la,f5f469735b0e16c0,Top1000_HipHop,byte_identical,True,content_suffix
G0034,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Fugees - Fu-Gee-La.mp3,Fugees - Fu-Gee-La.mp3,Fugees - Fu-gee-la (Version 2).mp3,8769750,8.4,60,fugees fu gee la,f5f469735b0e16c0,Top1000_HipHop,byte_identical,True,index_suffix
G0035,C:\Users\suppo\Downloads\New Music\Top1000\George Michael - Careless Whisper (Official 4K Video).mp3,George Michael - Careless Whisper (Official 4K Video).mp3,George Michael - Careless Whisper (Music Video).mp3,10549716,10.1,55,george michael careless whisper,b66149684e7f8a05,Top1000,same_song_diff_size,True,content_suffix
G0035,C:\Users\suppo\Downloads\New Music\Top1000\George Michael - Careless Whisper.mp3,George Michael - Careless Whisper.mp3,George Michael - Careless Whisper (Version 2).mp3,10539080,10.1,65,george michael careless whisper,f6b3b81b99a0400f,Top1000,same_song_diff_size,True,index_suffix
G0036,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\House of Pain - Jump Around (Official 4K Music Video).mp3,House of Pain - Jump Around (Official 4K Music Video).mp3,House of Pain - Jump Around (Music Video).mp3,8381697,8.0,55,house of pain jump around,37f45ed2756e5456,Top1000_HipHop,byte_identical,True,content_suffix
G0036,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\House of Pain - Jump Around.mp3,House of Pain - Jump Around.mp3,House of Pain - Jump Around (Version 2).mp3,8381697,8.0,65,house of pain jump around,37f45ed2756e5456,Top1000_HipHop,byte_identical,True,index_suffix
G0037,C:\Users\suppo\Downloads\New Music\Top1000\Imagine Dragons - Believer.mp3,Imagine Dragons - Believer.mp3,Imagine Dragons - Believer (General).mp3,7295669,7.0,65,imagine dragons believer,58fe729a784e56d6,Top1000,byte_identical,True,subfolder_suffix
G0037,C:\Users\suppo\Downloads\New Music\Top1000_Club\Imagine Dragons - Believer.mp3,Imagine Dragons - Believer.mp3,Imagine Dragons - Believer (Club).mp3,7295669,7.0,65,imagine dragons believer,58fe729a784e56d6,Top1000_Club,byte_identical,True,subfolder_suffix
G0038,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Jedi Mind Tricks - ＂Heavy Metal Kings＂.mp3,Jedi Mind Tricks - ＂Heavy Metal Kings＂.mp3,Jedi Mind - Tricks - (Version 1).mp3,9379031,8.9,59,jedi mind tricks heavy metal kings,58aef60bb9ed48e9,Top1000_HipHop,variant,True,index_suffix
G0038,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Jedi Mind Tricks - ＂I Who Have Nothing＂.mp3,Jedi Mind Tricks - ＂I Who Have Nothing＂.mp3,Jedi Mind - Tricks - (Version 2).mp3,7302458,7.0,59,jedi mind tricks i who have nothing,1773148eaf2692b6,Top1000_HipHop,variant,True,index_suffix
G0038,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Jedi Mind Tricks - ＂Uncommon Valor： A Vietnam Story＂.mp3,Jedi Mind Tricks - ＂Uncommon Valor： A Vietnam Story＂.mp3,Jedi Mind - Tricks - (Version 3).mp3,7924125,7.6,56,jedi mind tricks uncommon valor a vietnam story,087fd255006f40ee,Top1000_HipHop,variant,True,index_suffix
G0039,C:\Users\suppo\Downloads\New Music\Top1000_Country\Kacey Musgraves - Biscuits (Official Lyric Video).mp3,Kacey Musgraves - Biscuits (Official Lyric Video).mp3,Kacey Musgraves - Biscuits (Music Video).mp3,6972702,6.6,60,kacey musgraves biscuits,b5aff23d3a4b8469,Top1000_Country,same_song_diff_size,True,content_suffix
G0039,C:\Users\suppo\Downloads\New Music\Top1000_Country\Kacey Musgraves - Biscuits.mp3,Kacey Musgraves - Biscuits.mp3,Kacey Musgraves - Biscuits (Version 2).mp3,6844919,6.5,65,kacey musgraves biscuits,697097494ecc72d5,Top1000_Country,same_song_diff_size,True,index_suffix
G0040,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\KAMELOT - Eventide (Official Video) ｜ Napalm Records.mp3,KAMELOT - Eventide (Official Video) ｜ Napalm Records.mp3,Kamelot - Eventide ｜ Napalm Records (Music Video).mp3,8649343,8.2,52,kamelot eventide napalm records,1bf798e57bc67ad3,Top1000_Symphonic_Power Metal,same_song_diff_size,True,content_suffix
