original_path,original_name,proposed_name,confidence,parse_method,collision_status,duplicate_risk,source,issue_type,guessed_artist,guessed_title,filter_result,block_reasons
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Inferno Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AD INFINITUM,Inferno ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Seth (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Seth (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Seth Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AD INFINITUM,Seth ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Somewhere Better (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Somewhere Better (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Somewhere Better Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AD INFINITUM,Somewhere Better ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Unstoppable (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Unstoppable (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Unstoppable Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AD INFINITUM,Unstoppable ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Upside Down (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Upside Down (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Upside Down Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AD INFINITUM,Upside Down ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AEPHANEMER - Antigone (Official Video) ｜ Napalm Records.mp3,AEPHANEMER - Antigone (Official Video) ｜ Napalm Records.mp3,Aephanemer - Antigone Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AEPHANEMER,Antigone ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AEPHANEMER - Panta Rhei (Official Video) ｜ Napalm Records.mp3,AEPHANEMER - Panta Rhei (Official Video) ｜ Napalm Records.mp3,Aephanemer - Panta Rhei Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AEPHANEMER,Panta Rhei ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Club\Aero Chord feat. DDARK - Shootin Stars ｜ Trap ｜ NCS - Copyright Free Music.mp3,Aero Chord feat. DDARK - Shootin Stars ｜ Trap ｜ NCS - Copyright Free Music.mp3,Aero Chord Feat. Ddark - Shootin Stars ｜ Trap ｜ Ncs - Copyright Free Music.mp3,1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,Aero Chord feat. DDARK,Shootin Stars ｜ Trap ｜ NCS - Copyright Free Music,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AMBERIAN DAWN - Super Trouper (Abba Cover) (Official Lyric Video) ｜ Napalm Records.mp3,AMBERIAN DAWN - Super Trouper (Abba Cover) (Official Lyric Video) ｜ Napalm Records.mp3,Amberian Dawn - Super Trouper Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AMBERIAN DAWN,Super Trouper ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AMBERIAN DAWN - Temptation's Gates (Official Video) ｜ Napalm Records.mp3,AMBERIAN DAWN - Temptation's Gates (Official Video) ｜ Napalm Records.mp3,Amberian Dawn - Temptation's Gates Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AMBERIAN DAWN,Temptation's Gates ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AMBERIAN DAWN - The Day Before You Came (Lyric Video) ｜ Napalm Records.mp3,AMBERIAN DAWN - The Day Before You Came (Lyric Video) ｜ Napalm Records.mp3,Amberian Dawn - The Day Before You Came Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AMBERIAN DAWN,The Day Before You Came ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS MCSIX - 6666 (Official Video) ｜ Napalm Records.mp3,ANGUS MCSIX - 6666 (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - 6666 Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,ANGUS MCSIX,6666 ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSix - Dig Down (feat. Van Canto) (Official Video) ｜ Napalm Records.mp3,ANGUS McSix - Dig Down (feat. Van Canto) (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - Dig Down (Feat. Van Canto) Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,ANGUS McSix,Dig Down (feat. Van Canto) ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - I am Adam McSix feat. Rhapsody of Fire + Alex Krull (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - I am Adam McSix feat. Rhapsody of Fire + Alex Krull (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - I Am Adam Mcsix Feat. Rhapsody of Fire + Alex Krull Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,ANGUS McSIX,I am Adam McSix feat. Rhapsody of Fire + Alex Krull ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Laser-Shooting Dinosaur (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Laser-Shooting Dinosaur (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - Laser-shooting Dinosaur Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,ANGUS McSIX,Laser-Shooting Dinosaur ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Master Of The Universe (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Master Of The Universe (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - Master of the Universe Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,ANGUS McSIX,Master Of The Universe ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Ride To Hell (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Ride To Hell (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - Ride to Hell Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,ANGUS McSIX,Ride To Hell ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Sixcalibur (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Sixcalibur (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - Sixcalibur Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,ANGUS McSIX,Sixcalibur ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - The Fire of Yore feat. Uwe Ochsenknecht (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - The Fire of Yore feat. Uwe Ochsenknecht (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - The Fire of Yore Feat. Uwe Ochsenknecht Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,ANGUS McSIX,The Fire of Yore feat. Uwe Ochsenknecht ｜ Napalm Records,approved,
"C:\Users\suppo\Downloads\New Music\Top1000\AronChupa, Little Sis Nora - Im an Albatraoz ｜ OFFICIAL VIDEO.mp3","AronChupa, Little Sis Nora - Im an Albatraoz ｜ OFFICIAL VIDEO.mp3","Aronchupa, Little Sis Nora - Im an Albatraoz ｜ Official Video.mp3",1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,"AronChupa, Little Sis Nora",Im an Albatraoz ｜ OFFICIAL VIDEO,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AVANTASIA - The Witch (feat. Tommy Karevik) (Official Video) ｜ Napalm Records.mp3,AVANTASIA - The Witch (feat. Tommy Karevik) (Official Video) ｜ Napalm Records.mp3,Avantasia - The Witch (Feat. Tommy Karevik) Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AVANTASIA,The Witch (feat. Tommy Karevik) ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Blues\B. B. King - The Thrill Is Gone ｜ Stages.mp3,B. B. King - The Thrill Is Gone ｜ Stages.mp3,B. B. King - The Thrill is Gone ｜ Stages.mp3,1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,B. B. King,The Thrill Is Gone ｜ Stages,approved,
C:\Users\suppo\Downloads\New Music\Top1000\BAD BUNNY - ESTAMOS BIEN ｜ X100PRE.mp3,BAD BUNNY - ESTAMOS BIEN ｜ X100PRE.mp3,Bad Bunny - Estamos Bien ｜ X100pre.mp3,1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,BAD BUNNY,ESTAMOS BIEN ｜ X100PRE,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BATTLELORE - Chambers Of Fire (Lyric Video) ｜ Napalm Records.mp3,BATTLELORE - Chambers Of Fire (Lyric Video) ｜ Napalm Records.mp3,Battlelore - Chambers of Fire Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,BATTLELORE,Chambers Of Fire ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BATTLELORE - Elvenking (Official Video) ｜ Napalm Records.mp3,BATTLELORE - Elvenking (Official Video) ｜ Napalm Records.mp3,Battlelore - Elvenking Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,BATTLELORE,Elvenking ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Black Sabbath - Children Of The Grave⧸Embryo.mp3,Black Sabbath - Children Of The Grave⧸Embryo.mp3,Black Sabbath - Children of the Grave⧸embryo.mp3,1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,Black Sabbath,Children Of The Grave⧸Embryo,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BLOODBOUND - As Empires Fall (Official Video) ｜ Napalm Records.mp3,BLOODBOUND - As Empires Fall (Official Video) ｜ Napalm Records.mp3,Bloodbound - As Empires Fall Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,BLOODBOUND,As Empires Fall ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BLOODBOUND - Defenders Of Jerusalem (Official Video) ｜ Napalm Records.mp3,BLOODBOUND - Defenders Of Jerusalem (Official Video) ｜ Napalm Records.mp3,Bloodbound - Defenders of Jerusalem Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,BLOODBOUND,Defenders Of Jerusalem ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000\CANCUN - Jhanking ｜.mp3,CANCUN - Jhanking ｜.mp3,Cancun - Jhanking ｜.mp3,1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,CANCUN,Jhanking ｜,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\CIVIL WAR - Battle Of Life (Official Lyric Video) ｜ Napalm Records.mp3,CIVIL WAR - Battle Of Life (Official Lyric Video) ｜ Napalm Records.mp3,Civil War - Battle of Life Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,CIVIL WAR,Battle Of Life ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\CIVIL WAR - Invaders (Official Lyric Video) ｜ Napalm Records.mp3,CIVIL WAR - Invaders (Official Lyric Video) ｜ Napalm Records.mp3,Civil War - Invaders Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,CIVIL WAR,Invaders ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\CIVIL WAR - Oblivion (Official Lyric Video) ｜ Napalm Records.mp3,CIVIL WAR - Oblivion (Official Lyric Video) ｜ Napalm Records.mp3,Civil War - Oblivion Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,CIVIL WAR,Oblivion ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Classic Crooner Collection ｜ Best Jazz Hits Golden Era 50s–70s ｜ Golden Crooner Classics 🎶.mp3,Classic Crooner Collection ｜ Best Jazz Hits Golden Era 50s–70s ｜ Golden Crooner Classics 🎶.mp3,Classic Crooner Collection Best Jazz Hits Golden Era 50s - 70s Golden Crooner Classics 🎶.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,Classic Crooner Collection ｜ Best Jazz Hits Golden Era 50s,70s ｜ Golden Crooner Classics 🎶,approved,
"C:\Users\suppo\Downloads\New Music\Top1000\Cool Company - I Dont Wanna Be In Love, But I Dont Wanna Be Alone ｜ Official Music Video.mp3","Cool Company - I Dont Wanna Be In Love, But I Dont Wanna Be Alone ｜ Official Music Video.mp3","Cool Company - I Dont Wanna Be in Love, but I Dont Wanna Be Alone ｜ Official Music Video.mp3",1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,Cool Company,"I Dont Wanna Be In Love, But I Dont Wanna Be Alone ｜ Official Music Video",approved,
C:\Users\suppo\Downloads\New Music\Top1000_Club\DEAF KEV - Invincible ｜ Glitch Hop ｜ NCS - Copyright Free Music.mp3,DEAF KEV - Invincible ｜ Glitch Hop ｜ NCS - Copyright Free Music.mp3,Deaf Kev - Invincible ｜ Glitch Hop ｜ Ncs - Copyright Free Music.mp3,1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,DEAF KEV,Invincible ｜ Glitch Hop ｜ NCS - Copyright Free Music,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - Beneath (Official Video) ｜ Napalm Records.mp3,DELAIN - Beneath (Official Video) ｜ Napalm Records.mp3,Delain - Beneath Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DELAIN,Beneath ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - Dance With The Devil (Official Video) ｜ Napalm Records.mp3,DELAIN - Dance With The Devil (Official Video) ｜ Napalm Records.mp3,Delain - Dance With the Devil Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DELAIN,Dance With The Devil ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - Moth To A Flame (Official Video) ｜ Napalm Records.mp3,DELAIN - Moth To A Flame (Official Video) ｜ Napalm Records.mp3,Delain - Moth to a Flame Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DELAIN,Moth To A Flame ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - Queen Of Shadow (Official Video) ｜ Napalm Records.mp3,DELAIN - Queen Of Shadow (Official Video) ｜ Napalm Records.mp3,Delain - Queen of Shadow Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DELAIN,Queen Of Shadow ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - The Reaping (Official Video) ｜ Napalm Records.mp3,DELAIN - The Reaping (Official Video) ｜ Napalm Records.mp3,Delain - The Reaping Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DELAIN,The Reaping ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Club\Different Heaven & EH!DE - My Heart ｜ Drumstep ｜ NCS - Copyright Free Music.mp3,Different Heaven & EH!DE - My Heart ｜ Drumstep ｜ NCS - Copyright Free Music.mp3,Different Heaven & Eh!de - My Heart ｜ Drumstep ｜ Ncs - Copyright Free Music.mp3,1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,Different Heaven & EH!DE,My Heart ｜ Drumstep ｜ NCS - Copyright Free Music,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - Danger Danger (Official Video) ｜ Napalm Records.mp3,DOMINUM - Danger Danger (Official Video) ｜ Napalm Records.mp3,Dominum - Danger Danger Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DOMINUM,Danger Danger ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - Hey Living People (Official Video) ｜ Napalm Records.mp3,DOMINUM - Hey Living People (Official Video) ｜ Napalm Records.mp3,Dominum - Hey Living People Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DOMINUM,Hey Living People ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - Immortalis Dominum (Official Video) ｜ Napalm Records.mp3,DOMINUM - Immortalis Dominum (Official Video) ｜ Napalm Records.mp3,Dominum - Immortalis Dominum Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DOMINUM,Immortalis Dominum ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - One Of Us (Official Video) ｜ Napalm Records.mp3,DOMINUM - One Of Us (Official Video) ｜ Napalm Records.mp3,Dominum - One of Us Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DOMINUM,One Of Us ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - Patient Zero (Official Video) ｜ Napalm Records.mp3,DOMINUM - Patient Zero (Official Video) ｜ Napalm Records.mp3,Dominum - Patient Zero Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DOMINUM,Patient Zero ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - Rock You Like A Hurricane (Official Video) ｜ Napalm Records.mp3,DOMINUM - Rock You Like A Hurricane (Official Video) ｜ Napalm Records.mp3,Dominum - Rock You Like a Hurricane Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DOMINUM,Rock You Like A Hurricane ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - We All Taste The Same (Official Video) ｜ Napalm Records.mp3,DOMINUM - We All Taste The Same (Official Video) ｜ Napalm Records.mp3,Dominum - We All Taste the Same Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DOMINUM,We All Taste The Same ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - We Are Forlorn (Official Video) ｜ Napalm Records.mp3,DOMINUM - We Are Forlorn (Official Video) ｜ Napalm Records.mp3,Dominum - We Are Forlorn Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DOMINUM,We Are Forlorn ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DRAGONY - Legends Never Die (Official Video) ｜ Napalm Records.mp3,DRAGONY - Legends Never Die (Official Video) ｜ Napalm Records.mp3,Dragony - Legends Never Die Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DRAGONY,Legends Never Die ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DRAGONY - The Dead Queen's Race feat. Maria Nesh (Lyric Video) ｜ Napalm Records.mp3,DRAGONY - The Dead Queen's Race feat. Maria Nesh (Lyric Video) ｜ Napalm Records.mp3,Dragony - The Dead Queen's Race Feat. Maria Nesh Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,DRAGONY,The Dead Queen's Race feat. Maria Nesh ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\E-40 - Tell Me When To Go ｜ Warner Records.mp3,E-40 - Tell Me When To Go ｜ Warner Records.mp3,E-40 - Tell Me When to Go ｜ Warner Records.mp3,1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,E-40,Tell Me When To Go ｜ Warner Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\EDGE OF PARADISE - Death Note (Official Video) ｜ Napalm Records.mp3,EDGE OF PARADISE - Death Note (Official Video) ｜ Napalm Records.mp3,Edge of Paradise - Death Note Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,EDGE OF PARADISE,Death Note ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Club\Elektronomia - Energy ｜ Progressive House ｜ NCS - Copyright Free Music.mp3,Elektronomia - Energy ｜ Progressive House ｜ NCS - Copyright Free Music.mp3,Elektronomia - Energy ｜ Progressive House ｜ Ncs - Copyright Free Music.mp3,1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,Elektronomia,Energy ｜ Progressive House ｜ NCS - Copyright Free Music,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Elmore James - ＂It hurts Me Too＂ ｜ Remastered.mp3,Elmore James - ＂It hurts Me Too＂ ｜ Remastered.mp3,Elmore James - It Hurts Me Too Remastered.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,Elmore James,｜ Remastered,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ELVELLON - A Vagabond's Heart (Official Video) ｜ Napalm Records.mp3,ELVELLON - A Vagabond's Heart (Official Video) ｜ Napalm Records.mp3,Elvellon - A Vagabond's Heart Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,ELVELLON,A Vagabond's Heart ｜ Napalm Records,approved,
