track_id,artist,title,primary_genre,current_subgenre,candidate_aligned_subgenre,ambiguity_reason,confidence,recommended_action
1992,Billy Ray Cyrus,Billy Ray Cyrus - Words By Heart ,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2003,BlackHawk,BlackHawk - Every Once In a While,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2004,BlackHawk,BlackHawk - I Sure Can Smell the Rain,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1997,Blackberry Smoke,Black Berry Smoke - Good One,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2006,Blake Shelton,Blake Shelton - A Guy With A Girl,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2007,Blake Shelton,Blake Shelton - Boys Round Here,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2009,Blake Shelton,Blake Shelton - Kiss My Country Ass,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2010,Blake Shelton,Blake Shelton - Some Beach,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2018,Brad Paisley,Brad Paisley - I'm Gonna Miss Her,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2019,Brad Paisley,Brad Paisley - Me Neither,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2020,Brad Paisley,Brad Paisley - Mud On The Tires,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2021,Brad Paisley,Brad Paisley - Old Alabama,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2022,Brad Paisley,Brad Paisley - Ticks,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2023,Brad Paisley,Brad Paisley - Waiting on a Woman,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2024,Brad Paisley,Brad Paisley - Wrapped Around,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2033,Brantley Gilbert,Brantley Gilbert - Country Must Be Country Wide,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2034,Brett Young,Brett Young - In Case You Didn't Know,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2036,Brooks & Dunn,Brooks & Dunn - Ain't Nothing 'Bout You,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2037,Brooks & Dunn,Brooks & Dunn - Brand New Man,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2038,Brooks & Dunn,Brooks & Dunn - Hard Workin' Man,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2039,Brooks & Dunn,Brooks & Dunn - Lost And Found ,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2040,Brooks & Dunn,Brooks & Dunn - My Next Broken Heart,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2041,Brooks & Dunn,Brooks & Dunn - She's Not The Cheatin' Kind,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2042,Brooks & Dunn,Brooks & Dunn - That Ain't No Way To Go,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2043,Bryan Martin,Bryan Martin - Divided States,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2044,Bryan Martin,Bryan Martin - Everyone_s An Outlaw,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2045,Bryan Martin,Bryan Martin - We Ride,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2046,Bubba Sparxxx,Bubba Sparxxx - Country Folks,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2049,Buddy Brown,Buddy Brown  - All a Man Needs,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2050,Buddy Brown,Buddy Brown - Bounty Hunter,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2051,Buddy Brown,Buddy Brown - Deer Camp,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2052,Buddy Brown,Buddy Brown - Different Set Of Rules,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2845,Buddy Brown,Buddy Brown - Dirty Pictures,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2053,Buddy Brown,Buddy Brown - Don't Run From The Cops,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2054,Buddy Brown,Buddy Brown - I AM 911,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2055,Buddy Brown,Buddy Brown - I Call BS on That,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2056,Buddy Brown,Buddy Brown - If This Country Still Had Balls,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2057,Buddy Brown,Buddy Brown - Junior,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2058,Buddy Brown,Buddy Brown - Just Saying,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2059,Buddy Brown,Buddy Brown - Kids That Never Got Spanked,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2060,Buddy Brown,Buddy Brown - Man Card,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2061,Buddy Brown,Buddy Brown - Mason Jar,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2062,Buddy Brown,Buddy Brown - Set In My Ways,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2063,Buddy Brown,Buddy Brown - The Beer Truck,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2064,Buddy Brown,Buddy Brown - Tore Up ,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2190,Buddy Brown,Dirty Pictures - Buddy Brown,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2067,Carrie Underwood,Carrie Underwood - Undo It,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2857,Chad Mac,Chad Mac - Party In The Woods,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2068,Chad Mac,Chad Mac - Party In The Woods feat. Afroman,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2073,Chase Matthew,Chase Matthew - County Line,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2075,Chris Janson,Chris Janson - Buy Me A Boat,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2076,Chris LeDoux,Chris LeDoux - 8 Second Ride,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2077,Chris LeDoux,Chris LeDoux - Cadillac Ranch,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2079,Chris LeDoux,Chris LeDoux - The Call Of The Wild,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2080,Chris LeDoux,Chris LeDoux - The Ride,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2081,Chris LeDoux,Chris LeDoux - Whatcha Gonna Do With A Cowboy,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2078,Chris LeDoux,Chris Ledoux - County Fair,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2083,Chris Stapleton,Chris Stapleton - Friendship,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2085,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2087,Chris Stapleton,Chris Stapleton - Millionaire,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2088,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2089,Chris Stapleton,Chris Stapleton - Parachute,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2091,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2092,Chris Young,Chris Young - Aw Naw,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2093,Chris Young,Chris Young - Drowning,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2094,Chris Young,Chris Young - Gettin' You Home,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2095,Chris Young,Chris Young - Hangin' On,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2096,Chris Young,Chris Young - I'm Comin' Over,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2097,Chris Young,Chris Young - If That Ain't God,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2098,Chris Young,Chris Young - Raised on Country,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2100,Chris Young,Chris Young - Tomorrow,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2101,Chris Young,Chris Young - Voices,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2102,Chris Young,Chris Young - Who I Am with You,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2103,Clay Walker,Clay Walker - Countrified,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2104,Clay Walker,Clay Walker - Fore She Was Mama,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2105,Clay Walker,Clay Walker - If I Could Make a Living,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2106,Clay Walker,Clay Walker - Long the Cowboy,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2107,Clay Walker,Clay Walker - Need a Bar Sometimes,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2108,Clay Walker,Clay Walker - Rock the Radio,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2109,Clay Walker,Clay Walker - She Wont Be Lonely Long,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2110,Clay Walker,Clay Walker - Then What,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2111,Clay Walker,Clay Walker - What's It To You,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2113,Clint Black,Clint Black - A Good Run Of Bad Luck,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2114,Cody Jinks,Cody Jinks - Loud and Heavy,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2115,Collin Raye,Collin Raye - Little Red Rodeo,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2116,Confederate Railroad,Confederate Railroad - Daddy Never Was The Cadillac Kind,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2117,Confederate Railroad,Confederate Railroad - She Took It Like A Man,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2118,Confederate Railroad,Confederate Railroad - Trashy Women,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2120,Craig Morgan,Craig Morgan - Almost Home,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2121,Craig Morgan,Craig Morgan - Bonfire,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2122,Craig Morgan,Craig Morgan - International Harvester,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2123,Craig Morgan,Craig Morgan - Little Bit of Life,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2124,Craig Morgan,Craig Morgan - More Trucks Than Cars,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2125,Craig Morgan,Craig Morgan - Paradise,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2126,Craig Morgan,Craig Morgan - Redneck Yacht Club,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2127,Craig Morgan,Craig Morgan - This Ain't Nothin',Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2133,Creed Fisher,Creed Fisher - Blue Collar Town,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2134,Creed Fisher,Creed Fisher - Daddy's Been Gone Too Long,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2135,Creed Fisher,"Creed Fisher - Drink, Smoke, Cuss & Fight",Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2136,Creed Fisher,Creed Fisher - I'll Have a Few More,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2137,Creed Fisher,Creed Fisher - I'm Growing Older But I'm Not Growing Up,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2138,Creed Fisher,Creed Fisher - If You Have a Right to Burn My Flag,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2139,Creed Fisher,Creed Fisher - If You Wanna Have a Good Time,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2140,Creed Fisher,Creed Fisher - It Damn Sure Ain't Merle,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2141,Creed Fisher,Creed Fisher - Life Of A Workin' Man,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2142,Creed Fisher,Creed Fisher - Old School,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2143,Creed Fisher,Creed Fisher - The Way That I Am,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2144,Creed Fisher,Creed Fisher - This Place Called USA,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2145,Creed Fisher,Creed Fisher - This Side of Town,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2146,Creed Fisher,Creed Fisher - Try to Burn This One,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2147,Creed Fisher,Creed Fisher - You Got an App for That,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2149,Darius Rucker,Darius Rucker - Don't Think I Don't Think About It,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2150,Darryl Worley,Darryl Worley - Have You Forgotten,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2157,David Allan Coe,David Allan Coe - If That Ain't Country,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2158,David Allan Coe,David Allen Coe - You Never Even Called Me by My Name,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2159,David Lee Murphy,David Lee Murphy - Dust On The Bottle,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2178,Demun Jones,Demun Jones - My Town,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2180,Demun Jones,Demun Jones - Tannerite,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2182,Demun Jones,Demun Jones - Truck Music,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2187,Dillon Carmichael,Dillon Carmichael - Pickin Up Girls,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2201,Donice Morace,Donice Morace - Boots On,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2202,Donice Morace,Donice Morace - Good Hurt Comin' on,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2203,Donice Morace,Donice Morace - Wait 'til We Get Home,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2844,Donice Morace,Donice Morace - Wd-40 And Duct Tape,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2204,Donice Morace,Donice Morris - Wore It Out,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2758,Donice Morace,Wd-40 And Duct Tape - Donice Morace,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2205,Doug Supernaw,Doug Supernaw - I Don't Call Him Daddy,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2207,Dwight Yoakam,Dwight Yoakam - Suspicious Minds,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2215,Emilio,Emilio - Even if I Tried,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2241,Florida Georgia Line,Florida Georgia Line - Stay,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2252,Frank Foster,Frank Foster - Have A Few More,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2253,Frank Foster,Frank Foster - Til Im Gone,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2255,Garth Brooks,Garth Brooks - Ain't Going Down,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2256,Garth Brooks,Garth Brooks - American Honky-Tonk Bar Association,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2257,Garth Brooks,Garth Brooks - Beer Run,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2258,Garth Brooks,Garth Brooks - Callin' Baton Rouge,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2260,Garth Brooks,Garth Brooks - Friends in Low Places,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2261,Garth Brooks,Garth Brooks - If Tomorrow Never Comes,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2262,Garth Brooks,Garth Brooks - Longneck Bottle,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2849,Garth Brooks,Garth Brooks - Much Too Young,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2263,Garth Brooks,Garth Brooks - Papa Loved Mama,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2264,Garth Brooks,Garth Brooks - Rodeo,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2265,Garth Brooks,Garth Brooks - Shameless,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2266,Garth Brooks,Garth Brooks - Standing Outside The Fire,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2267,Garth Brooks,Garth Brooks - That Summer,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2268,Garth Brooks,Garth Brooks - The Beaches of Cheyenne,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2269,Garth Brooks,Garth Brooks - The Dance,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2270,Garth Brooks,Garth Brooks - The River,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2271,Garth Brooks,Garth Brooks - The Thunder Rolls,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2273,Garth Brooks,Garth Brooks - Two Piña Coladas,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2272,Garth Brooks,"Garth Brooks - Two of a Kind, Workin' on a Full House",Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2274,Garth Brooks,Garth Brooks - Unanswered Prayers,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2275,Garth Brooks,Garth Brooks - We Shall Be Free,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2276,Garth Brooks,Garth Brooks - What She's Doing Now,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2451,Garth Brooks,Much Too Young - Garth Brooks,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2278,George Strait,Geogre Strait  - Blue Clear Sky,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2279,George Strait,Geogre Strait - Carrying Your Love With Me,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2280,George Strait,George Strait - Adalida,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2281,George Strait,George Strait - Heartland,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2282,George Strait,George Strait - Lovebug,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2283,George Strait,George Strait - Ocean Front Property,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2284,George Strait,George Strait - The Fireman  ,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2299,Hal Ketchum,Hal Ketchum - Small Town Saturday Night,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2301,"Hank Williams, Jr.",Hank Williams Jr - Country Boy Can Survive,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2302,"Hank Williams, Jr.",Hank Williams Jr - Family Tradition,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2320,Jake Owen,Jake Owen - Eight Second Ride,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2321,Jason Aldean,Jason Aldean - A Little More Summertime,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2322,Jason Aldean,Jason Aldean - Amarillo Sky,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2323,Jason Aldean,Jason Aldean - Any Ol' Barstool,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2324,Jason Aldean,Jason Aldean - Girl Like You,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2325,Jason Aldean,Jason Aldean - Gonna Know We Were Here,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2326,Jason Aldean,Jason Aldean - Hicktown,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2327,Jason Aldean,Jason Aldean - Johnny Cash,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2328,Jason Aldean,Jason Aldean - Lights Come On,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2329,Jason Aldean,Jason Aldean - Night Train,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2330,Jason Aldean,Jason Aldean - Relentless,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2331,Jason Aldean,Jason Aldean - She's Country,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2333,Jason Aldean,Jason Aldean - The Truth,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2334,Jason Aldean,Jason Aldean - We Back,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2347,Joe Diffie,Joe Diffie - John Deere Green,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2348,Joe Diffie,Joe Diffie - Pickup Man,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2349,Joe Diffie,Joe Diffie - Prop Me Up Beside the Jukebox,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2350,Joe Diffie,Joe Diffie - Third Rock From The Sun,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2351,Joe Nichols,Joe Nichols - Tequila Makes Her Clothes Fall Off ,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2361,John Michael Montgomery,John Michael Montgomery - Be My Baby Tonight,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2362,John Michael Montgomery,John Michael Montgomery - Beer and Bones,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2363,John Michael Montgomery,John Michael Montgomery - Life's a Dance,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2364,John Michael Montgomery,John Michael Montgomery - Sold,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2365,Johnny Cash,Johnny Cash - A Boy Named Sue,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2354,Jonathan Parker,Johathan  Parker - How 'Bout That,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
2355,Jonathan Parker,Johathan Parker - Hard Time Blues,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
