file_path,primary_file,reason,confidence,recommended_action,notes,priority_score
"C:\Users\suppo\Downloads\New Music\Top1000\LMFAO - Party Rock Anthem (Audio) ft. Lauren Bennett, GoonRock.mp3","C:\Users\suppo\Downloads\New Music\Top1000\LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.mp3",Group G0042: alternate copy. Primary=LMFAO - Party Rock Anthem ft. Lauren Ben,high,ARCHIVE_DUPLICATE,"Group G0042, role=alternate, state=RESOLVED_ALTERNATE, source=collision. Alt name: LMFAO - Party Rock Anthem (Audio) ft. La",2
"C:\Users\suppo\Downloads\New Music\Top1000\LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.mp3","C:\Users\suppo\Downloads\New Music\Top1000\LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.mp3",Selected as primary for group G0042. quality=65; size=11.2MB; not temp file; margin=503,high,KEEP_PRIMARY,"Group G0042, role=primary, state=RESOLVED_PRIMARY, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Bad Booty ｜ Official Video.mp3,C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Bad Booty ｜ Official Video.mp3,Selected as primary for group G0049. quality=52; size=5.4MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0049, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Come With Me.mp3,C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Come With Me.mp3,Selected as primary for group G0050. quality=60; size=5.5MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0050, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Duro ｜ Lyric Video.mp3,C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Duro ｜ Lyric Video.mp3,Selected as primary for group G0051. quality=57; size=6.1MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0051, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Ladida ｜ Lyric Video.mp3,C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Ladida ｜ Lyric Video.mp3,Selected as primary for group G0052. quality=57; size=6.7MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0052, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Love Again.mp3,C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Love Again.mp3,Selected as primary for group G0053. quality=60; size=5.5MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0053, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
"C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Ring, Ring ｜ Official Video.mp3","C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Ring, Ring ｜ Official Video.mp3",Selected as primary for group G0054. quality=52; size=5.0MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0054, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Major Lazer - Cold Water.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Major Lazer - Cold Water.mp3,Selected as primary for group G0044. quality=65; size=6.0MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0044, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Marshmello - Alone.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Marshmello - Alone.mp3,Selected as primary for group G0045. quality=60; size=6.3MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0045, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Martin Garrix - Animals (Official Video).mp3,C:\Users\suppo\Downloads\New Music\Top1000\Martin Garrix - Animals.mp3,Group G0046: alternate copy. Primary=Martin Garrix - Animals.mp3,high,ARCHIVE_DUPLICATE,"Group G0046, role=alternate, state=RESOLVED_ALTERNATE, source=collision. Alt name: Martin Garrix - Animals (Official Video)",2
C:\Users\suppo\Downloads\New Music\Top1000\Martin Garrix - Animals.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Martin Garrix - Animals.mp3,Selected as primary for group G0046. quality=65; size=6.1MB; not temp file; margin=1000,high,KEEP_PRIMARY,"Group G0046, role=primary, state=RESOLVED_PRIMARY, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Michael Jackson - Billie Jean.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Michael Jackson - Billie Jean.mp3,Selected as primary for group G0047. quality=65; size=10.0MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0047, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Mike Posner - I Took A Pill In Ibiza.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Mike Posner - I Took A Pill In Ibiza.mp3,Selected as primary for group G0048. quality=65; size=7.4MB; not temp file; margin=1,low,KEEP_PRIMARY,"Group G0048, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Nirvana - Smells Like Teen Spirit.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Nirvana - Smells Like Teen Spirit.mp3,Selected as primary for group G0061. quality=65; size=9.3MB; not temp file; margin=1000,high,KEEP_PRIMARY,"Group G0061, role=primary, state=RESOLVED_PRIMARY, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Queen – Bohemian Rhapsody.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Queen - Bohemian Rhapsody (2011 Digital Remaster).mp3,Group G0063: alternate copy. Primary=Queen - Bohemian Rhapsody (2011 Digital ,high,ARCHIVE_DUPLICATE,"Group G0063, role=alternate, state=RESOLVED_ALTERNATE, source=collision. Alt name: Queen – Bohemian Rhapsody (Version 2).mp",2
"C:\Users\suppo\Downloads\New Music\Top1000\TOESUP, Smiley - Two Feet (DJ Dark Remix).mp3","C:\Users\suppo\Downloads\New Music\Top1000\TOESUP, Smiley - Two Feet (DJ Dark Remix).mp3",Selected as primary for group G0077. quality=65; size=5.2MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0077, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
"C:\Users\suppo\Downloads\New Music\Top1000\TOESUP, Smiley - Two Feet.mp3","C:\Users\suppo\Downloads\New Music\Top1000\TOESUP, Smiley - Two Feet (DJ Dark Remix).mp3","Group G0077: alternate copy. Primary=TOESUP, Smiley - Two Feet (DJ Dark Remix",low,ARCHIVE_DUPLICATE,"Group G0077, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: TOESUP, Smiley - Two Feet (Version 2).mp",2
C:\Users\suppo\Downloads\New Music\Top1000\The Chainsmokers & Coldplay - Something Just Like This.mp3,C:\Users\suppo\Downloads\New Music\Top1000\The Chainsmokers & Coldplay - Something Just Like This.mp3,Selected as primary for group G0067. quality=65; size=7.8MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0067, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\The Chainsmokers - Closer (Lyric) ft. Halsey.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\The Chainsmokers - Closer ft. Halsey.mp3,Group G0068: alternate copy. Primary=The Chainsmokers - Closer ft. Halsey.mp3,low,ARCHIVE_DUPLICATE,"Group G0068, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: The Chainsmokers - Closer (Lyric) ft. Ha",2
C:\Users\suppo\Downloads\New Music\Top1000\The Chainsmokers - Closer ft. Halsey.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\The Chainsmokers - Closer ft. Halsey.mp3,Group G0068: alternate copy. Primary=The Chainsmokers - Closer ft. Halsey.mp3,low,ARCHIVE_DUPLICATE,"Group G0068, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: The Chainsmokers - Closer ft. Halsey (Ve",2
C:\Users\suppo\Downloads\New Music\Top1000\The Chainsmokers - Dont Let Me Down ft. Daya.mp3,C:\Users\suppo\Downloads\New Music\Top1000\The Chainsmokers - Dont Let Me Down ft. Daya.mp3,Selected as primary for group G0069. quality=65; size=7.3MB; not temp file; margin=2,low,KEEP_PRIMARY,"Group G0069, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\The Weeknd - Cant Feel My Face.mp3,C:\Users\suppo\Downloads\New Music\Top1000\The Weeknd - Cant Feel My Face.mp3,Selected as primary for group G0074. quality=65; size=7.3MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0074, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\The Weeknd - I Feel It Coming ft. Daft Punk.mp3,C:\Users\suppo\Downloads\New Music\Top1000\The Weeknd - I Feel It Coming ft. Daft Punk.mp3,Selected as primary for group G0075. quality=65; size=9.5MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0075, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\The Weeknd - Starboy ft. Daft Punk ft. Daft Punk.mp3,C:\Users\suppo\Downloads\New Music\Top1000\The Weeknd - Starboy ft. Daft Punk ft. Daft Punk.mp3,Selected as primary for group G0076. quality=65; size=8.8MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0076, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Tove Lo - Habits - Hippie Sabotage Remix.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Tove Lo - Habits - Hippie Sabotage Remix.mp3,Selected as primary for group G0078. quality=65; size=7.8MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0078, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Allman Brothers Band - Soulshine.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Blues\Allman Brothers Band - Soulshine.mp3,Selected as primary for group G0007. quality=65; size=11.6MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0007, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000_Blues\sonny boy williamson help me.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Blues\sonny boy williamson help me.mp3,Selected as primary for group G0106. quality=55; size=3.6MB; not temp file; margin=4000,high,KEEP_PRIMARY,"Group G0106, role=primary, state=RESOLVED_PRIMARY, source=near_duplicate. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000_Blues\sonny boy williamson help me (Alt 1).mp3,C:\Users\suppo\Downloads\New Music\Top1000_Blues\sonny boy williamson help me.mp3,Group G0106: alternate copy. Primary=sonny boy williamson help me.mp3,high,ARCHIVE_DUPLICATE,"Group G0106, role=alternate, state=RESOLVED_ALTERNATE, source=near_duplicate. Alt name: sonny boy williamson help me (Alt 1).mp3",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Alone.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Alone.mp3,Group G0004: alternate copy. Primary=Alan Walker - Alone.mp3,low,ARCHIVE_DUPLICATE,"Group G0004, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: Alan Walker - Alone (Club).mp3",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep (Marshmello Remix).mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep (Marshmello Remix).mp3,Selected as primary for group G0005. quality=65; size=6.5MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0005, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep (Marshmello Remix).mp3,Group G0005: alternate copy. Primary=Alan Walker - Sing Me To Sleep (Marshmel,low,ARCHIVE_DUPLICATE,"Group G0005, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: Alan Walker - Sing Me To Sleep (Club).mp",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know (Alesso & Deniz Koyu Remix ⧸ Audio) ft. Nico & Vinz.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know ft. Nico & Vinz.mp3,Group G0006: alternate copy. Primary=Alesso - I Wanna Know ft. Nico & Vinz.mp,high,ARCHIVE_DUPLICATE,"Group G0006, role=alternate, state=RESOLVED_ALTERNATE, source=collision. Alt name: Alesso - I Wanna Know (Alesso & Deniz Ko",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know ft. Nico & Vinz.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know ft. Nico & Vinz.mp3,Selected as primary for group G0006. quality=65; size=8.7MB; not temp file; margin=798,high,KEEP_PRIMARY,"Group G0006, role=primary, state=RESOLVED_PRIMARY, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000_Club\Axwell Λ Ingrosso - Thinking About You (Festival Mix).mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\Axwell Λ Ingrosso - Thinking About You (Festival Mix).mp3,Selected as primary for group G0008. quality=65; size=10.4MB; not temp file; margin=3,low,KEEP_PRIMARY,"Group G0008, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000_Club\Axwell Λ Ingrosso - Thinking About You.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\Axwell Λ Ingrosso - Thinking About You (Festival Mix).mp3,Group G0008: alternate copy. Primary=Axwell Λ Ingrosso - Thinking About You (,low,ARCHIVE_DUPLICATE,"Group G0008, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: Axwell Λ Ingrosso - Thinking About You (",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Calvin Harris - Summer.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris - Summer.mp3,Group G0012: alternate copy. Primary=Calvin Harris - Summer.mp3,low,ARCHIVE_DUPLICATE,"Group G0012, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: Calvin Harris - Summer (Club).mp3",2
"C:\Users\suppo\Downloads\New Music\Top1000_Club\Calvin Harris, Rihanna - This Is What You Came For.mp3","C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris, Rihanna - This Is What You Came For.mp3","Group G0013: alternate copy. Primary=Calvin Harris, Rihanna - This Is What Yo",low,ARCHIVE_DUPLICATE,"Group G0013, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: Calvin Harris, Rihanna - This Is What Yo",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Clean Bandit - Rockabye.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Clean Bandit - Rockabye.mp3,Group G0015: alternate copy. Primary=Clean Bandit - Rockabye.mp3,low,ARCHIVE_DUPLICATE,"Group G0015, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: Clean Bandit - Rockabye (Club).mp3",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Coldplay - Hymn For The Weekend.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Coldplay - Hymn For The Weekend.mp3,Group G0016: alternate copy. Primary=Coldplay - Hymn For The Weekend.mp3,low,ARCHIVE_DUPLICATE,"Group G0016, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: Coldplay - Hymn For The Weekend (Club).m",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\DJ Snake - Let Me Love You ft. Justin Bieber (Marshmello Remix) [Premiere].mp3,C:\Users\suppo\Downloads\New Music\Top1000\DJ Snake - Let Me Love You ft. Justin Bieber.mp3,Group G0026: alternate copy. Primary=DJ Snake - Let Me Love You ft. Justin Bi,low,ARCHIVE_DUPLICATE,"Group G0026, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: DJ Snake - Let Me Love You ft. Justin Bi",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\DJ Snake - Let Me Love You ft. Justin Bieber.mp3,C:\Users\suppo\Downloads\New Music\Top1000\DJ Snake - Let Me Love You ft. Justin Bieber.mp3,Group G0026: alternate copy. Primary=DJ Snake - Let Me Love You ft. Justin Bi,low,ARCHIVE_DUPLICATE,"Group G0026, role=alternate, state=COMPLEX_DUPLICATE, source=collision. Alt name: DJ Snake - Let Me Love You ft. Justin Bi",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Ocarina) (Official Videoclip).mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow.mp3,Group G0023: alternate copy. Primary=Dimitri Vegas & Like Mike ft. Wolfpack &,high,ARCHIVE_DUPLICATE,"Group G0023, role=alternate, state=RESOLVED_ALTERNATE, source=collision. Alt name: Dimitri Vegas & Like Mike ft. Wolfpack &",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow.mp3,Selected as primary for group G0023. quality=60; size=6.5MB; not temp file; margin=499,high,KEEP_PRIMARY,"Group G0023, role=primary, state=RESOLVED_PRIMARY, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix).mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T.mp3,Group G0024: alternate copy. Primary=Dimitri Vegas & Like Mike vs Sander van ,high,ARCHIVE_DUPLICATE,"Group G0024, role=alternate, state=RESOLVED_ALTERNATE, source=collision. Alt name: Dimitri Vegas & Like Mike vs Sander van ",2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T.mp3,Selected as primary for group G0024. quality=65; size=8.9MB; not temp file; margin=499,high,KEEP_PRIMARY,"Group G0024, role=primary, state=RESOLVED_PRIMARY, source=collision. Alt name: ",3
