track_id,original_path,original_name,issue_type,current_state,collision_status,parse_method,confidence,duplicate_group_id,duplicate_risk,guessed_artist,guessed_title,proposed_name,notes
H0011,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8ball & MJG Just Like Candy.mp3,8ball & MJG Just Like Candy.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,8ball &,MJG Just Like Candy,8ball & - Mjg Just Like Candy.mp3,conf=0.3 method=fallback_heuristic
H0012,"C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8BALL& MJG FRIEND OR FOE FT. E-40, MAC MALL,& BIG MIKE.mp3","8BALL& MJG FRIEND OR FOE FT. E-40, MAC MALL,& BIG MIKE.mp3",FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,8BALL& MJG,"FRIEND OR FOE FT. E-40, MAC MALL,& BIG MIKE","8ball& Mjg - Friend or Foe ft. E-40, Mac Mall,& Big Mike.mp3",conf=0.3 method=fallback_heuristic
H0013,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸....mp3,A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸....mp3,NO_CHANGE,HELD_PROBLEMS,no_change,standard,1.0,,none,A Change of Seasons,The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸...,A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ the Darkest of Winters ⧸....mp3,"proposed matches original, no action needed"
H0014,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Roller Skating Jam Named ＂Saturdays＂.mp3,A Roller Skating Jam Named ＂Saturdays＂.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,A Roller,Skating Jam Named,A Roller - Skating Jam Named.mp3,conf=0.3 method=fallback_heuristic
H0015,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0003,exact_collision,A Tribe Called Quest,Electric Relaxation,A Tribe Called Quest - Electric Relaxation.mp3,COLLISION (2 files)
H0016,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation.mp3,A Tribe Called Quest - Electric Relaxation.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0003,exact_collision,A Tribe Called Quest,Electric Relaxation,A Tribe Called Quest - Electric Relaxation.mp3,COLLISION (2 files)
H0017,C:\Users\suppo\Downloads\New Music\Top1000\Aaria- Thug Love ft. Dreamdoll.mp3,Aaria- Thug Love ft. Dreamdoll.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,Aaria- Thug,Love ft. Dreamdoll,Aaria- Thug - Love ft. Dreamdoll.mp3,conf=0.3 method=fallback_heuristic
H0018,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\ACDC- For Those About To Rock (with lyrics).mp3,ACDC- For Those About To Rock (with lyrics).mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,ACDC- For,Those About To Rock,AC/DC- For - Those About to Rock.mp3,conf=0.3 method=fallback_heuristic
H0019,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Back In Black (Official 4K Video).mp3,AC⧸DC - Back In Black (Official 4K Video).mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AC⧸DC,Back In Black,Ac⧸dc - Back in Black.mp3,proposed name has illegal/problematic Unicode
H0020,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Hells Bells (Official 4K Video).mp3,AC⧸DC - Hells Bells (Official 4K Video).mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AC⧸DC,Hells Bells,Ac⧸dc - Hells Bells.mp3,proposed name has illegal/problematic Unicode
H0021,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Highway to Hell (Official Video).mp3,AC⧸DC - Highway to Hell (Official Video).mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AC⧸DC,Highway to Hell,Ac⧸dc - Highway to Hell.mp3,proposed name has illegal/problematic Unicode
H0022,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Let There Be Rock (Official Video).mp3,AC⧸DC - Let There Be Rock (Official Video).mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AC⧸DC,Let There Be Rock,Ac⧸dc - Let There Be Rock.mp3,proposed name has illegal/problematic Unicode
H0023,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AC⧸DC,You Shook Me All Night Long,Ac⧸dc - You Shook Me All Night Long.mp3,proposed name has illegal/problematic Unicode
H0024,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AD INFINITUM,Animals ｜ Napalm Records,Ad Infinitum - Animals ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0025,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AD INFINITUM,Eternal Rains ｜ Napalm Records,Ad Infinitum - Eternal Rains ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0026,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AD INFINITUM,From The Ashes ｜ Napalm Records,Ad Infinitum - From the Ashes ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0027,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AD INFINITUM,Inferno ｜ Napalm Records,Ad Infinitum - Inferno ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0028,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Seth (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Seth (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AD INFINITUM,Seth ｜ Napalm Records,Ad Infinitum - Seth ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0029,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Somewhere Better (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Somewhere Better (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AD INFINITUM,Somewhere Better ｜ Napalm Records,Ad Infinitum - Somewhere Better ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0030,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Unstoppable (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Unstoppable (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AD INFINITUM,Unstoppable ｜ Napalm Records,Ad Infinitum - Unstoppable ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0031,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Upside Down (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Upside Down (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AD INFINITUM,Upside Down ｜ Napalm Records,Ad Infinitum - Upside Down ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0032,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Adrenaline Rush.mp3,Adrenaline Rush.mp3,NO_PARSE,HELD_PROBLEMS,no_change,unknown,0.0,,none,,Adrenaline Rush,Adrenaline Rush.mp3,"no separator found, unknown parse"
H0033,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AEPHANEMER - Antigone (Official Video) ｜ Napalm Records.mp3,AEPHANEMER - Antigone (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AEPHANEMER,Antigone ｜ Napalm Records,Aephanemer - Antigone ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0034,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AEPHANEMER - Panta Rhei (Official Video) ｜ Napalm Records.mp3,AEPHANEMER - Panta Rhei (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AEPHANEMER,Panta Rhei ｜ Napalm Records,Aephanemer - Panta Rhei ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0035,C:\Users\suppo\Downloads\New Music\Top1000_Club\Aero Chord feat. DDARK - Shootin Stars ｜ Trap ｜ NCS - Copyright Free Music.mp3,Aero Chord feat. DDARK - Shootin Stars ｜ Trap ｜ NCS - Copyright Free Music.mp3,NO_CHANGE,HELD_PROBLEMS,no_change,standard,1.0,,none,Aero Chord feat. DDARK,Shootin Stars ｜ Trap ｜ NCS - Copyright Free Music,Aero Chord Feat. Ddark - Shootin Stars ｜ Trap ｜ Ncs - Copyright Free Music.mp3,"proposed matches original, no action needed"
H0036,C:\Users\suppo\Downloads\New Music\Top1000_Disco\Aint No Stopping Us Now Mcfadden and Whitehead.mp3,Aint No Stopping Us Now Mcfadden and Whitehead.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,Aint No,Stopping Us Now Mcfadden and Whitehead,Aint No - Stopping Us Now Mcfadden and Whitehead.mp3,conf=0.3 method=fallback_heuristic
H0037,C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson - ＂Its Time You Learned About Goodbye＂.mp3,Alan Jackson - ＂Its Time You Learned About Goodbye＂.mp3,NO_PARSE,HELD_PROBLEMS,low_confidence,unknown,0.0,,none,,Alan Jackson -,Alan Jackson -.mp3,"no separator found, unknown parse"
H0038,C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson Anywhere On Earth You Are.mp3,Alan Jackson Anywhere On Earth You Are.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,Alan Jackson,Anywhere On Earth You Are,Alan Jackson - Anywhere on Earth You Are.mp3,conf=0.3 method=fallback_heuristic
H0039,C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson Knew All Along.mp3,Alan Jackson Knew All Along.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,Alan Jackson,Knew All Along,Alan Jackson - Knew All Along.mp3,conf=0.3 method=fallback_heuristic
H0040,C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson- Everything I Love.mp3,Alan Jackson- Everything I Love.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,Alan Jackson-,Everything I Love,Alan Jackson- - Everything I Love.mp3,conf=0.3 method=fallback_heuristic
H0041,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Alone.mp3,Alan Walker - Alone.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0004,exact_collision,Alan Walker,Alone,Alan Walker - Alone.mp3,COLLISION (2 files)
H0042,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Alone.mp3,Alan Walker - Alone.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0004,exact_collision,Alan Walker,Alone,Alan Walker - Alone.mp3,COLLISION (2 files)
H0043,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep (Marshmello Remix).mp3,Alan Walker - Sing Me To Sleep (Marshmello Remix).mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0005,exact_collision,Alan Walker,Sing Me To Sleep,Alan Walker - Sing Me to Sleep.mp3,COLLISION (2 files)
H0044,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep.mp3,Alan Walker - Sing Me To Sleep.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0005,exact_collision,Alan Walker,Sing Me To Sleep,Alan Walker - Sing Me to Sleep.mp3,COLLISION (2 files)
H0045,C:\Users\suppo\Downloads\New Music\Top1000_Blues\Albert Collins Ice Pick.mp3,Albert Collins Ice Pick.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,Albert Collins,Ice Pick,Albert Collins - Ice Pick.mp3,conf=0.3 method=fallback_heuristic
H0046,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know (Alesso & Deniz Koyu Remix ⧸ Audio) ft. Nico & Vinz.mp3,Alesso - I Wanna Know (Alesso & Deniz Koyu Remix ⧸ Audio) ft. Nico & Vinz.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0006,exact_collision,Alesso,I Wanna Know ft. Nico & Vinz,Alesso - I Wanna Know ft. Nico & Vinz.mp3,COLLISION (2 files)
H0047,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know ft. Nico & Vinz.mp3,Alesso - I Wanna Know ft. Nico & Vinz.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0006,exact_collision,Alesso,I Wanna Know ft. Nico & Vinz,Alesso - I Wanna Know ft. Nico & Vinz.mp3,COLLISION (2 files)
H0048,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\All Eyez On Me.mp3,All Eyez On Me.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,All Eyez,On Me,All Eyez - On Me.mp3,conf=0.3 method=fallback_heuristic
H0049,C:\Users\suppo\Downloads\New Music\Top1000_Country\All my Exs live in Texas- George Strait.mp3,All my Exs live in Texas- George Strait.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,All my,Exs live in Texas- George Strait,All My - Exs Live in Texas- George Strait.mp3,conf=0.3 method=fallback_heuristic
H0050,C:\Users\suppo\Downloads\New Music\Top1000_Blues\Allman Brothers Band - Soulshine.mp3,Allman Brothers Band - Soulshine.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0007,exact_collision,Allman Brothers Band,Soulshine,Allman Brothers Band - Soulshine.mp3,COLLISION (2 files)
H0051,C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Allman Brothers Band - Soulshine.mp3,Allman Brothers Band - Soulshine.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0007,exact_collision,Allman Brothers Band,Soulshine,Allman Brothers Band - Soulshine.mp3,COLLISION (2 files)
H0052,C:\Users\suppo\Downloads\New Music\Top1000_Country\Amarillo By Morning.mp3,Amarillo By Morning.mp3,NO_PARSE,HELD_PROBLEMS,no_change,unknown,0.0,,none,,Amarillo By Morning,Amarillo by Morning.mp3,"no separator found, unknown parse"
H0053,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AMBERIAN DAWN - Super Trouper (Abba Cover) (Official Lyric Video) ｜ Napalm Records.mp3,AMBERIAN DAWN - Super Trouper (Abba Cover) (Official Lyric Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AMBERIAN DAWN,Super Trouper ｜ Napalm Records,Amberian Dawn - Super Trouper ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0054,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AMBERIAN DAWN - Temptation's Gates (Official Video) ｜ Napalm Records.mp3,AMBERIAN DAWN - Temptation's Gates (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AMBERIAN DAWN,Temptation's Gates ｜ Napalm Records,Amberian Dawn - Temptation's Gates ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0055,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AMBERIAN DAWN - The Day Before You Came (Lyric Video) ｜ Napalm Records.mp3,AMBERIAN DAWN - The Day Before You Came (Lyric Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,AMBERIAN DAWN,The Day Before You Came ｜ Napalm Records,Amberian Dawn - The Day Before You Came ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0056,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ambitionz Az A Ridah.mp3,Ambitionz Az A Ridah.mp3,NEAR_DUPLICATE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,G0089,near_duplicate,Ambitionz Az,A Ridah,Ambitionz Az - A Ridah.mp3,duplicate_risk=near_duplicate
H0057,C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\American Girl performed by Tom Petty.mp3,American Girl performed by Tom Petty.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,American Girl,performed by Tom Petty,American Girl - Performed by Tom Petty.mp3,conf=0.3 method=fallback_heuristic
H0058,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Among The Living-Anthrax.mp3,Among The Living-Anthrax.mp3,NO_PARSE,HELD_PROBLEMS,no_change,unknown,0.0,,none,,Among The Living-Anthrax,Among the Living-anthrax.mp3,"no separator found, unknown parse"
H0059,C:\Users\suppo\Downloads\New Music\Top1000_Club\ANGERFIST MEGAMIX 2021 DJ IWO.mp3,ANGERFIST MEGAMIX 2021 DJ IWO.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,ANGERFIST MEGAMIX,2021 DJ IWO,Angerfist Megamix - 2021 DJ Iwo.mp3,conf=0.3 method=fallback_heuristic
H0060,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS MCSIX - 6666 (Official Video) ｜ Napalm Records.mp3,ANGUS MCSIX - 6666 (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,ANGUS MCSIX,6666 ｜ Napalm Records,Angus Mcsix - 6666 ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0061,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSix - Dig Down (feat. Van Canto) (Official Video) ｜ Napalm Records.mp3,ANGUS McSix - Dig Down (feat. Van Canto) (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,ANGUS McSix,Dig Down (feat. Van Canto) ｜ Napalm Records,Angus Mcsix - Dig Down (Feat. Van Canto) ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0062,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - I am Adam McSix feat. Rhapsody of Fire + Alex Krull (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - I am Adam McSix feat. Rhapsody of Fire + Alex Krull (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,ANGUS McSIX,I am Adam McSix feat. Rhapsody of Fire + Alex Krull ｜ Napalm Records,Angus Mcsix - I Am Adam Mcsix Feat. Rhapsody of Fire + Alex Krull ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0063,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Laser-Shooting Dinosaur (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Laser-Shooting Dinosaur (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,ANGUS McSIX,Laser-Shooting Dinosaur ｜ Napalm Records,Angus Mcsix - Laser-shooting Dinosaur ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0064,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Master Of The Universe (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Master Of The Universe (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,ANGUS McSIX,Master Of The Universe ｜ Napalm Records,Angus Mcsix - Master of the Universe ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
H0065,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Ride To Hell (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Ride To Hell (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,ANGUS McSIX,Ride To Hell ｜ Napalm Records,Angus Mcsix - Ride to Hell ｜ Napalm Records.mp3,proposed name has illegal/problematic Unicode
