library_path,title,artist,genre,subgenre,label_role,confidence,notes
C:\Users\suppo\Music\Black Stone Cherry - Blame It On The Boom Boom.mp3,Black Stone Cherry - Blame It On The Boom Boom,Black Stone Cherry,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Black Stone Cherry - White Trash Millionaire.mp3,Black Stone Cherry - White Trash Millionaire,Black Stone Cherry,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Black Stone Cherry - You.mp3,Black Stone Cherry - You,Black Stone Cherry,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Blackberry Smoke - Run Away From It All.mp3,Blackberry Smoke - Run Away From It All,Blackberry Smoke,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Blackfoot - Train Train.mp3,Blackfoot - Train Train,Blackfoot,Rock,Classic Rock,primary,0.85,id3_tag:Southern Rock
C:\Users\suppo\Music\BlackHawk - Every Once In a While.mp3,BlackHawk - Every Once In a While,BlackHawk,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\BlackHawk - I Sure Can Smell the Rain.mp3,BlackHawk - I Sure Can Smell the Rain,BlackHawk,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Blacktop Mojo - Wicked Woman.mp3,Blacktop Mojo - Wicked Woman,Blacktop Mojo,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Blake Shelton - A Guy With A Girl.mp3,Blake Shelton - A Guy With A Girl,Blake Shelton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Blake Shelton - Boys Round Here.mp3,Blake Shelton - Boys Round Here,Blake Shelton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Blake Shelton - Kiss My Country Ass.mp3,Blake Shelton - Kiss My Country Ass,Blake Shelton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Blake Shelton - Some Beach.mp3,Blake Shelton - Some Beach,Blake Shelton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Blondie - Heart Of Glass.mp3,Blondie - Heart Of Glass,Blondie,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Blue Oyster Cult - Don't Fear the Reaper.mp3,Blue Oyster Cult - Don't Fear the Reaper,Blue Öyster Cult,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Bob Marley - Three Little Birds.mp3,Bob Marley - Three Little Birds,Bob Marley & The Wailers,Reggae,,primary,0.85,id3_tag:Reggae
C:\Users\suppo\Music\Bob Seger - Turn The Page.mp3,Bob Seger - Turn The Page,Bob Seger & The Silver Bullet Band,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Born Jamericans - Sweet Honey.mp3,Born Jamericans - Sweet Honey,Born Jamericans,Reggae,,primary,0.85,id3_tag:Reggae
C:\Users\suppo\Music\Boston - More Than A Feeling.mp3,Boston - More Than A Feeling,Boston,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Brad Paisley - I'm Gonna Miss Her.mp3,Brad Paisley - I'm Gonna Miss Her,Brad Paisley,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brad Paisley - Me Neither.mp3,Brad Paisley - Me Neither,Brad Paisley,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brad Paisley - Mud On The Tires.mp3,Brad Paisley - Mud On The Tires,Brad Paisley,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brad Paisley - Old Alabama.mp3,Brad Paisley - Old Alabama,Brad Paisley,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brad Paisley - Ticks.mp3,Brad Paisley - Ticks,Brad Paisley,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brad Paisley - Waiting on a Woman.mp3,Brad Paisley - Waiting on a Woman,Brad Paisley,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brad Paisley - Wrapped Around.mp3,Brad Paisley - Wrapped Around,Brad Paisley,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brandon Hart  - Middle.mp3,Brandon Hart  - Middle,Brandon Hart,Rock,Alternative,primary,0.85,id3_tag:Alternative
C:\Users\suppo\Music\Brandon Hart - Crazy.mp3,Brandon Hart - Crazy,Brandon Hart,Hip-Hop,,primary,0.85,"id3_tag:Hip-Hop, Rap"
C:\Users\suppo\Music\Brandon Hart - Dad Bod.mp3,Brandon Hart - Dad Bod,Brandon Hart,Rock,Alternative,primary,0.85,id3_tag:Alternative
C:\Users\suppo\Music\Brandon Hart - Dealing With.mp3,Brandon Hart - Dealing With,Brandon Hart,Hip-Hop,,primary,0.85,"id3_tag:Hip-Hop, Rap"
C:\Users\suppo\Music\Brandon Hart - Dreams.mp3,Brandon Hart - Dreams,Brandon Hart,Rock,Alternative,primary,0.85,id3_tag:Alternative
C:\Users\suppo\Music\Brandon Hart - Opener.mp3,Brandon Hart - Opener,Brandon Hart,Hip-Hop,,primary,0.85,"id3_tag:Hip-Hop, Rap"
C:\Users\suppo\Music\Brandon Hart - Slow.mp3,Brandon Hart - Slow,Brandon Hart,Hip-Hop,,primary,0.85,"id3_tag:Hip-Hop, Rap"
C:\Users\suppo\Music\Brandon Hart - Wave.mp3,Brandon Hart - Wave,Brandon Hart,Rock,Alternative,primary,0.85,id3_tag:Alternative
C:\Users\suppo\Music\Brantley Gilbert - Country Must Be Country Wide.mp3,Brantley Gilbert - Country Must Be Country Wide,Brantley Gilbert,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brett Young - In Case You Didn't Know.mp3,Brett Young - In Case You Didn't Know,Brett Young,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brian Adams - Summer of '69.mp3,Brian Adams - Summer of '69,Bryan Adams,Pop,,primary,0.85,id3_tag:Pop
C:\Users\suppo\Music\Brooks & Dunn - Ain't Nothing 'Bout You.mp3,Brooks & Dunn - Ain't Nothing 'Bout You,Brooks & Dunn,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brooks & Dunn - Brand New Man.mp3,Brooks & Dunn - Brand New Man,Brooks & Dunn,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brooks & Dunn - Hard Workin' Man.mp3,Brooks & Dunn - Hard Workin' Man,Brooks & Dunn,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brooks & Dunn - Lost And Found .mp3,Brooks & Dunn - Lost And Found ,Brooks & Dunn,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brooks & Dunn - My Next Broken Heart.mp3,Brooks & Dunn - My Next Broken Heart,Brooks & Dunn,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brooks & Dunn - She's Not The Cheatin' Kind.mp3,Brooks & Dunn - She's Not The Cheatin' Kind,Brooks & Dunn,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Brooks & Dunn - That Ain't No Way To Go.mp3,Brooks & Dunn - That Ain't No Way To Go,Brooks & Dunn,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Bryan Martin - Divided States.mp3,Bryan Martin - Divided States,Bryan Martin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Bryan Martin - Everyone_s An Outlaw.mp3,Bryan Martin - Everyone_s An Outlaw,Bryan Martin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Bryan Martin - We Ride.mp3,Bryan Martin - We Ride,Bryan Martin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Bubba Sparxxx - Country Folks.mp3,Bubba Sparxxx - Country Folks,Bubba Sparxxx,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Bubba Sparxxx Ft  Jj Lawhorn  - Past Is Practice.mp3,Bubba Sparxxx Ft  Jj Lawhorn  - Past Is Practice,Bubba Sparxxx,Hip-Hop,,primary,0.85,"id3_tag:Hip-Hop, Rap"
C:\Users\suppo\Music\Buckcherry - Hellbound.mp3,Buckcherry - Hellbound,Buckcherry,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Buddy Brown  - All a Man Needs.mp3,Buddy Brown  - All a Man Needs,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Bounty Hunter.mp3,Buddy Brown - Bounty Hunter,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Deer Camp.mp3,Buddy Brown - Deer Camp,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Different Set Of Rules.mp3,Buddy Brown - Different Set Of Rules,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Don't Run From The Cops.mp3,Buddy Brown - Don't Run From The Cops,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - I AM 911.mp3,Buddy Brown - I AM 911,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - I Call BS on That.mp3,Buddy Brown - I Call BS on That,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - If This Country Still Had Balls.mp3,Buddy Brown - If This Country Still Had Balls,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Junior.mp3,Buddy Brown - Junior,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Just Saying.mp3,Buddy Brown - Just Saying,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Kids That Never Got Spanked.mp3,Buddy Brown - Kids That Never Got Spanked,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Man Card.mp3,Buddy Brown - Man Card,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Mason Jar.mp3,Buddy Brown - Mason Jar,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Set In My Ways.mp3,Buddy Brown - Set In My Ways,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - The Beer Truck.mp3,Buddy Brown - The Beer Truck,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Buddy Brown - Tore Up .mp3,Buddy Brown - Tore Up ,Buddy Brown,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Carrie Underwood - Before He Cheats.mp3,Carrie Underwood - Before He Cheats,Carrie Underwood,Pop,,primary,0.85,id3_tag:Pop
C:\Users\suppo\Music\Carrie Underwood - Church Bells.mp3,Carrie Underwood - Church Bells,Carrie Underwood,Pop,,primary,0.85,id3_tag:Pop
C:\Users\suppo\Music\Carrie Underwood - Undo It.mp3,Carrie Underwood - Undo It,Carrie Underwood,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chad Mac - Party In The Woods feat. Afroman.mp3,Chad Mac - Party In The Woods feat. Afroman,Chad Mac,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chamillionaire - Good Morning.mp3,Chamillionaire - Good Morning,Chamillionaire,Hip-Hop,,primary,0.85,id3_tag:Pop Rap
C:\Users\suppo\Music\Chamillionaire - Ridin' Dirty.mp3,Chamillionaire - Ridin' Dirty,Chamillionaire,Hip-Hop,,primary,0.85,"id3_tag:Hip-Hop, Rap"
C:\Users\suppo\Music\Charlie Daniels - A Few More Rednecks.mp3,Charlie Daniels - A Few More Rednecks,The Charlie Daniels Band,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Charlie Daniels - Simple Man.mp3,Charlie Daniels - Simple Man,The Charlie Daniels Band,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Chase Matthew - County Line.mp3,Chase Matthew - County Line,Chase Matthew,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chicago - Saturday in the Park.mp3,Chicago - Saturday in the Park,Chicago,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Chris Janson - Buy Me A Boat.mp3,Chris Janson - Buy Me A Boat,Chris Janson,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris LeDoux - 8 Second Ride.mp3,Chris LeDoux - 8 Second Ride,Chris LeDoux,Country,,primary,0.85,id3_tag:Country Rock
C:\Users\suppo\Music\Chris LeDoux - Cadillac Ranch.mp3,Chris LeDoux - Cadillac Ranch,Chris LeDoux,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Ledoux - County Fair.mp3,Chris Ledoux - County Fair,Chris LeDoux,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris LeDoux - The Call Of The Wild.mp3,Chris LeDoux - The Call Of The Wild,Chris LeDoux,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris LeDoux - The Ride.mp3,Chris LeDoux - The Ride,Chris LeDoux,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris LeDoux - Whatcha Gonna Do With A Cowboy.mp3,Chris LeDoux - Whatcha Gonna Do With A Cowboy,Chris LeDoux,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Stapleton - Fire Away.mp3,Chris Stapleton - Fire Away,Chris Stapleton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Stapleton - Friendship.mp3,Chris Stapleton - Friendship,Chris Stapleton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Stapleton - Hard Livin'.mp3,Chris Stapleton - Hard Livin',Chris Stapleton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Stapleton - I Was Wrong.mp3,Chris Stapleton - I Was Wrong,Chris Stapleton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Stapleton - Midnight Train To Memphis.mp3,Chris Stapleton - Midnight Train To Memphis,Chris Stapleton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Stapleton - Millionaire.mp3,Chris Stapleton - Millionaire,Chris Stapleton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Stapleton - Nobody to Blame.mp3,Chris Stapleton - Nobody to Blame,Chris Stapleton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Stapleton - Parachute.mp3,Chris Stapleton - Parachute,Chris Stapleton,Country,,primary,0.85,id3_tag:Country Rock
C:\Users\suppo\Music\Chris Stapleton - Second One To Know.mp3,Chris Stapleton - Second One To Know,Chris Stapleton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Stapleton - Tryin To Untangle My Mind.mp3,Chris Stapleton - Tryin To Untangle My Mind,Chris Stapleton,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Young - Aw Naw.mp3,Chris Young - Aw Naw,Chris Young,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Young - Drowning.mp3,Chris Young - Drowning,Chris Young,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Young - Gettin' You Home.mp3,Chris Young - Gettin' You Home,Chris Young,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Young - Hangin' On.mp3,Chris Young - Hangin' On,Chris Young,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Chris Young - I'm Comin' Over.mp3,Chris Young - I'm Comin' Over,Chris Young,Country,,primary,0.85,id3_tag:Country
