track_id,artist,title,primary_genre,suggested_secondary_genre,evidence,confidence
2388,Kid Rock,Kid Rock - American Rock 'n Roll,Rock,Country,"Rock-country crossover, known for blending rock and country",high
2389,Kid Rock,Kid Rock - Cowboy,Rock,Country,"Rock-country crossover, known for blending rock and country",high
2390,Kid Rock,Kid Rock - First Kiss,Rock,Country,"Rock-country crossover, known for blending rock and country",high
2391,Kid Rock,Kid Rock - Let_s Ride,Rock,Country,"Rock-country crossover, known for blending rock and country",high
2393,Kid Rock,Kid Rock - Only God Knows Why,Rock,Country,"Rock-country crossover, known for blending rock and country",high
2394,Kid Rock,Kid Rock - Picture,Rock,Country,"Rock-country crossover, known for blending rock and country",high
2397,Kid Rock,Kid Rock - The Last Dance,Rock,Country,"Rock-country crossover, known for blending rock and country",high
2855,Kid Rock,Kid Rock - Let's Ride,Rock,Country,"Rock-country crossover, known for blending rock and country",high
2529,Ryan Upchurch,Ryan Upchurch - Hollerboys,Country,Hip-Hop,Country-rap artist blending country and hip-hop,high
2547,Shinedown,Second Chance - Shinedown,Rock,Metal,Hard rock / post-grunge with metal leanings,high
2555,Shinedown,Shinedown - Cut The Cord,Rock,Metal,Hard rock / post-grunge with metal leanings,high
2556,Shinedown,Shinedown - Dead Don_t Die,Rock,Metal,Hard rock / post-grunge with metal leanings,high
2557,Shinedown,Shinedown - Enemies,Rock,Metal,Hard rock / post-grunge with metal leanings,high
2558,Shinedown,Shinedown - Monsters,Rock,Metal,Hard rock / post-grunge with metal leanings,high
2560,Shinedown,Shinedown - Simple Man,Rock,Metal,Hard rock / post-grunge with metal leanings,high
2561,Shinedown,Shinedown - Sound of Madness,Rock,Metal,Hard rock / post-grunge with metal leanings,high
2562,Shinedown,Shinedown - State Of My Head,Rock,Metal,Hard rock / post-grunge with metal leanings,high
2880,Shinedown,Shinedown - Second Chance,Rock,Metal,Hard rock / post-grunge with metal leanings,high
2217,Tom MacDonald,End Of The World - Tom MacDonald,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2538,Tom MacDonald,Save A Life - Tom MacDonald,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2548,Tom MacDonald,See God - Tom MacDonald,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2572,Tom MacDonald,Still Me - Tom MacDonald,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2573,Tom MacDonald,Still The One - Tom MacDonald,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2590,Tom MacDonald,The Machine - Tom MacDonald,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2595,Tom MacDonald,The System - Tom MacDonald,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2624,Tom MacDonald,Tom MacDonald -  Buttholes,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2626,Tom MacDonald,Tom MacDonald - American Dreamz,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2629,Tom MacDonald,Tom MacDonald - Angels,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2631,Tom MacDonald,Tom MacDonald - Average Boy,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2633,Tom MacDonald,Tom MacDonald - Best Rapper Ever,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2634,Tom MacDonald,Tom MacDonald - Castles,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2636,Tom MacDonald,Tom MacDonald - Dear Rappers,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2637,Tom MacDonald,Tom MacDonald - Dirty Money,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2638,Tom MacDonald,Tom MacDonald - End Of The World,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2639,Tom MacDonald,Tom MacDonald - Everybody Hates Me,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2640,Tom MacDonald,Tom Macdonald - Fake Fans,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2641,Tom MacDonald,Tom MacDonald - Fighter,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2642,Tom MacDonald,Tom MacDonald - Freedom's Not For Sale,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2643,Tom MacDonald,Tom MacDonald - Freedoms Not For Sale,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2646,Tom MacDonald,Tom MacDonald - Gravestones,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2648,Tom MacDonald,Tom MacDonald - Hatred,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2649,Tom MacDonald,Tom MacDonald - Helluvit,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2652,Tom MacDonald,Tom MacDonald - I Dont Care,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2653,Tom MacDonald,Tom MacDonald - I Hate Hip Hop,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2654,Tom MacDonald,Tom MacDonald - I Wish,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2655,Tom MacDonald,Tom MacDonald - Im Corny,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2656,Tom MacDonald,Tom MacDonald - Im Sorry,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2657,Tom MacDonald,Tom MacDonald - Luck You,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2659,Tom MacDonald,Tom MacDonald - Money,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2660,Tom MacDonald,Tom MacDonald - My Fans,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2664,Tom MacDonald,Tom MacDonald - No Lives Matter,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2666,Tom MacDonald,Tom MacDonald - No Response,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2667,Tom MacDonald,Tom MacDonald - People So Stupid,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2668,Tom MacDonald,Tom MacDonald - Politically Incorrect,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2671,Tom MacDonald,Tom MacDonald - Riot,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2672,Tom MacDonald,Tom MacDonald - Save A Life,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2675,Tom MacDonald,Tom MacDonald - See God,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2676,Tom MacDonald,Tom MacDonald - Sellout,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2677,Tom MacDonald,Tom MacDonald - Sheeple,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2680,Tom MacDonald,Tom MacDonald - Still Me,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2681,Tom MacDonald,Tom MacDonald - Still The One,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2682,Tom MacDonald,Tom MacDonald - The Machine,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2683,Tom MacDonald,Tom MacDonald - The Music Industry,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2685,Tom MacDonald,Tom MacDonald - The System,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2687,Tom MacDonald,Tom MacDonald - This House,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2690,Tom MacDonald,Tom MacDonald - Trying To Kill Me,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2691,Tom MacDonald,Tom MacDonald - Underdogs,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2693,Tom MacDonald,Tom MacDonald - Way Off,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2697,Tom MacDonald,Tom MacDonald - Wild Ones,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2698,Tom MacDonald,Tom MacDonald ft. DAX - Blame The Rappers,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2768,Tom MacDonald,Wild Ones - Tom MacDonald,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2663,Tom MacDonald,Tom MacDonald - Names,Hip-Hop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",high
2706,Tone-Loc,Tone Loc - Wild Thing,Hip-Hop,Pop,Pop-rap crossover (Wild Thing is pop-rap),high
2527,Upchurch,Ryan Upchurch - Black Sheep,Country,Hip-Hop,"Country-rap artist, same as Ryan Upchurch",high
2528,Upchurch,Ryan Upchurch - Cowboy Movies,Country,Hip-Hop,"Country-rap artist, same as Ryan Upchurch",high
2530,Upchurch,Ryan Upchurch - Love Her Again,Country,Hip-Hop,"Country-rap artist, same as Ryan Upchurch",high
2531,Upchurch,Ryan Upchurch - Real Country,Country,Hip-Hop,"Country-rap artist, same as Ryan Upchurch",high
2532,Upchurch,Ryan Upchurch - Same Ol Same Ol,Country,Hip-Hop,"Country-rap artist, same as Ryan Upchurch",high
2752,Van Zant,Van Zant - Help Somebody,Rock,Country,Southern rock with strong country influences,high
2753,Van Zant,Van Zant - Nobody Gonna Tell Me What to Do,Rock,Country,Southern rock with strong country influences,high
2761,Weird Al Yankovic,Weird Al Yankovic - Word Crimes,Pop,Hip-Hop,Parody artist; Amish Paradise parodies hip-hop,high
2136,Creed Fisher,Creed Fisher - I'll Have a Few More,Country,Electronic,"Misfit anomaly=1.092, top_similar=Electronic(0.796); Pop(0.985); Hip-Hop(1.26)",medium
2203,Donice Morace,Donice Morace - Wait 'til We Get Home,Country,Electronic,"Misfit anomaly=1.250, top_similar=Electronic(0.6); Pop(1.082); Hip-Hop(1.27)",medium
2290,Girish And The Chronicles,Girish And The Chronicles - Idenity Crisis,Rock,Electronic,"Misfit anomaly=1.782, top_similar=Electronic(1.353); Pop(1.735); Hip-Hop(1.92)",medium
2423,Luke Combs,Luke Combs - When It Rains It Pours,Country,Electronic,"Misfit anomaly=1.239, top_similar=Electronic(0.717); Pop(1.095); Hip-Hop(1.292)",medium
2852,Mötley Crüe,Motley Crue - Dr  Feelgood,Rock,Electronic,"Misfit anomaly=1.140, top_similar=Electronic(0.882); Pop(1.096); Hip-Hop(1.332)",medium
2537,Sara Evans,Sara Evans - Suds In The Bucket,Country,Pop,"Misfit anomaly=1.700, top_similar=Pop(1.708); Country(1.761); Rock(1.91)",medium
2645,Tom MacDonald,Tom MacDonald - Ghost,Pop,Rock,"Rap-rock artist, blends hip-hop with rock instrumentation",medium
2841,Unknown,Dax - Temptation,Hip-Hop,Country,"Misfit anomaly=1.043, top_similar=Country(0.857); Rock(1.166); Hip-Hop(1.277)",medium
2770,Zac Brown Band,Zac Brown Band - Heavy Is The Head,Country,Pop,"Misfit anomaly=1.589, top_similar=Pop(1.452); Hip-Hop(1.629); Rock(1.692)",medium
