track_id,artist,title,primary_genre,assigned_subgenre,assignment_reason,confidence
2633,Tom MacDonald,Tom MacDonald - Best Rapper Ever,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2634,Tom MacDonald,Tom MacDonald - Castles,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2636,Tom MacDonald,Tom MacDonald - Dear Rappers,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2637,Tom MacDonald,Tom MacDonald - Dirty Money,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2638,Tom MacDonald,Tom MacDonald - End Of The World,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2639,Tom MacDonald,Tom MacDonald - Everybody Hates Me,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2641,Tom MacDonald,Tom MacDonald - Fighter,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2642,Tom MacDonald,Tom MacDonald - Freedom's Not For Sale,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2643,Tom MacDonald,Tom MacDonald - Freedoms Not For Sale,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2646,Tom MacDonald,Tom MacDonald - Gravestones,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2648,Tom MacDonald,Tom MacDonald - Hatred,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2649,Tom MacDonald,Tom MacDonald - Helluvit,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2652,Tom MacDonald,Tom MacDonald - I Dont Care,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2653,Tom MacDonald,Tom MacDonald - I Hate Hip Hop,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2654,Tom MacDonald,Tom MacDonald - I Wish,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2655,Tom MacDonald,Tom MacDonald - Im Corny,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2656,Tom MacDonald,Tom MacDonald - Im Sorry,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2657,Tom MacDonald,Tom MacDonald - Luck You,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2659,Tom MacDonald,Tom MacDonald - Money,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2660,Tom MacDonald,Tom MacDonald - My Fans,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2663,Tom MacDonald,Tom MacDonald - Names,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2664,Tom MacDonald,Tom MacDonald - No Lives Matter,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2666,Tom MacDonald,Tom MacDonald - No Response,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2667,Tom MacDonald,Tom MacDonald - People So Stupid,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2668,Tom MacDonald,Tom MacDonald - Politically Incorrect,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2671,Tom MacDonald,Tom MacDonald - Riot,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2672,Tom MacDonald,Tom MacDonald - Save A Life,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2675,Tom MacDonald,Tom MacDonald - See God,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2676,Tom MacDonald,Tom MacDonald - Sellout,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2677,Tom MacDonald,Tom MacDonald - Sheeple,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2680,Tom MacDonald,Tom MacDonald - Still Me,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2681,Tom MacDonald,Tom MacDonald - Still The One,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2682,Tom MacDonald,Tom MacDonald - The Machine,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2683,Tom MacDonald,Tom MacDonald - The Music Industry,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2685,Tom MacDonald,Tom MacDonald - The System,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2687,Tom MacDonald,Tom MacDonald - This House,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2690,Tom MacDonald,Tom MacDonald - Trying To Kill Me,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2691,Tom MacDonald,Tom MacDonald - Underdogs,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2693,Tom MacDonald,Tom MacDonald - Way Off,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2697,Tom MacDonald,Tom MacDonald - Wild Ones,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2698,Tom MacDonald,Tom MacDonald ft. DAX - Blame The Rappers,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2640,Tom MacDonald,Tom Macdonald - Fake Fans,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2768,Tom MacDonald,Wild Ones - Tom MacDonald,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2706,Tone-Loc,Tone Loc - Wild Thing,Hip-Hop,Pop Rap,"Blocked hybrid case: Hip-Hop→Pop Rap, subgenre added in taxonomy expansion phase",high
