group_id,track_path,original_name,guessed_artist,guessed_title,similarity_score,suggested_primary,duplicate_risk,notes
G0118,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\EXIT EDEN - Femme Fatale (Official Video) ｜ Napalm Records.temp.mp3,EXIT EDEN - Femme Fatale (Official Video) ｜ Napalm Records.temp.mp3,EXIT EDEN,Femme Fatale ｜ Napalm Records.temp,0.965,no,near_duplicate,group_size=2
G0119,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\WIND ROSE - To Be a Dwarf (Official Video) ｜ Napalm Records.mp3,WIND ROSE - To Be a Dwarf (Official Video) ｜ Napalm Records.mp3,WIND ROSE,To Be a Dwarf ｜ Napalm Records,0.966,yes,near_duplicate,group_size=2
G0119,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\WIND ROSE - To Be a Dwarf (Official Video) ｜ Napalm Records.temp.mp3,WIND ROSE - To Be a Dwarf (Official Video) ｜ Napalm Records.temp.mp3,WIND ROSE,To Be a Dwarf ｜ Napalm Records.temp,0.966,no,near_duplicate,group_size=2
G0120,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\HAMMERFALL - Hammer Of Dawn (Official Video) ｜ Napalm Records.mp3,HAMMERFALL - Hammer Of Dawn (Official Video) ｜ Napalm Records.mp3,HAMMERFALL,Hammer Of Dawn ｜ Napalm Records,0.967,yes,near_duplicate,group_size=2
G0120,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\HAMMERFALL - Hammer Of Dawn (Official Video) ｜ Napalm Records.temp.mp3,HAMMERFALL - Hammer Of Dawn (Official Video) ｜ Napalm Records.temp.mp3,HAMMERFALL,Hammer Of Dawn ｜ Napalm Records.temp,0.967,no,near_duplicate,group_size=2
G0121,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\POWERWOLF - Beast Of Gévaudan (Official Video) ｜ Napalm Records.mp3,POWERWOLF - Beast Of Gévaudan (Official Video) ｜ Napalm Records.mp3,POWERWOLF,Beast Of Gévaudan ｜ Napalm Records,0.967,yes,near_duplicate,group_size=2
G0121,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\POWERWOLF - Beast Of Gévaudan (Official Video) ｜ Napalm Records.temp.mp3,POWERWOLF - Beast Of Gévaudan (Official Video) ｜ Napalm Records.temp.mp3,POWERWOLF,Beast Of Gévaudan ｜ Napalm Records.temp,0.967,no,near_duplicate,group_size=2
G0123,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\SERENITY - The End Of Babylon (Official Video) ｜ Napalm Records.mp3,SERENITY - The End Of Babylon (Official Video) ｜ Napalm Records.mp3,SERENITY,The End Of Babylon ｜ Napalm Records,0.968,yes,near_duplicate,group_size=2
G0123,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\SERENITY - The End Of Babylon (Official Video) ｜ Napalm Records.temp.mp3,SERENITY - The End Of Babylon (Official Video) ｜ Napalm Records.temp.mp3,SERENITY,The End Of Babylon ｜ Napalm Records.temp,0.968,no,near_duplicate,group_size=2
G0124,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - The Circus Is In Town (Official Video) ｜ Napalm Records.mp3,DOMINUM - The Circus Is In Town (Official Video) ｜ Napalm Records.mp3,DOMINUM,The Circus Is In Town ｜ Napalm Records,0.969,yes,near_duplicate,group_size=2
G0124,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - The Circus Is In Town (Official Video) ｜ Napalm Records.temp.mp3,DOMINUM - The Circus Is In Town (Official Video) ｜ Napalm Records.temp.mp3,DOMINUM,The Circus Is In Town ｜ Napalm Records.temp,0.969,no,near_duplicate,group_size=2
G0125,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - The Quest And The Curse (Official Video) ｜ Napalm Records.mp3,DELAIN - The Quest And The Curse (Official Video) ｜ Napalm Records.mp3,DELAIN,The Quest And The Curse ｜ Napalm Records,0.969,yes,near_duplicate,group_size=2
G0125,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - The Quest And The Curse (Official Video) ｜ Napalm Records.temp.mp3,DELAIN - The Quest And The Curse (Official Video) ｜ Napalm Records.temp.mp3,DELAIN,The Quest And The Curse ｜ Napalm Records.temp,0.969,no,near_duplicate,group_size=2
G0126,C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Charlie Daniels Band-The Souths Gonna Do It Again.mp3,Charlie Daniels Band-The Souths Gonna Do It Again.mp3,Charlie Daniels,Band-The Souths Gonna Do It Again,0.0,yes,near_duplicate,group_size=1
G0127,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\WARKINGS - Genghis Khan (feat. Orden Ogan) (Official Video) ｜ Napalm Records.mp3,WARKINGS - Genghis Khan (feat. Orden Ogan) (Official Video) ｜ Napalm Records.mp3,WARKINGS,Genghis Khan (feat. Orden Ogan) ｜ Napalm Records,0.972,yes,near_duplicate,group_size=2
G0127,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\WARKINGS - Genghis Khan (feat. Orden Ogan) (Official Video) ｜ Napalm Records.temp.mp3,WARKINGS - Genghis Khan (feat. Orden Ogan) (Official Video) ｜ Napalm Records.temp.mp3,WARKINGS,Genghis Khan (feat. Orden Ogan) ｜ Napalm Records.temp,0.972,no,near_duplicate,group_size=2
G0128,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\WARKINGS - Heart of Rage feat. Morgana le Fay (Official Video) ｜ Napalm Records.mp3,WARKINGS - Heart of Rage feat. Morgana le Fay (Official Video) ｜ Napalm Records.mp3,WARKINGS,Heart of Rage feat. Morgana le Fay ｜ Napalm Records,0.91,no,near_duplicate,group_size=2
G0128,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\WARKINGS - Hellfire feat. Morgana le Fay (Official Video) ｜ Napalm Records.mp3,WARKINGS - Hellfire feat. Morgana le Fay (Official Video) ｜ Napalm Records.mp3,WARKINGS,Hellfire feat. Morgana le Fay ｜ Napalm Records,0.924,yes,near_duplicate,group_size=2
G0129,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\VISIONS OF ATLANTIS & WARKINGS - Pirates & Kings (Official Video) ｜ Napalm Records.mp3,VISIONS OF ATLANTIS & WARKINGS - Pirates & Kings (Official Video) ｜ Napalm Records.mp3,VISIONS OF ATLANTIS & WARKINGS,Pirates & Kings ｜ Napalm Records,0.974,yes,near_duplicate,group_size=2
G0129,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\VISIONS OF ATLANTIS & WARKINGS - Pirates & Kings (Official Video) ｜ Napalm Records.temp.mp3,VISIONS OF ATLANTIS & WARKINGS - Pirates & Kings (Official Video) ｜ Napalm Records.temp.mp3,VISIONS OF ATLANTIS & WARKINGS,Pirates & Kings ｜ Napalm Records.temp,0.974,no,near_duplicate,group_size=2
G0130,C:\Users\suppo\Downloads\New Music\Top1000_Motown\Smokey Robinson Greatest Hits 💿 Full Album ｜ Best Classic Soul & Motown Songs.mp3,Smokey Robinson Greatest Hits 💿 Full Album ｜ Best Classic Soul & Motown Songs.mp3,Smokey Robinson,Greatest Hits 💿 Full Album ｜ Best Classic Soul & Motown Songs,0.974,yes,near_duplicate,group_size=2
G0130,C:\Users\suppo\Downloads\New Music\Top1000_Motown\Smokey Robinson Greatest Hits 💿 Full Album ｜ Best Classic Soul & Motown Songs.temp.mp3,Smokey Robinson Greatest Hits 💿 Full Album ｜ Best Classic Soul & Motown Songs.temp.mp3,Smokey Robinson,Greatest Hits 💿 Full Album ｜ Best Classic Soul & Motown Songs.temp,0.974,no,near_duplicate,group_size=2
G0131,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Jazz Classics 50s-60s-70s 🎶🎷Nat King Cole, Louis Armstrong, Ray Charles, Frank Sinatra.mp3","Jazz Classics 50s-60s-70s 🎶🎷Nat King Cole, Louis Armstrong, Ray Charles, Frank Sinatra.mp3",Jazz Classics,"50s-60s-70s 🎶🎷Nat King Cole, Louis Armstrong, Ray Charles, Frank Sinatra",0.976,yes,near_duplicate,group_size=2
G0131,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Jazz Classics 50s-60s-70s 🎶🎷Nat King Cole, Louis Armstrong, Ray Charles, Frank Sinatra.temp.mp3","Jazz Classics 50s-60s-70s 🎶🎷Nat King Cole, Louis Armstrong, Ray Charles, Frank Sinatra.temp.mp3",Jazz Classics,"50s-60s-70s 🎶🎷Nat King Cole, Louis Armstrong, Ray Charles, Frank Sinatra.temp",0.976,no,near_duplicate,group_size=2
G0132,C:\Users\suppo\Downloads\New Music\Top1000_Motown\Marvin Gaye ❤️ Let’s Get It On – Greatest Hits Full Album ｜ Top 100 Motown Soul Classics.mp3,Marvin Gaye ❤️ Let’s Get It On – Greatest Hits Full Album ｜ Top 100 Motown Soul Classics.mp3,Marvin Gaye ❤️ Let’s Get It On,Greatest Hits Full Album ｜ Top 100 Motown Soul Classics,0.976,yes,near_duplicate,group_size=2
G0132,C:\Users\suppo\Downloads\New Music\Top1000_Motown\Marvin Gaye ❤️ Let’s Get It On – Greatest Hits Full Album ｜ Top 100 Motown Soul Classics.temp.mp3,Marvin Gaye ❤️ Let’s Get It On – Greatest Hits Full Album ｜ Top 100 Motown Soul Classics.temp.mp3,Marvin Gaye ❤️ Let’s Get It On,Greatest Hits Full Album ｜ Top 100 Motown Soul Classics.temp,0.976,no,near_duplicate,group_size=2
G0133,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.mp3","Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.mp3",Best Motown,"Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown",0.977,yes,near_duplicate,group_size=2
G0133,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.temp.mp3","Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.temp.mp3",Best Motown,"Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.temp",0.977,no,near_duplicate,group_size=2
G0134,C:\Users\suppo\Downloads\New Music\Top1000_Motown\Top 100 Motown Classics ｜ Soul & R&B Oldies from the 70s 80s 90s ｜ Timeless Hits Playlist.mp3,Top 100 Motown Classics ｜ Soul & R&B Oldies from the 70s 80s 90s ｜ Timeless Hits Playlist.mp3,Top 100,Motown Classics ｜ Soul & R&B Oldies from the 70s 80s 90s ｜ Timeless Hits Playlist,0.977,yes,near_duplicate,group_size=2
G0134,C:\Users\suppo\Downloads\New Music\Top1000_Motown\Top 100 Motown Classics ｜ Soul & R&B Oldies from the 70s 80s 90s ｜ Timeless Hits Playlist.temp.mp3,Top 100 Motown Classics ｜ Soul & R&B Oldies from the 70s 80s 90s ｜ Timeless Hits Playlist.temp.mp3,Top 100,Motown Classics ｜ Soul & R&B Oldies from the 70s 80s 90s ｜ Timeless Hits Playlist.temp,0.977,no,near_duplicate,group_size=2
G0135,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Jazz Legends Playlist 🎷 Frank Sinatra, Louis Armstrong, Nat King Cole ｜ Vintage Jazz Vibes.mp3","Jazz Legends Playlist 🎷 Frank Sinatra, Louis Armstrong, Nat King Cole ｜ Vintage Jazz Vibes.mp3",Jazz Legends,"Playlist 🎷 Frank Sinatra, Louis Armstrong, Nat King Cole ｜ Vintage Jazz Vibes",0.978,yes,near_duplicate,group_size=2
G0135,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Jazz Legends Playlist 🎷 Frank Sinatra, Louis Armstrong, Nat King Cole ｜ Vintage Jazz Vibes.temp.mp3","Jazz Legends Playlist 🎷 Frank Sinatra, Louis Armstrong, Nat King Cole ｜ Vintage Jazz Vibes.temp.mp3",Jazz Legends,"Playlist 🎷 Frank Sinatra, Louis Armstrong, Nat King Cole ｜ Vintage Jazz Vibes.temp",0.978,no,near_duplicate,group_size=2
G0136,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Motown Soul Legends 🎙️ Marvin Gaye, James Brown, Smokey Robinson ... ｜ Greatest Hits of All Time.mp3","Motown Soul Legends 🎙️ Marvin Gaye, James Brown, Smokey Robinson ... ｜ Greatest Hits of All Time.mp3",Motown Soul,"Legends 🎙️ Marvin Gaye, James Brown, Smokey Robinson ... ｜ Greatest Hits of All Time",0.978,yes,near_duplicate,group_size=2
G0136,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Motown Soul Legends 🎙️ Marvin Gaye, James Brown, Smokey Robinson ... ｜ Greatest Hits of All Time.temp.mp3","Motown Soul Legends 🎙️ Marvin Gaye, James Brown, Smokey Robinson ... ｜ Greatest Hits of All Time.temp.mp3",Motown Soul,"Legends 🎙️ Marvin Gaye, James Brown, Smokey Robinson ... ｜ Greatest Hits of All Time.temp",0.978,no,near_duplicate,group_size=2
G0137,C:\Users\suppo\Downloads\New Music\Top1000_Motown\James Brown Greatest Hits 2025 ｜ Full Album Playlist ｜ The Godfather of Souls Top 30 Songs.mp3,James Brown Greatest Hits 2025 ｜ Full Album Playlist ｜ The Godfather of Souls Top 30 Songs.mp3,James Brown,Greatest Hits 2025 ｜ Full Album Playlist ｜ The Godfather of Souls Top 30 Songs,0.978,yes,near_duplicate,group_size=2
G0137,C:\Users\suppo\Downloads\New Music\Top1000_Motown\James Brown Greatest Hits 2025 ｜ Full Album Playlist ｜ The Godfather of Souls Top 30 Songs.temp.mp3,James Brown Greatest Hits 2025 ｜ Full Album Playlist ｜ The Godfather of Souls Top 30 Songs.temp.mp3,James Brown,Greatest Hits 2025 ｜ Full Album Playlist ｜ The Godfather of Souls Top 30 Songs.temp,0.978,no,near_duplicate,group_size=2
G0138,C:\Users\suppo\Downloads\New Music\Top1000_Motown\The Temptations Greatest Hits 🎶 Best Songs of the 60s & 70s ｜ Motown Soul Legends Full Album.mp3,The Temptations Greatest Hits 🎶 Best Songs of the 60s & 70s ｜ Motown Soul Legends Full Album.mp3,The Temptations,Greatest Hits 🎶 Best Songs of the 60s & 70s ｜ Motown Soul Legends Full Album,0.978,yes,near_duplicate,group_size=2
G0138,C:\Users\suppo\Downloads\New Music\Top1000_Motown\The Temptations Greatest Hits 🎶 Best Songs of the 60s & 70s ｜ Motown Soul Legends Full Album.temp.mp3,The Temptations Greatest Hits 🎶 Best Songs of the 60s & 70s ｜ Motown Soul Legends Full Album.temp.mp3,The Temptations,Greatest Hits 🎶 Best Songs of the 60s & 70s ｜ Motown Soul Legends Full Album.temp,0.978,no,near_duplicate,group_size=2
G0139,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Jazz Classics 50s 60s 70s🎶Frank Sinatra, Louis Armstrong, Nat King Cole🎷Warm vintage jazz melodies.mp3","Jazz Classics 50s 60s 70s🎶Frank Sinatra, Louis Armstrong, Nat King Cole🎷Warm vintage jazz melodies.mp3",Jazz Classics,"50s 60s 70s🎶Frank Sinatra, Louis Armstrong, Nat King Cole🎷Warm vintage jazz melodies",0.904,no,near_duplicate,group_size=2
G0139,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Jazz Songs 50s 60s 70s ｜Frank Sinatra, Louis Armstrong, Nat King Cole ｜ Vintage Jazz Memories.mp3","Jazz Songs 50s 60s 70s ｜Frank Sinatra, Louis Armstrong, Nat King Cole ｜ Vintage Jazz Memories.mp3",Jazz Songs,"50s 60s 70s ｜Frank Sinatra, Louis Armstrong, Nat King Cole ｜ Vintage Jazz Memories",0.904,yes,near_duplicate,group_size=2
G0140,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\🎶 100 Greatest Motown Songs Ever ｜ Classic Soul Hits of the 60s, 70s & 80s ✨ Motown Playlist 2025.mp3","🎶 100 Greatest Motown Songs Ever ｜ Classic Soul Hits of the 60s, 70s & 80s ✨ Motown Playlist 2025.mp3",🎶 100,"Greatest Motown Songs Ever ｜ Classic Soul Hits of the 60s, 70s & 80s ✨ Motown Playlist 2025",0.978,yes,near_duplicate,group_size=2
G0140,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\🎶 100 Greatest Motown Songs Ever ｜ Classic Soul Hits of the 60s, 70s & 80s ✨ Motown Playlist 2025.temp.mp3","🎶 100 Greatest Motown Songs Ever ｜ Classic Soul Hits of the 60s, 70s & 80s ✨ Motown Playlist 2025.temp.mp3",🎶 100,"Greatest Motown Songs Ever ｜ Classic Soul Hits of the 60s, 70s & 80s ✨ Motown Playlist 2025.temp",0.978,no,near_duplicate,group_size=2
G0141,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Top 100 Motown Soul Classics 🎙️ Timeless R&B Oldies from the 70s, 80s & 90s ｜ Soul Legends Forever.mp3","Top 100 Motown Soul Classics 🎙️ Timeless R&B Oldies from the 70s, 80s & 90s ｜ Soul Legends Forever.mp3",Top 100,"Motown Soul Classics 🎙️ Timeless R&B Oldies from the 70s, 80s & 90s ｜ Soul Legends Forever",0.979,yes,near_duplicate,group_size=2
G0141,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Top 100 Motown Soul Classics 🎙️ Timeless R&B Oldies from the 70s, 80s & 90s ｜ Soul Legends Forever.temp.mp3","Top 100 Motown Soul Classics 🎙️ Timeless R&B Oldies from the 70s, 80s & 90s ｜ Soul Legends Forever.temp.mp3",Top 100,"Motown Soul Classics 🎙️ Timeless R&B Oldies from the 70s, 80s & 90s ｜ Soul Legends Forever.temp",0.979,no,near_duplicate,group_size=2
G0142,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3",100 Greatest,"Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist",0.979,yes,near_duplicate,group_size=2
G0142,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3",100 Greatest,"Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp",0.979,no,near_duplicate,group_size=2
G0143,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Rick James Greatest Hits Full Album 🎸 Best of Rick James ｜ Give It To Me Baby, Super Freak & More.mp3","Rick James Greatest Hits Full Album 🎸 Best of Rick James ｜ Give It To Me Baby, Super Freak & More.mp3",Rick James,"Greatest Hits Full Album 🎸 Best of Rick James ｜ Give It To Me Baby, Super Freak & More",0.979,yes,near_duplicate,group_size=2
G0143,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Rick James Greatest Hits Full Album 🎸 Best of Rick James ｜ Give It To Me Baby, Super Freak & More.temp.mp3","Rick James Greatest Hits Full Album 🎸 Best of Rick James ｜ Give It To Me Baby, Super Freak & More.temp.mp3",Rick James,"Greatest Hits Full Album 🎸 Best of Rick James ｜ Give It To Me Baby, Super Freak & More.temp",0.979,no,near_duplicate,group_size=2
G0144,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Jazz Classics 50s 60s 70s🎶Frank Sinatra, Louis Armstrong, Nat King Cole🎷Warm vintage jazz melodies.temp.mp3","Jazz Classics 50s 60s 70s🎶Frank Sinatra, Louis Armstrong, Nat King Cole🎷Warm vintage jazz melodies.temp.mp3",Jazz Classics,"50s 60s 70s🎶Frank Sinatra, Louis Armstrong, Nat King Cole🎷Warm vintage jazz melodies.temp",0.0,yes,near_duplicate,group_size=1
G0169,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Frank Sinatra, Nat King Cole, Ray Charles 🎷The Ultimate Jazz Playlist 🎶 Jazz Classics 50s 60s 70s.mp3","Frank Sinatra, Nat King Cole, Ray Charles 🎷The Ultimate Jazz Playlist 🎶 Jazz Classics 50s 60s 70s.mp3","Frank Sinatra,","Nat King Cole, Ray Charles 🎷The Ultimate Jazz Playlist 🎶 Jazz Classics 50s 60s 70s",0.874,yes,similar_title,group_size=2
G0169,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Frank Sinatra, Ray Charles, Nat King Cole 🎷The Ultimate Jazz Playlist 🎶 Jazz Classics 50s 60s 70s.mp3","Frank Sinatra, Ray Charles, Nat King Cole 🎷The Ultimate Jazz Playlist 🎶 Jazz Classics 50s 60s 70s.mp3","Frank Sinatra,","Ray Charles, Nat King Cole 🎷The Ultimate Jazz Playlist 🎶 Jazz Classics 50s 60s 70s",0.874,no,similar_title,group_size=2
G0180,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Legends of Jazz & Soul 🎷 Louis Armstrong, Nat King Cole, Frank Sinatra ｜ Timeless Classics.mp3","Legends of Jazz & Soul 🎷 Louis Armstrong, Nat King Cole, Frank Sinatra ｜ Timeless Classics.mp3",Legends of,"Jazz & Soul 🎷 Louis Armstrong, Nat King Cole, Frank Sinatra ｜ Timeless Classics",0.835,yes,similar_title,group_size=2
G0180,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Legends of Jazz & Soul 🎷 Nat King Cole, Louis Armstrong, Frank Sinatra ｜ Timeless Classics.mp3","Legends of Jazz & Soul 🎷 Nat King Cole, Louis Armstrong, Frank Sinatra ｜ Timeless Classics.mp3",Legends of,"Jazz & Soul 🎷 Nat King Cole, Louis Armstrong, Frank Sinatra ｜ Timeless Classics",0.835,no,similar_title,group_size=2
G0181,"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Legends of Jazz & Soul 🎷Frank Sinatra, Nat King Cole, Louis Armstrong ｜ Timeless Classics.mp3","Legends of Jazz & Soul 🎷Frank Sinatra, Nat King Cole, Louis Armstrong ｜ Timeless Classics.mp3",Legends of,"Jazz & Soul 🎷Frank Sinatra, Nat King Cole, Louis Armstrong ｜ Timeless Classics",0.0,yes,similar_title,group_size=1
G0205,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Top 100 Motown Soul Classics 🎶 Timeless R&B Oldies from the 70s, 80s & 90s.mp3","Top 100 Motown Soul Classics 🎶 Timeless R&B Oldies from the 70s, 80s & 90s.mp3",Top 100,"Motown Soul Classics 🎶 Timeless R&B Oldies from the 70s, 80s & 90s",0.0,yes,similar_title,group_size=1
G0211,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\WARKINGS - Monsters feat. Morgana le Fay (Official Video) ｜ Napalm Records.mp3,WARKINGS - Monsters feat. Morgana le Fay (Official Video) ｜ Napalm Records.mp3,WARKINGS,Monsters feat. Morgana le Fay ｜ Napalm Records,0.0,yes,similar_title,group_size=1
