original_path,blocked_name,proposed_safe_name,confidence,requires_review,method,notes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\DJ Jazzy Jeff & The Fresh Prince - Summertime (Official Video).mp3,DJ Jazzy Jeff & the Fresh Prince - Summertime (Music Video).mp3,DJ Jazzy Jeff & the Fresh Prince - Summertime (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DOMINUM - The Circus Is In Town (Official Video) ｜ Napalm Records.mp3,Dominum - The Circus is in Town Napalm Records.mp3,Dominum - The Circus is in Town Napalm Records (Alt 1).mp3,0.8,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Country\Easton Corbin - A Little More Country Than That (Official Video).mp3,Easton Corbin - A Little More Country Than That (Music Video).mp3,Easton Corbin - A Little More Country Than That (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eminem - My Name Is (Official Music Video).mp3,Eminem - My Name Is (Music Video).mp3,Eminem - My Name Is (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\EXIT EDEN - Femme Fatale (Official Video) ｜ Napalm Records.mp3,Exit Eden - Femme Fatale Napalm Records.mp3,Exit Eden - Femme Fatale Napalm Records (Alt 1).mp3,0.8,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Fugees - Fu-Gee-La (Official HD Video).mp3,Fugees - Fu-gee-la (Music Video).mp3,Fugees - Fu-gee-la (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000\George Michael - Careless Whisper (Official 4K Video).mp3,George Michael - Careless Whisper (Music Video).mp3,George Michael - Careless Whisper (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\HAMMERFALL - Hammer Of Dawn (Official Video) ｜ Napalm Records.mp3,Hammerfall - Hammer of Dawn Napalm Records.mp3,Hammerfall - Hammer of Dawn Napalm Records (Alt 1).mp3,0.8,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\House of Pain - Jump Around (Official 4K Music Video).mp3,House of Pain - Jump Around (Music Video).mp3,House of Pain - Jump Around (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kacey Musgraves - Biscuits (Official Lyric Video).mp3,Kacey Musgraves - Biscuits (Music Video).mp3,Kacey Musgraves - Biscuits (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\KAMELOT - Eventide (Official Video) ｜ Napalm Records.mp3,Kamelot - Eventide ｜ Napalm Records (Music Video).mp3,Kamelot - Eventide Napalm Records (Music Video).mp3,0.9,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000\Martin Garrix - Animals (Official Video).mp3,Martin Garrix - Animals (Music Video).mp3,Martin Garrix - Animals (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Motown\Marvin Gaye ❤️ Let’s Get It On – Greatest Hits Full Album ｜ Top 100 Motown Soul Classics.mp3,Marvin Gaye ❤️ Let’s Get it On - Greatest Hits Full Album Top 100 Motown Soul Classics.mp3,Marvin Gaye ❤️ Let’s Get it On - Greatest Hits Full Album Top 100 Motown Soul Classics (Alt 1).mp3,0.8,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=1.0"
"C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mobb Deep - Shook Ones, Pt. II (Official HD Video).mp3","Mobb Deep - Shook Ones, Pt. II (Music Video).mp3","Mobb Deep - Shook Ones, Pt. II (Music Video) (Alt 1).mp3",0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mobb Deep - Survival of the Fittest (Official HD Video).mp3,Mobb Deep - Survival of the Fittest (Music Video).mp3,Mobb Deep - Survival of the Fittest (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Nas - Hate Me Now (Official HD Video) ft. Puff Daddy.mp3,Nas - Hate Me Now ft. Puff Daddy (Music Video).mp3,Nas - Hate Me Now ft. Puff Daddy (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Nas - Nas Is Like (Official Video).mp3,Nas - Nas is Like (Music Video).mp3,Nas - Nas is Like (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Naughty by Nature - Hip Hop Hooray (Official Music Video).mp3,Naughty by Nature - Hip Hop Hooray (Music Video).mp3,Naughty by Nature - Hip Hop Hooray (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Naughty By Nature - O.P.P. (Official Music Video) [HD].mp3,Naughty by Nature - O.p.p. (Music Video).mp3,Naughty by Nature - O.p.p. (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Nirvana - Smells Like Teen Spirit (Official Music Video).mp3,Nirvana - Smells Like Teen Spirit (Music Video).mp3,Nirvana - Smells Like Teen Spirit (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\POWERWOLF - Beast Of Gévaudan (Official Video) ｜ Napalm Records.mp3,Powerwolf - Beast of Gévaudan Napalm Records.mp3,Powerwolf - Beast of Gévaudan Napalm Records (Alt 1).mp3,0.8,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Queen - Bohemian Rhapsody (2011 Digital Remaster).mp3,Queen - Bohemian Rhapsody (2011 Digital Remaster).mp3,Queen - Bohemian Rhapsody (2011 Digital Remaster) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_PRIMARY, conf=1.0"
"C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Raekwon - Ice Cream (Official HD Video) ft. Ghostface Killah, Method Man, Cappadonna.mp3","Raekwon - Ice Cream ft. Ghostface Killah, Method Man, Cappadonna (Music Video).mp3","Raekwon - Ice Cream ft. Ghostface Killah, Method Man, Cappadonna (Music Video) (Alt 1).mp3",0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\SERENITY - The End Of Babylon (Official Video) ｜ Napalm Records.mp3,Serenity - The End of Babylon Napalm Records.mp3,Serenity - The End of Babylon Napalm Records (Alt 1).mp3,0.8,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Notorious B.I.G. - Hypnotize (Official Music Video) [4K].mp3,The Notorious B.I.G. - Hypnotize (Music Video).mp3,The Notorious B.I.G. - Hypnotize (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Notorious B.I.G. - Juicy (Official Video) [4K].mp3,The Notorious B.I.G. - Juicy (Music Video).mp3,The Notorious B.I.G. - Juicy (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\The Notorious B.I.G. - Warning (Official Music Video).mp3,The Notorious B.I.G. - Warning (Music Video).mp3,The Notorious B.I.G. - Warning (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\VISIONS OF ATLANTIS & WARKINGS - Pirates & Kings (Official Video) ｜ Napalm Records.mp3,Visions of Atlantis & Warkings - Pirates & Kings Napalm Records.mp3,Visions of Atlantis & Warkings - Pirates & Kings Napalm Records (Alt 1).mp3,0.8,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\WARKINGS - Genghis Khan (feat. Orden Ogan) (Official Video) ｜ Napalm Records.mp3,Warkings - Genghis Khan (Feat. Orden Ogan) Napalm Records.mp3,Warkings - Genghis Khan (Feat. Orden Ogan) Napalm Records (Alt 1).mp3,0.8,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\WIND ROSE - To Be a Dwarf (Official Video) ｜ Napalm Records.mp3,Wind Rose - To Be a Dwarf Napalm Records.mp3,Wind Rose - To Be a Dwarf Napalm Records (Alt 1).mp3,0.8,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Wu-Tang Clan - C.R.E.A.M. (Official HD Video).mp3,Wu-tang Clan - C.r.e.a.m. (Music Video).mp3,Wu-tang Clan - C.r.e.a.m. (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Wu-Tang Clan - Triumph (Official HD Video) ft. Cappadonna.mp3,Wu-tang Clan - Triumph ft. Cappadonna (Music Video).mp3,Wu-tang Clan - Triumph ft. Cappadonna (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
