track_id,artist,title,primary_genre,secondary_genre,current_subgenre,benchmark_member,review_reason
2538,Tom MacDonald,Save A Life - Tom MacDonald,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2548,Tom MacDonald,See God - Tom MacDonald,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2572,Tom MacDonald,Still Me - Tom MacDonald,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2573,Tom MacDonald,Still The One - Tom MacDonald,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2590,Tom MacDonald,The Machine - Tom MacDonald,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2595,Tom MacDonald,The System - Tom MacDonald,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2624,Tom MacDonald,Tom MacDonald -  Buttholes,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2626,Tom MacDonald,Tom MacDonald - American Dreamz,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2629,Tom MacDonald,Tom MacDonald - Angels,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2631,Tom MacDonald,Tom MacDonald - Average Boy,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2633,Tom MacDonald,Tom MacDonald - Best Rapper Ever,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2634,Tom MacDonald,Tom MacDonald - Castles,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2636,Tom MacDonald,Tom MacDonald - Dear Rappers,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2637,Tom MacDonald,Tom MacDonald - Dirty Money,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2638,Tom MacDonald,Tom MacDonald - End Of The World,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2639,Tom MacDonald,Tom MacDonald - Everybody Hates Me,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2641,Tom MacDonald,Tom MacDonald - Fighter,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2642,Tom MacDonald,Tom MacDonald - Freedom's Not For Sale,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2643,Tom MacDonald,Tom MacDonald - Freedoms Not For Sale,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2645,Tom MacDonald,Tom MacDonald - Ghost,Pop,Rock,(null),yes,Insufficient subgenre coverage
2646,Tom MacDonald,Tom MacDonald - Gravestones,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2648,Tom MacDonald,Tom MacDonald - Hatred,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2649,Tom MacDonald,Tom MacDonald - Helluvit,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2652,Tom MacDonald,Tom MacDonald - I Dont Care,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2653,Tom MacDonald,Tom MacDonald - I Hate Hip Hop,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2654,Tom MacDonald,Tom MacDonald - I Wish,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2655,Tom MacDonald,Tom MacDonald - Im Corny,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2656,Tom MacDonald,Tom MacDonald - Im Sorry,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2657,Tom MacDonald,Tom MacDonald - Luck You,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2659,Tom MacDonald,Tom MacDonald - Money,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2660,Tom MacDonald,Tom MacDonald - My Fans,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2663,Tom MacDonald,Tom MacDonald - Names,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2664,Tom MacDonald,Tom MacDonald - No Lives Matter,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2666,Tom MacDonald,Tom MacDonald - No Response,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2667,Tom MacDonald,Tom MacDonald - People So Stupid,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2668,Tom MacDonald,Tom MacDonald - Politically Incorrect,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2671,Tom MacDonald,Tom MacDonald - Riot,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2672,Tom MacDonald,Tom MacDonald - Save A Life,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2675,Tom MacDonald,Tom MacDonald - See God,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2676,Tom MacDonald,Tom MacDonald - Sellout,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2677,Tom MacDonald,Tom MacDonald - Sheeple,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2680,Tom MacDonald,Tom MacDonald - Still Me,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2681,Tom MacDonald,Tom MacDonald - Still The One,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2682,Tom MacDonald,Tom MacDonald - The Machine,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2683,Tom MacDonald,Tom MacDonald - The Music Industry,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2685,Tom MacDonald,Tom MacDonald - The System,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2687,Tom MacDonald,Tom MacDonald - This House,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2690,Tom MacDonald,Tom MacDonald - Trying To Kill Me,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2691,Tom MacDonald,Tom MacDonald - Underdogs,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2693,Tom MacDonald,Tom MacDonald - Way Off,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2697,Tom MacDonald,Tom MacDonald - Wild Ones,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2698,Tom MacDonald,Tom MacDonald ft. DAX - Blame The Rappers,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2640,Tom MacDonald,Tom Macdonald - Fake Fans,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2768,Tom MacDonald,Wild Ones - Tom MacDonald,Hip-Hop,Rock,(null),no,Insufficient subgenre coverage
2706,Tone-Loc,Tone Loc - Wild Thing,Hip-Hop,Pop,(null),yes,Insufficient subgenre coverage
2841,Unknown,Dax - Temptation,Hip-Hop,Country,(null),yes,Insufficient subgenre coverage
2527,Upchurch,Ryan Upchurch - Black Sheep,Country,Hip-Hop,(null),no,Insufficient subgenre coverage
2528,Upchurch,Ryan Upchurch - Cowboy Movies,Country,Hip-Hop,(null),no,Insufficient subgenre coverage
2530,Upchurch,Ryan Upchurch - Love Her Again,Country,Hip-Hop,(null),no,Insufficient subgenre coverage
2531,Upchurch,Ryan Upchurch - Real Country,Country,Hip-Hop,(null),no,Insufficient subgenre coverage
2532,Upchurch,Ryan Upchurch - Same Ol Same Ol,Country,Hip-Hop,(null),no,Insufficient subgenre coverage
2752,Van Zant,Van Zant - Help Somebody,Rock,Country,(null),yes,Insufficient subgenre coverage
2753,Van Zant,Van Zant - Nobody Gonna Tell Me What to Do,Rock,Country,(null),no,Insufficient subgenre coverage
2761,Weird Al Yankovic,Weird Al Yankovic - Word Crimes,Pop,Hip-Hop,(null),yes,Insufficient subgenre coverage
2770,Zac Brown Band,Zac Brown Band - Heavy Is The Head,Country,Pop,(null),yes,Insufficient subgenre coverage
